alg,n,raw,b64url,b64,hdr_b64url,hdr_b64
Ed25519,0,216,288,288,312,312
Ed25519,1,342,456,456,480,480
Ed25519,2,468,624,624,648,648
Ed25519,3,594,792,792,816,816
Ed25519,4,720,960,960,984,984
Ed25519,5,846,1128,1128,1152,1152
Ed25519,6,972,1296,1296,1320,1320
Ed25519,7,1098,1464,1464,1488,1488
Ed25519,8,1224,1632,1632,1656,1656
Ed25519,9,1350,1800,1800,1824,1824
Ed25519,10,1476,1968,1968,1992,1992
Ed25519,11,1602,2136,2136,2160,2160
Ed25519,12,1728,2304,2304,2328,2328
Ed25519,13,1854,2472,2472,2496,2496
Ed25519,14,1980,2640,2640,2664,2664
Ed25519,15,2106,2808,2808,2832,2832
Ed25519,16,2232,2976,2976,3000,3000
Ed25519,17,2358,3144,3144,3168,3168
Ed25519,18,2484,3312,3312,3336,3336
Ed25519,19,2610,3480,3480,3504,3504
Ed25519,20,2736,3648,3648,3672,3672
Fndsa1024,0,4390,5854,5856,5878,5880
Fndsa1024,1,7495,9994,9996,10018,10020
Fndsa1024,2,10607,14143,14144,14167,14168
Fndsa1024,3,13697,18263,18264,18287,18288
Fndsa1024,4,16792,22390,22392,22414,22416
Fndsa1024,5,19897,26530,26532,26554,26556
Fndsa1024,6,22973,30631,30632,30655,30656
Fndsa1024,7,26104,34806,34808,34830,34832
Fndsa1024,8,29204,38939,38940,38963,38964
Fndsa1024,9,32292,43056,43056,43080,43080
Fndsa1024,10,35406,47208,47208,47232,47232
Fndsa1024,11,38485,51314,51316,51338,51340
Fndsa1024,12,41590,55454,55456,55478,55480
Fndsa1024,13,44707,59610,59612,59634,59636
Fndsa1024,14,47772,63696,63696,63720,63720
Fndsa1024,15,50899,67866,67868,67890,67892
Fndsa1024,16,53985,71980,71980,72004,72004
Fndsa1024,17,57106,76142,76144,76166,76168
Fndsa1024,18,60179,80239,80240,80263,80264
Fndsa1024,19,63312,84416,84416,84440,84440
Fndsa1024,20,66389,88519,88520,88543,88544
Fndsa512,0,2268,3024,3024,3048,3048
Fndsa512,1,3867,5156,5156,5180,5180
Fndsa512,2,5439,7252,7252,7276,7276
Fndsa512,3,7034,9379,9380,9403,9404
Fndsa512,4,8623,11498,11500,11522,11524
Fndsa512,5,10214,13619,13620,13643,13644
Fndsa512,6,11799,15732,15732,15756,15756
Fndsa512,7,13388,17851,17852,17875,17876
Fndsa512,8,14972,19963,19964,19987,19988
Fndsa512,9,16559,22079,22080,22103,22104
Fndsa512,10,18154,24206,24208,24230,24232
Fndsa512,11,19742,26323,26324,26347,26348
Fndsa512,12,21334,28446,28448,28470,28472
Fndsa512,13,22926,30568,30568,30592,30592
Fndsa512,14,24490,32654,32656,32678,32680
Fndsa512,15,26100,34800,34800,34824,34824
Fndsa512,16,27677,36903,36904,36927,36928
Fndsa512,17,29271,39028,39028,39052,39052
Fndsa512,18,30858,41144,41144,41168,41168
Fndsa512,19,32448,43264,43264,43288,43288
Fndsa512,20,34034,45379,45380,45403,45404
Mldsa44,0,6215,8287,8288,8311,8312
Mldsa44,1,9983,13311,13312,13335,13336
Mldsa44,2,13751,18335,18336,18359,18360
Mldsa44,3,17519,23359,23360,23383,23384
Mldsa44,4,21287,28383,28384,28407,28408
Mldsa44,5,25055,33407,33408,33431,33432
Mldsa44,6,28823,38431,38432,38455,38456
Mldsa44,7,32591,43455,43456,43479,43480
Mldsa44,8,36359,48479,48480,48503,48504
Mldsa44,9,40127,53503,53504,53527,53528
Mldsa44,10,43895,58527,58528,58551,58552
Mldsa44,11,47663,63551,63552,63575,63576
Mldsa44,12,51431,68575,68576,68599,68600
Mldsa44,13,55199,73599,73600,73623,73624
Mldsa44,14,58967,78623,78624,78647,78648
Mldsa44,15,62735,83647,83648,83671,83672
Mldsa44,16,66503,88671,88672,88695,88696
Mldsa44,17,70271,93695,93696,93719,93720
Mldsa44,18,74039,98719,98720,98743,98744
Mldsa44,19,77807,103743,103744,103767,103768
Mldsa44,20,81575,108767,108768,108791,108792
Mldsa65,0,8633,11511,11512,11535,11536
Mldsa65,1,13930,18574,18576,18598,18600
Mldsa65,2,19227,25636,25636,25660,25660
Mldsa65,3,24524,32699,32700,32723,32724
Mldsa65,4,29821,39762,39764,39786,39788
Mldsa65,5,35118,46824,46824,46848,46848
Mldsa65,6,40415,53887,53888,53911,53912
Mldsa65,7,45712,60950,60952,60974,60976
Mldsa65,8,51009,68012,68012,68036,68036
Mldsa65,9,56306,75075,75076,75099,75100
Mldsa65,10,61603,82138,82140,82162,82164
Mldsa65,11,66900,89200,89200,89224,89224
Mldsa65,12,72197,96263,96264,96287,96288
Mldsa65,13,77494,103326,103328,103350,103352
Mldsa65,14,82791,110388,110388,110412,110412
Mldsa65,15,88088,117451,117452,117475,117476
Mldsa65,16,93385,124514,124516,124538,124540
Mldsa65,17,98682,131576,131576,131600,131600
Mldsa65,18,103979,138639,138640,138663,138664
Mldsa65,19,109276,145702,145704,145726,145728
Mldsa65,20,114573,152764,152764,152788,152788
Mldsa87,0,11909,15879,15880,15903,15904
Mldsa87,1,19164,25552,25552,25576,25576
Mldsa87,2,26419,35226,35228,35250,35252
Mldsa87,3,33674,44899,44900,44923,44924
Mldsa87,4,40929,54572,54572,54596,54596
Mldsa87,5,48184,64246,64248,64270,64272
Mldsa87,6,55439,73919,73920,73943,73944
Mldsa87,7,62694,83592,83592,83616,83616
Mldsa87,8,69949,93266,93268,93290,93292
Mldsa87,9,77204,102939,102940,102963,102964
Mldsa87,10,84459,112612,112612,112636,112636
Mldsa87,11,91714,122286,122288,122310,122312
Mldsa87,12,98969,131959,131960,131983,131984
