build,alg,op,n,median_ns,lo,hi,rel_halfwidth_pct,reps
avx2,Ed25519,append_hop,2,35502.0,35459.0,35537.0,0.1211199369049631,101
avx2,Ed25519,authority_build,2,24122.0,24093.0,24156.0,0.1409501699693226,101
avx2,Ed25519,authorize,2,8857.0,8827.0,8893.0,0.40645816868014,101
avx2,Ed25519,seal,2,24085.0,24028.0,24119.0,0.23666182271123107,101
avx2,Ed25519,verify_chain,0,58605.0,58584.0,58627.0,0.03753945909052129,101
avx2,Ed25519,verify_chain,1,88584.0,88513.0,88632.0,0.08014991420572563,101
avx2,Ed25519,verify_chain,2,119375.0,119333.0,119471.0,0.08041884816753926,101
avx2,Ed25519,verify_chain,5,211071.0,210597.0,211850.0,0.3690701233234315,101
avx2,Ed25519,verify_chain,10,372134.0,367255.0,375941.0,1.3110868665588202,101
avx2,Ed25519,verify_n2,2,119571.0,119529.0,119622.0,0.042652482625385756,101
avx2,Fndsa1024,append_hop,2,12659961.0,11957005.0,13374389.0,5.64320853753025,101
avx2,Fndsa1024,authority_build,2,13384106.0,12595083.0,14479074.0,8.181106754534072,101
avx2,Fndsa1024,authorize,2,8333.0,8289.0,8375.0,0.5280211208448338,101
avx2,Fndsa1024,seal,2,296368.0,294862.0,297688.0,0.5081520272094153,101
avx2,Fndsa1024,verify_chain,0,118193.0,117604.0,118648.0,0.49833746499369674,101
avx2,Fndsa1024,verify_chain,1,182712.0,181542.0,184189.0,0.8083760234686282,101
avx2,Fndsa1024,verify_chain,2,253798.0,252962.0,254567.0,0.32939581872197576,101
avx2,Fndsa1024,verify_chain,5,459704.0,457830.0,461785.0,0.4526825957572699,101
avx2,Fndsa1024,verify_chain,10,787828.0,785616.0,791186.0,0.42623516808237333,101
avx2,Fndsa1024,verify_n2,2,247974.0,247148.0,248727.0,0.33309943784429014,101
avx2,Fndsa512,append_hop,2,4323936.0,4139199.0,4651556.0,7.576892904982867,101
avx2,Fndsa512,authority_build,2,4344444.0,4041657.0,4672504.0,7.551253969437746,101
avx2,Fndsa512,authorize,2,9363.0,9292.0,9462.0,1.0573534123678308,101
avx2,Fndsa512,seal,2,152309.0,151735.0,153212.0,0.5928736975490615,101
avx2,Fndsa512,verify_chain,0,60393.0,60315.0,60469.0,0.12915404103124534,101
avx2,Fndsa512,verify_chain,1,91101.0,90914.0,91245.0,0.20526668203422574,101
avx2,Fndsa512,verify_chain,2,120215.0,119889.0,120707.0,0.4092667304412927,101
avx2,Fndsa512,verify_chain,5,218966.0,216864.0,220409.0,0.9599663874756812,101
avx2,Fndsa512,verify_chain,10,392563.0,391163.0,396286.0,0.9483828073455726,101
avx2,Fndsa512,verify_n2,2,127006.0,126635.0,127583.0,0.4543092452325087,101
avx2,HybridEdFndsa512,append_hop,2,4242754.0,3976336.0,4405441.0,6.279364771089721,101
avx2,HybridEdFndsa512,authority_build,2,4233667.0,4070338.0,4686089.0,10.686291576545818,101
avx2,HybridEdFndsa512,authorize,2,8814.0,8770.0,8839.0,0.49920580894032224,101
avx2,HybridEdFndsa512,seal,2,175930.0,175411.0,176537.0,0.3450235889274143,101
avx2,HybridEdFndsa512,verify_chain,0,137191.0,136851.0,137793.0,0.4388042947423665,101
avx2,HybridEdFndsa512,verify_chain,1,207780.0,205545.0,209313.0,1.0756569448455098,101
avx2,HybridEdFndsa512,verify_chain,2,278404.0,276898.0,280755.0,0.8444562578123878,101
avx2,HybridEdFndsa512,verify_chain,5,501856.0,495476.0,506116.0,1.271281004909775,101
avx2,HybridEdFndsa512,verify_chain,10,874417.0,868258.0,879909.0,0.704355015970641,101
avx2,HybridEdFndsa512,verify_n2,2,275744.0,274755.0,277134.0,0.5040907508413601,101
avx2,HybridEdMldsa44,append_hop,2,137388.0,129018.0,142331.0,6.092235129705651,101
avx2,HybridEdMldsa44,authority_build,2,116174.0,112972.0,121150.0,4.283230326923408,101
avx2,HybridEdMldsa44,authorize,2,8373.0,8338.0,8401.0,0.4180102711095187,101
avx2,HybridEdMldsa44,seal,2,81410.0,81043.0,82344.0,1.147279204028989,101
avx2,HybridEdMldsa44,verify_chain,0,133379.0,132734.0,133910.0,0.48358437235246926,101
avx2,HybridEdMldsa44,verify_chain,1,203177.0,200957.0,205047.0,1.0926433602228598,101
avx2,HybridEdMldsa44,verify_chain,2,271975.0,269993.0,274632.0,0.9769280264730215,101
avx2,HybridEdMldsa44,verify_chain,5,489624.0,485180.0,493693.0,0.9076352466382367,101
avx2,HybridEdMldsa44,verify_chain,10,857222.0,853242.0,861725.0,0.5253014971617621,101
avx2,HybridEdMldsa44,verify_n2,2,269170.0,268361.0,271307.0,0.7939220566927964,101
avx2,Mldsa44,append_hop,2,70574.0,64333.0,78178.0,10.77450619208207,101
avx2,Mldsa44,authority_build,2,65153.0,63246.0,78163.0,19.968382115942475,101
avx2,Mldsa44,authorize,2,8499.0,8477.0,8527.0,0.3294505235910107,101
avx2,Mldsa44,seal,2,62265.0,62188.95,62325.0,0.12213924355577437,101
avx2,Mldsa44,verify_chain,0,51934.0,51860.0,52064.0,0.2503177109408095,101
avx2,Mldsa44,verify_chain,1,81016.0,80825.0,81205.0,0.23575590006912214,101
avx2,Mldsa44,verify_chain,2,110008.0,109813.0,110173.0,0.1772598356483165,101
avx2,Mldsa44,verify_chain,5,204216.0,201430.0,206919.0,1.3642417832099345,101
avx2,Mldsa44,verify_chain,10,357013.0,354055.0,359595.0,0.8285412576012638,101
avx2,Mldsa44,verify_n2,2,113189.0,112931.0,113486.0,0.26239298871798494,101
avx2,Mldsa65,append_hop,2,115417.0,106613.0,124015.0,7.627992410130224,101
avx2,Mldsa65,authority_build,2,106865.0,100775.0,117406.0,9.863846909652365,101
avx2,Mldsa65,authorize,2,8692.0,8665.0,8722.0,0.3451449608835711,101
avx2,Mldsa65,seal,2,138108.0,137762.0,139320.0,0.8775740724650274,101
avx2,Mldsa65,verify_chain,0,82176.0,81896.0,82415.0,0.3407320872274143,101
avx2,Mldsa65,verify_chain,1,126589.0,126331.0,126980.0,0.30887359881190307,101
avx2,Mldsa65,verify_chain,2,170997.0,170155.0,171797.0,0.4924062995257227,101
avx2,Mldsa65,verify_chain,5,301822.0,300801.0,303102.0,0.42409102053528236,101
avx2,Mldsa65,verify_chain,10,520100.0,518314.0,522174.0,0.39876946741011343,101
avx2,Mldsa65,verify_n2,2,164395.0,163767.0,165265.0,0.529213175583199,101
avx2,Mldsa87,append_hop,2,147122.0,135882.0,160068.0,8.799499734913882,101
avx2,Mldsa87,authority_build,2,127287.0,119485.0,142071.0,11.6146974946381,101
avx2,Mldsa87,authorize,2,8709.0,8627.0,8742.0,0.9415547135147548,101
avx2,Mldsa87,seal,2,107192.0,107099.0,107367.0,0.1632584521232928,101
avx2,Mldsa87,verify_chain,0,117490.0,116707.0,118736.0,1.0605157885777512,101
avx2,Mldsa87,verify_chain,1,185174.0,184361.0,186584.0,0.7614459913378768,101
avx2,Mldsa87,verify_chain,2,250059.0,249464.0,251116.0,0.42270024274271273,101
