profile,rate,ms,lo,hi,rel
ed25519,1mbit,51.3659735,51.272672,51.382609,0.18164067308098425
ed25519,46kbit,683.815839,682.1871455,684.7137815,0.2381772119203574
fndsa512,1mbit,378.38395,377.938579,378.7066625,0.11770345967369916
fndsa512,46kbit,8273.3898005,8271.443804,8276.287017,0.03501849386843719
hyb-ed-fndsa512,1mbit,400.495354,400.0277515,400.944334,0.1167560360762637
hyb-ed-fndsa512,46kbit,8780.979998,8777.3071125,8787.0679215,0.06933079794495166
mix-mldsa87-fndsa512,1mbit,484.4008855,483.6078635,485.2904325,0.18363859906692925
mix-mldsa87-fndsa512,46kbit,10614.312167,10612.0449645,10619.1567015,0.045641530263842295
mldsa87,1mbit,1730.1464545,1729.0782735,1731.83588,0.09764638684811408
mldsa87,46kbit,38104.846371,38088.142888,38110.872278,0.04383558678434227
slhdsa128f,1mbit,4207.0450065,4206.3353725,4207.722553,0.016867753943768035
slhdsa128f,46kbit,91588.5832115,91573.2414705,91646.807386,0.063571432659403
