profile,loss,q,ms,lo,hi
ed25519,0,p50,43.487517,43.256586,43.719688
ed25519,0,p99,47.14179785,46.63881787,48.104643
ed25519,1,p50,43.679988,43.4262924375,44.037734
ed25519,1,p99,289.97094232,95.81285591999823,1058.318226
ed25519,3,p50,43.9644595,43.7388935,44.286361
ed25519,3,p99,1060.56756886,299.7083010499931,1121.809554
ed25519,5,p50,43.877152,43.5660825,44.1887375
ed25519,5,p99,1077.0689318699979,1059.987938,2118.803212
fndsa512,0,p50,85.660385,85.350958,85.963343
fndsa512,0,p99,90.03164613,89.54275164,90.518072
fndsa512,1,p50,85.362026,85.0958155,85.667744
fndsa512,1,p99,1086.61790131,111.1634522569978,1110.284522
fndsa512,3,p50,86.807917,86.3777005,87.268922
fndsa512,3,p99,1108.16380374,374.91392523999326,1110.037509
fndsa512,5,p50,84.543564,84.3091945,84.8025075
fndsa512,5,p99,1138.06120168,1109.6233269,1166.687989
hyb-ed-fndsa512,0,p50,87.8006005,87.54159,88.086289
hyb-ed-fndsa512,0,p99,91.29601448000001,90.96020996,92.00296
hyb-ed-fndsa512,1,p50,87.78418,87.605925,87.986017
hyb-ed-fndsa512,1,p99,188.79162788999176,136.51016532999998,1108.30789
hyb-ed-fndsa512,3,p50,87.5872635,87.114255,87.93874
hyb-ed-fndsa512,3,p99,1109.08819338,1093.86070114,1125.508287
hyb-ed-fndsa512,5,p50,88.8997465,88.229743,89.3343625
hyb-ed-fndsa512,5,p99,1141.75708203,1113.26225663,1161.739227
mix-mldsa87-fndsa512,0,p50,85.9350485,85.670832,86.1848255
mix-mldsa87-fndsa512,0,p99,89.02504748,88.76611769,89.231801
mix-mldsa87-fndsa512,1,p50,86.3180535,86.0831705,86.522879
mix-mldsa87-fndsa512,1,p99,1107.1049211399998,333.686489,1117.736463
mix-mldsa87-fndsa512,3,p50,87.7184555,87.3463295,88.085059
mix-mldsa87-fndsa512,3,p99,1114.0824257799998,356.352437,1149.228471
mix-mldsa87-fndsa512,5,p50,105.184473,104.660347,106.0764543625
mix-mldsa87-fndsa512,5,p99,1137.16958828,1120.25109703,2219.200073
mldsa87,0,p50,128.0114,127.787696,128.2101465
mldsa87,0,p99,131.88714623,131.1881766,132.898434
mldsa87,1,p50,129.4456505,129.1657495,129.810705
mldsa87,1,p99,467.3697048999939,397.71060065999967,1148.320848
mldsa87,3,p50,151.853788,149.573883875,168.5013495
mldsa87,3,p99,1194.781147389999,1155.2717911099999,1394.815498
mldsa87,5,p50,229.5282565,209.634729,250.715769
mldsa87,5,p99,1250.7310523899998,1149.3927150099996,1289.04586
slhdsa128f,0,p50,223.8344555,223.5593795,224.194201
slhdsa128f,0,p99,268.39987899,268.00046863725,269.867286
slhdsa128f,1,p50,226.194775,225.229824,242.46665
slhdsa128f,1,p99,825.9779559499998,742.7153131499996,1008.237249
slhdsa128f,3,p50,401.1411375,357.246921,451.2255935
slhdsa128f,3,p99,1690.3352026399996,1291.9124290699988,2096.678238
slhdsa128f,5,p50,765.220273,703.2462755,845.334793
slhdsa128f,5,p99,2393.46834051,2019.3167757299989,2417.425983
