profile,verify_us,lo,hi,rel,reps
ed25519,819.254,816.047,823.257,0.4886152524125607,1000
mix-mldsa87-fndsa512,1434.847,1423.882,1456.7305,1.5251451896961836,1000
mldsa44,1660.4195,1655.452,1667.413,0.4211887417607418,1000
hyb-ed-fndsa512,2192.4285,2174.155,2213.568,0.9642047619796951,1000
mix-mldsa87-mldsa44,2308.8895,2189.6145,2401.9707375,5.165903348774378,1000
fndsa512,2390.638,2271.648,2558.2635,7.011747491673771,1000
hyb-ed-mldsa44,2916.519,2859.0005,2951.3155,1.9721627049232322,1000
mldsa65,3232.56,3080.748,3363.3135,4.696339743113817,1000
fndsa1024,3281.4405,3143.456,3403.5225,4.20499777460539,1000
mix-slh256s-fndsa512,3397.83,3285.610525,3508.455,3.3026806814937797,1000
mldsa87,4060.948,3948.792,4225.6255,4.055149191765076,1000
slhdsa128s,6682.9105,6601.445,6773.359,1.3534297668657989,1000
slhdsa128f,14531.302,14502.147,14561.3155,0.20654377701323667,1000
slhdsa256s,15326.4375,15304.346,15348.3485,0.14413982375225814,1000
slhdsa256f,26276.0895,26242.042,26319.4795,0.1651311166374281,1000
