alg,med_append_realtime,med_append_sign,med_keygen
Ed25519,34178.0,23278.0,15214.0
Fndsa1024,13402039.0,316419.0,12704972.0
Fndsa512,4357617.0,149374.0,4330343.0
HybridEdFndsa512,4779754.0,205870.0,4263278.0
HybridEdMldsa44,149521.0,118072.0,28634.0
Mldsa44,75700.0,56041.0,16624.0
Mldsa65,116159.0,87439.0,28165.0
Mldsa87,150788.0,105076.0,44667.0
Slhdsa128f,6533961.0,6286320.0,235414.0
Slhdsa128s,137016765.0,119115567.0,15718146.0
Slhdsa256f,20854847.0,21323708.0,914601.0
Slhdsa256s,210670363.0,196234188.0,15134757.0
