alg,online_remaining,saving,saving_lo,saving_hi,real_us,sign_us
Ed25519,0.681081397390134,0.31891860260986604,0.3164786875640838,0.3205908160280784,34.178,23.278
Fndsa1024,0.023609765648346496,0.9763902343516535,0.9749891662128417,0.977532797105012,13402.039,316.419
Fndsa512,0.0342788271663159,0.9657211728336841,0.9640844282636782,0.9671378345096042,4357.617,149.374
HybridEdFndsa512,0.04307125429467709,0.9569287457053229,0.9538195548971143,0.9606592834826213,4779.754,205.87
HybridEdMldsa44,0.7896683409019469,0.21033165909805307,0.15931383116165798,0.2788302866718688,149.521,118.072
Mldsa44,0.7403038309114928,0.25969616908850723,0.12387304637820418,0.31087254741558323,75.7,56.041
Mldsa65,0.7527526924302034,0.24724730756979663,0.08648180536924144,0.34688659509809827,116.159,87.439
Mldsa87,0.6968459028569912,0.3031540971430088,0.23116786724895455,0.37614316731363906,150.788,105.076
Slhdsa128f,0.9620994064702866,0.03790059352971342,0.02918847409419334,0.0419470735711156,6533.961,6286.32
Slhdsa128s,0.8693503090661935,0.13064969093380652,0.11441850826089928,0.14277998501588973,137016.765,119115.567
Slhdsa256f,1.0224821117124474,-0.022482111712447406,-0.04271453058370556,-0.004557480984973106,20854.847,21323.708
Slhdsa256s,0.9314750551789764,0.06852494482102356,0.05929446436993324,0.07362629791303898,210670.363,196234.188
