profile,conc,rps,lo,hi
ed25519,1,40.67,40.13,40.73
ed25519,2,92.67,92.53,92.67
ed25519,4,185.33,185.07,185.87
ed25519,8,345.6,343.47,346.93
ed25519,16,750.27,749.53,752.6
ed25519,32,1509.87,1508.87,1510.2
fndsa512,1,44.87,44.67,45.0
fndsa512,2,90.27,90.13,91.07
fndsa512,4,176.8,173.07,176.8
fndsa512,8,361.6,360.07,366.93
fndsa512,16,738.8,733.13,739.4
fndsa512,32,1491.27,1485.93,1491.8
hyb-ed-fndsa512,1,44.2,44.2,44.2
hyb-ed-fndsa512,2,85.33,84.67,85.33
hyb-ed-fndsa512,4,165.87,165.33,166.93
hyb-ed-fndsa512,8,355.13,354.93,355.27
hyb-ed-fndsa512,16,701.6,701.4,703.13
hyb-ed-fndsa512,32,1404.87,1394.6,1408.67
mix-mldsa87-fndsa512,1,45.8,45.73,45.87
mix-mldsa87-fndsa512,2,88.13,87.6,88.67
mix-mldsa87-fndsa512,4,172.0,172.0,172.53
mix-mldsa87-fndsa512,8,367.2,366.93,367.47
mix-mldsa87-fndsa512,16,725.13,724.33,725.6
mix-mldsa87-fndsa512,32,1480.67,1480.27,1482.53
mldsa87,1,40.93,40.87,40.93
mldsa87,2,81.07,80.13,81.6
mldsa87,4,160.0,158.4,162.13
mldsa87,8,339.93,339.8,340.67
mldsa87,16,665.6,664.67,665.8
mldsa87,32,1177.4,1139.47,1191.2
slhdsa128f,1,27.8,27.67,27.87
slhdsa128f,2,53.73,53.6,53.87
slhdsa128f,4,89.47,87.6,99.13
slhdsa128f,8,207.73,205.73,212.2
slhdsa128f,16,219.47,217.27,229.8
slhdsa128f,32,213.6,211.0,213.73
