family,variant,level,pk,sk,sig,keygen_med_us,keygen_p95_us,sign_med_us,sign_p95_us,verify_med_us,verify_p95_us,samples
classical,ed25519,1,32,32,64,11.205,12.101,11.628,13.170,27.751,29.579,1000
ml-dsa,mldsa44,2,1312,2560,2420,17.742,19.061,47.713,116.911,19.477,20.192,300
ml-dsa,mldsa65,3,1952,4032,3309,30.001,34.673,74.176,203.763,30.725,33.796,300
ml-dsa,mldsa87,5,2592,4896,4627,47.505,57.228,86.854,210.091,47.916,53.975,200
fn-dsa,fndsa512,1,897,1281,653,4646.148,7087.832,151.265,199.258,31.671,39.684,100
fn-dsa,fndsa1024,5,1793,2305,1269,12455.649,23844.165,290.464,338.078,59.755,69.833,100
slh-dsa,slhdsa128s,1,32,64,7856,15765.502,16501.123,122467.304,128676.920,190.978,207.679,30
slh-dsa,slhdsa128f,1,32,64,17088,244.798,261.564,5762.479,6411.876,488.360,537.606,30
slh-dsa,slhdsa256s,5,64,128,29792,15560.767,15776.312,215931.642,222267.841,407.909,441.142,20
slh-dsa,slhdsa256f,5,64,128,49856,1026.752,1044.830,22080.687,22801.062,754.413,961.299,20
