variant,budget_bytes,max_atten_blocks_real
ed25519,4096,20
ed25519,8192,20
ed25519,16384,20
mldsa44,4096,-1
mldsa44,8192,0
mldsa44,16384,2
mldsa65,4096,-1
mldsa65,8192,-1
mldsa65,16384,1
mldsa87,4096,-1
mldsa87,8192,-1
mldsa87,16384,0
fndsa512,4096,1
fndsa512,8192,3
fndsa512,16384,8
fndsa1024,4096,-1
fndsa1024,8192,1
fndsa1024,16384,3
slhdsa128s,4096,-1
slhdsa128s,8192,-1
slhdsa128s,16384,0
slhdsa128f,4096,-1
slhdsa128f,8192,-1
slhdsa128f,16384,-1
slhdsa256s,4096,-1
slhdsa256s,8192,-1
slhdsa256s,16384,-1
slhdsa256f,4096,-1
slhdsa256f,8192,-1
slhdsa256f,16384,-1
