alg,n,phase,median_ns,reps
Ed25519,0,authority_build,25932,101
Ed25519,0,append_hop,38205,101
Ed25519,0,seal,24741,101
Ed25519,0,verify_chain,66579,101
Ed25519,0,authorize,4942,101
Ed25519,1,authority_build,25823,101
Ed25519,1,append_hop,38422,101
Ed25519,1,seal,25413,101
Ed25519,1,verify_chain,101476,101
Ed25519,1,authorize,8063,101
Ed25519,2,authority_build,25843,101
Ed25519,2,append_hop,38293,101
Ed25519,2,seal,25886,101
Ed25519,2,verify_chain,136578,101
Ed25519,2,authorize,10216,101
Ed25519,5,authority_build,25806,101
Ed25519,5,append_hop,39325,101
Ed25519,5,seal,27118,101
Ed25519,5,verify_chain,235586,101
Ed25519,5,authorize,15018,101
Ed25519,10,authority_build,25339,101
Ed25519,10,append_hop,40249,101
Ed25519,10,seal,29544,101
Ed25519,10,verify_chain,415501,101
Ed25519,10,authorize,27407,101
Ed25519,20,authority_build,25476,101
Ed25519,20,append_hop,54208,101
Ed25519,20,seal,34382,101
Ed25519,20,verify_chain,745022,101
Ed25519,20,authorize,46267,101
Mldsa44,0,authority_build,74348,101
Mldsa44,0,append_hop,77064,101
Mldsa44,0,seal,47404,101
Mldsa44,0,verify_chain,55557,101
Mldsa44,0,authorize,4825,101
Mldsa44,1,authority_build,70451,101
Mldsa44,1,append_hop,81158,101
Mldsa44,1,seal,37662,101
Mldsa44,1,verify_chain,87461,101
Mldsa44,1,authorize,7105,101
Mldsa44,2,authority_build,66816,101
Mldsa44,2,append_hop,74379,101
Mldsa44,2,seal,45732,101
Mldsa44,2,verify_chain,118623,101
Mldsa44,2,authorize,9136,101
Mldsa44,5,authority_build,64789,101
Mldsa44,5,append_hop,77246,101
Mldsa44,5,seal,39837,101
Mldsa44,5,verify_chain,217651,101
Mldsa44,5,authorize,15860,101
Mldsa44,10,authority_build,72947,101
Mldsa44,10,append_hop,81991,101
Mldsa44,10,seal,105530,101
Mldsa44,10,verify_chain,387900,101
Mldsa44,10,authorize,26847,101
Mldsa44,20,authority_build,70055,101
Mldsa44,20,append_hop,89992,101
Mldsa44,20,seal,65696,101
Mldsa44,20,verify_chain,713684,101
Mldsa44,20,authorize,46009,101
Fndsa512,0,authority_build,4532112,101
Fndsa512,0,append_hop,4637357,101
Fndsa512,0,seal,159009,101
Fndsa512,0,verify_chain,64925,101
Fndsa512,0,authorize,4995,101
Fndsa512,1,authority_build,4875806,101
Fndsa512,1,append_hop,4593813,101
Fndsa512,1,seal,161556,101
Fndsa512,1,verify_chain,100188,101
Fndsa512,1,authorize,7504,101
Fndsa512,2,authority_build,4624014,101
Fndsa512,2,append_hop,4858665,101
Fndsa512,2,seal,161001,101
Fndsa512,2,verify_chain,131734,101
Fndsa512,2,authorize,9782,101
Fndsa512,5,authority_build,4739240,101
Fndsa512,5,append_hop,4839465,101
Fndsa512,5,seal,161569,101
Fndsa512,5,verify_chain,243347,101
Fndsa512,5,authorize,17253,101
Fndsa512,10,authority_build,4895993,101
Fndsa512,10,append_hop,5147696,101
Fndsa512,10,seal,171925,101
Fndsa512,10,verify_chain,449581,101
Fndsa512,10,authorize,28731,101
Fndsa512,20,authority_build,4758414,101
Fndsa512,20,append_hop,4629149,101
Fndsa512,20,seal,170275,101
Fndsa512,20,verify_chain,807764,101
Fndsa512,20,authorize,48129,101
HybridEdMldsa44,0,authority_build,139688,101
HybridEdMldsa44,0,append_hop,149451,101
HybridEdMldsa44,0,seal,80024,101
HybridEdMldsa44,0,verify_chain,146403,101
HybridEdMldsa44,0,authorize,4747,101
HybridEdMldsa44,1,authority_build,132974,101
HybridEdMldsa44,1,append_hop,144234,101
HybridEdMldsa44,1,seal,81120,101
HybridEdMldsa44,1,verify_chain,223115,101
HybridEdMldsa44,1,authorize,7406,101
HybridEdMldsa44,2,authority_build,128898,101
HybridEdMldsa44,2,append_hop,151077,101
HybridEdMldsa44,2,seal,98747,101
HybridEdMldsa44,2,verify_chain,297036,101
HybridEdMldsa44,2,authorize,9513,101
HybridEdMldsa44,5,authority_build,139162,101
HybridEdMldsa44,5,append_hop,152440,101
HybridEdMldsa44,5,seal,75929,101
HybridEdMldsa44,5,verify_chain,540495,101
HybridEdMldsa44,5,authorize,16227,101
HybridEdMldsa44,10,authority_build,127887,101
HybridEdMldsa44,10,append_hop,156694,101
HybridEdMldsa44,10,seal,120742,101
HybridEdMldsa44,10,verify_chain,976370,101
HybridEdMldsa44,10,authorize,29323,101
HybridEdMldsa44,20,authority_build,144208,101
HybridEdMldsa44,20,append_hop,166575,101
HybridEdMldsa44,20,seal,105965,101
HybridEdMldsa44,20,verify_chain,1844090,101
HybridEdMldsa44,20,authorize,49105,101
HybridEdFndsa512,0,authority_build,4583406,101
HybridEdFndsa512,0,append_hop,4945659,101
HybridEdFndsa512,0,seal,191456,101
HybridEdFndsa512,0,verify_chain,151086,101
HybridEdFndsa512,0,authorize,4995,101
HybridEdFndsa512,1,authority_build,4740367,101
HybridEdFndsa512,1,append_hop,4845263,101
HybridEdFndsa512,1,seal,188291,101
HybridEdFndsa512,1,verify_chain,225797,101
HybridEdFndsa512,1,authorize,7278,101
HybridEdFndsa512,2,authority_build,4721725,101
HybridEdFndsa512,2,append_hop,4769361,101
HybridEdFndsa512,2,seal,193436,101
HybridEdFndsa512,2,verify_chain,303443,101
HybridEdFndsa512,2,authorize,9653,101
HybridEdFndsa512,5,authority_build,4710079,101
HybridEdFndsa512,5,append_hop,4844157,101
HybridEdFndsa512,5,seal,189648,101
HybridEdFndsa512,5,verify_chain,535188,101
HybridEdFndsa512,5,authorize,16020,101
HybridEdFndsa512,10,authority_build,4761216,101
HybridEdFndsa512,10,append_hop,4719850,101
HybridEdFndsa512,10,seal,193299,101
HybridEdFndsa512,10,verify_chain,935687,101
HybridEdFndsa512,10,authorize,26600,101
HybridEdFndsa512,20,authority_build,4797651,101
HybridEdFndsa512,20,append_hop,4585073,101
HybridEdFndsa512,20,seal,205945,101
HybridEdFndsa512,20,verify_chain,1734705,101
HybridEdFndsa512,20,authorize,47699,101
