alg,n,unsealed_bytes,sealed_bytes
Ed25519,0,184,216
Ed25519,1,310,342
Ed25519,2,436,468
Ed25519,3,562,594
Ed25519,4,688,720
Ed25519,5,814,846
Ed25519,6,940,972
Ed25519,7,1066,1098
Ed25519,8,1192,1224
Ed25519,9,1318,1350
Ed25519,10,1444,1476
Ed25519,11,1570,1602
Ed25519,12,1696,1728
Ed25519,13,1822,1854
Ed25519,14,1948,1980
Ed25519,15,2074,2106
Ed25519,16,2200,2232
Ed25519,17,2326,2358
Ed25519,18,2452,2484
Ed25519,19,2578,2610
Ed25519,20,2704,2736
Mldsa44,0,7667,6215
Mldsa44,1,11435,9983
Mldsa44,2,15203,13751
Mldsa44,3,18971,17519
Mldsa44,4,22739,21287
Mldsa44,5,26507,25055
Mldsa44,6,30275,28823
Mldsa44,7,34043,32591
Mldsa44,8,37811,36359
Mldsa44,9,41579,40127
Mldsa44,10,45347,43895
Mldsa44,11,49115,47663
Mldsa44,12,52883,51431
Mldsa44,13,56651,55199
Mldsa44,14,60419,58967
Mldsa44,15,64187,62735
Mldsa44,16,67955,66503
Mldsa44,17,71723,70271
Mldsa44,18,75491,74039
Mldsa44,19,79259,77807
Mldsa44,20,83027,81575
Fndsa512,0,3792,2273
Fndsa512,1,5387,3861
Fndsa512,2,6966,5442
Fndsa512,3,8556,7036
Fndsa512,4,10147,8627
Fndsa512,5,11722,10199
Fndsa512,6,13322,11801
Fndsa512,7,14910,13388
Fndsa512,8,16493,14973
Fndsa512,9,18077,16556
Fndsa512,10,19674,18153
Fndsa512,11,21264,19742
Fndsa512,12,22864,21342
Fndsa512,13,24439,22918
Fndsa512,14,26040,24513
Fndsa512,15,27602,26081
Fndsa512,16,29201,27677
Fndsa512,17,30797,29274
Fndsa512,18,32386,30865
Fndsa512,19,33976,32453
Fndsa512,20,35562,34037
HybridEdMldsa44,0,7795,6375
HybridEdMldsa44,1,11659,10239
HybridEdMldsa44,2,15523,14103
HybridEdMldsa44,3,19387,17967
HybridEdMldsa44,4,23251,21831
HybridEdMldsa44,5,27115,25695
HybridEdMldsa44,6,30979,29559
HybridEdMldsa44,7,34843,33423
HybridEdMldsa44,8,38707,37287
HybridEdMldsa44,9,42571,41151
HybridEdMldsa44,10,46435,45015
HybridEdMldsa44,11,50299,48879
HybridEdMldsa44,12,54163,52743
HybridEdMldsa44,13,58027,56607
HybridEdMldsa44,14,61891,60471
HybridEdMldsa44,15,65755,64335
HybridEdMldsa44,16,69619,68199
HybridEdMldsa44,17,73483,72063
HybridEdMldsa44,18,77347,75927
HybridEdMldsa44,19,81211,79791
HybridEdMldsa44,20,85075,83655
HybridEdFndsa512,0,3920,2428
HybridEdFndsa512,1,5605,4114
HybridEdFndsa512,2,7294,5802
HybridEdFndsa512,3,8982,7493
HybridEdFndsa512,4,10657,9162
HybridEdFndsa512,5,12345,10852
HybridEdFndsa512,6,14024,12532
HybridEdFndsa512,7,15709,14211
HybridEdFndsa512,8,17388,15897
HybridEdFndsa512,9,19074,17585
HybridEdFndsa512,10,20766,19274
HybridEdFndsa512,11,22455,20964
HybridEdFndsa512,12,24121,22631
HybridEdFndsa512,13,25803,24314
HybridEdFndsa512,14,27511,26021
HybridEdFndsa512,15,29195,27702
HybridEdFndsa512,16,30870,29378
HybridEdFndsa512,17,32550,31060
HybridEdFndsa512,18,34238,32749
HybridEdFndsa512,19,35909,34419
HybridEdFndsa512,20,37578,36086
