alg,n,phase,median_ns,reps
Ed25519,0,authority_build,25108,101
Ed25519,0,append_hop,36573,101
Ed25519,0,seal,24128,101
Ed25519,0,verify_chain,63582,101
Ed25519,0,authorize,4758,101
Ed25519,1,authority_build,25051,101
Ed25519,1,append_hop,36899,101
Ed25519,1,seal,24619,101
Ed25519,1,verify_chain,96722,101
Ed25519,1,authorize,7277,101
Ed25519,2,authority_build,25103,101
Ed25519,2,append_hop,42800,101
Ed25519,2,seal,25327,101
Ed25519,2,verify_chain,131023,101
Ed25519,2,authorize,9096,101
Ed25519,5,authority_build,25081,101
Ed25519,5,append_hop,38163,101
Ed25519,5,seal,26421,101
Ed25519,5,verify_chain,226025,101
Ed25519,5,authorize,14830,101
Ed25519,10,authority_build,24494,101
Ed25519,10,append_hop,39839,101
Ed25519,10,seal,28940,101
Ed25519,10,verify_chain,396887,101
Ed25519,10,authorize,25014,101
Ed25519,20,authority_build,24605,101
Ed25519,20,append_hop,44212,101
Ed25519,20,seal,33908,101
Ed25519,20,verify_chain,739324,101
Ed25519,20,authorize,44812,101
Mldsa44,0,authority_build,70819,101
Mldsa44,0,append_hop,72572,101
Mldsa44,0,seal,85960,101
Mldsa44,0,verify_chain,54496,101
Mldsa44,0,authorize,4814,101
Mldsa44,1,authority_build,63911,101
Mldsa44,1,append_hop,65134,101
Mldsa44,1,seal,75469,101
Mldsa44,1,verify_chain,85344,101
Mldsa44,1,authorize,6695,101
Mldsa44,2,authority_build,73194,101
Mldsa44,2,append_hop,74746,101
Mldsa44,2,seal,37805,101
Mldsa44,2,verify_chain,116143,101
Mldsa44,2,authorize,9042,101
Mldsa44,5,authority_build,63061,101
Mldsa44,5,append_hop,74182,101
Mldsa44,5,seal,46545,101
Mldsa44,5,verify_chain,209726,101
Mldsa44,5,authorize,15290,101
Mldsa44,10,authority_build,66479,101
Mldsa44,10,append_hop,77685,101
Mldsa44,10,seal,50327,101
Mldsa44,10,verify_chain,371198,101
Mldsa44,10,authorize,24882,101
Mldsa44,20,authority_build,73487,101
Mldsa44,20,append_hop,80284,101
Mldsa44,20,seal,142033,101
Mldsa44,20,verify_chain,693211,101
Mldsa44,20,authorize,44099,101
Mldsa65,0,authority_build,117262,101
Mldsa65,0,append_hop,115776,101
Mldsa65,0,seal,151805,101
Mldsa65,0,verify_chain,86961,101
Mldsa65,0,authorize,4974,101
Mldsa65,1,authority_build,176299,101
