root,atten,n,sealed_bytes,verify_median_us,reps
Mldsa87,Fndsa512,0,11909,,
Mldsa87,Fndsa512,1,13495,,
Mldsa87,Fndsa512,2,15083,,
Mldsa87,Fndsa512,3,16675,,
Mldsa87,Fndsa512,4,18266,,
Mldsa87,Fndsa512,5,19846,,
Mldsa87,Fndsa512,6,21436,,
Mldsa87,Fndsa512,7,23014,,
Mldsa87,Fndsa512,8,24608,,
Mldsa87,Fndsa512,9,26199,,
Mldsa87,Fndsa512,10,27786,,
Mldsa87,Fndsa512,0,,129.72,21
Mldsa87,Fndsa512,1,,165.62,21
Mldsa87,Fndsa512,2,,199.79,21
Mldsa87,Fndsa512,5,,309.41,21
Mldsa87,Fndsa512,10,,497.26,21
Slhdsa256s,Fndsa512,0,59713,,
Slhdsa256s,Fndsa512,1,61297,,
Slhdsa256s,Fndsa512,2,62892,,
Slhdsa256s,Fndsa512,3,64474,,
Slhdsa256s,Fndsa512,4,66063,,
Slhdsa256s,Fndsa512,5,67662,,
Slhdsa256s,Fndsa512,6,69241,,
Slhdsa256s,Fndsa512,7,70829,,
Slhdsa256s,Fndsa512,8,72423,,
Slhdsa256s,Fndsa512,9,74007,,
Slhdsa256s,Fndsa512,10,75579,,
Slhdsa256s,Fndsa512,0,,831.04,21
Slhdsa256s,Fndsa512,1,,932.89,21
Slhdsa256s,Fndsa512,2,,992.90,21
Slhdsa256s,Fndsa512,5,,1067.28,21
Slhdsa256s,Fndsa512,10,,1258.54,21
Slhdsa128s,Mldsa44,0,15805,,
Slhdsa128s,Mldsa44,1,19573,,
Slhdsa128s,Mldsa44,2,23341,,
Slhdsa128s,Mldsa44,3,27109,,
Slhdsa128s,Mldsa44,4,30877,,
Slhdsa128s,Mldsa44,5,34645,,
Slhdsa128s,Mldsa44,6,38413,,
Slhdsa128s,Mldsa44,7,42181,,
Slhdsa128s,Mldsa44,8,45949,,
Slhdsa128s,Mldsa44,9,49717,,
Slhdsa128s,Mldsa44,10,53485,,
Slhdsa128s,Mldsa44,0,,384.17,21
Slhdsa128s,Mldsa44,1,,447.47,21
Slhdsa128s,Mldsa44,2,,477.40,21
Slhdsa128s,Mldsa44,5,,568.68,21
Slhdsa128s,Mldsa44,10,,710.81,21
Mldsa87,Mldsa44,0,11909,,
Mldsa87,Mldsa44,1,15677,,
Mldsa87,Mldsa44,2,19445,,
Mldsa87,Mldsa44,3,23213,,
Mldsa87,Mldsa44,4,26981,,
Mldsa87,Mldsa44,5,30749,,
Mldsa87,Mldsa44,6,34517,,
Mldsa87,Mldsa44,7,38285,,
Mldsa87,Mldsa44,8,42053,,
Mldsa87,Mldsa44,9,45821,,
Mldsa87,Mldsa44,10,49589,,
Mldsa87,Mldsa44,0,,123.80,21
Mldsa87,Mldsa44,1,,156.88,21
Mldsa87,Mldsa44,2,,186.56,21
Mldsa87,Mldsa44,5,,278.56,21
Mldsa87,Mldsa44,10,,432.99,21
Slhdsa128s,Fndsa512,0,15805,,
Slhdsa128s,Fndsa512,1,17392,,
Slhdsa128s,Fndsa512,2,18979,,
Slhdsa128s,Fndsa512,3,20570,,
Slhdsa128s,Fndsa512,4,22165,,
Slhdsa128s,Fndsa512,5,23748,,
Slhdsa128s,Fndsa512,6,25330,,
Slhdsa128s,Fndsa512,7,26931,,
Slhdsa128s,Fndsa512,8,28506,,
Slhdsa128s,Fndsa512,9,30091,,
Slhdsa128s,Fndsa512,10,31688,,
Slhdsa128s,Fndsa512,0,,414.80,21
Slhdsa128s,Fndsa512,1,,444.99,21
Slhdsa128s,Fndsa512,2,,488.31,21
Slhdsa128s,Fndsa512,5,,575.31,21
Slhdsa128s,Fndsa512,10,,772.28,21
