alg,n,unsealed_bytes,sealed_bytes
Ed25519,0,184,216
Ed25519,1,310,342
Ed25519,2,436,468
Ed25519,3,562,594
Ed25519,4,688,720
Ed25519,5,814,846
Ed25519,6,940,972
Ed25519,7,1066,1098
Ed25519,8,1192,1224
Ed25519,9,1318,1350
Ed25519,10,1444,1476
Ed25519,11,1570,1602
Ed25519,12,1696,1728
Ed25519,13,1822,1854
Ed25519,14,1948,1980
Ed25519,15,2074,2106
Ed25519,16,2200,2232
Ed25519,17,2326,2358
Ed25519,18,2452,2484
Ed25519,19,2578,2610
Ed25519,20,2704,2736
Mldsa44,0,7667,6215
Mldsa44,1,11435,9983
Mldsa44,2,15203,13751
Mldsa44,3,18971,17519
Mldsa44,4,22739,21287
Mldsa44,5,26507,25055
Mldsa44,6,30275,28823
Mldsa44,7,34043,32591
Mldsa44,8,37811,36359
Mldsa44,9,41579,40127
Mldsa44,10,45347,43895
Mldsa44,11,49115,47663
Mldsa44,12,52883,51431
Mldsa44,13,56651,55199
Mldsa44,14,60419,58967
Mldsa44,15,64187,62735
Mldsa44,16,67955,66503
Mldsa44,17,71723,70271
Mldsa44,18,75491,74039
Mldsa44,19,79259,77807
Mldsa44,20,83027,81575
Mldsa65,0,11308,8633
Mldsa65,1,16605,13930
Mldsa65,2,21902,19227
Mldsa65,3,27199,24524
Mldsa65,4,32496,29821
Mldsa65,5,37793,35118
Mldsa65,6,43090,40415
Mldsa65,7,48387,45712
Mldsa65,8,53684,51009
Mldsa65,9,58981,56306
Mldsa65,10,64278,61603
Mldsa65,11,69575,66900
Mldsa65,12,74872,72197
Mldsa65,13,80169,77494
Mldsa65,14,85466,82791
Mldsa65,15,90763,88088
Mldsa65,16,96060,93385
Mldsa65,17,101357,98682
Mldsa65,18,106654,103979
Mldsa65,19,111951,109276
Mldsa65,20,117248,114573
Mldsa87,0,14770,11909
Mldsa87,1,22025,19164
Mldsa87,2,29280,26419
Mldsa87,3,36535,33674
Mldsa87,4,43790,40929
Mldsa87,5,51045,48184
Mldsa87,6,58300,55439
Mldsa87,7,65555,62694
Mldsa87,8,72810,69949
Mldsa87,9,80065,77204
Mldsa87,10,87320,84459
Mldsa87,11,94575,91714
Mldsa87,12,101830,98969
Mldsa87,13,109085,106224
Mldsa87,14,116340,113479
Mldsa87,15,123595,120734
Mldsa87,16,130850,127989
Mldsa87,17,138105,135244
Mldsa87,18,145360,142499
Mldsa87,19,152615,149754
Mldsa87,20,159870,157009
Fndsa512,0,3792,2268
Fndsa512,1,5387,3867
Fndsa512,2,6960,5439
Fndsa512,3,8558,7034
Fndsa512,4,10143,8623
Fndsa512,5,11735,10214
Fndsa512,6,13321,11799
Fndsa512,7,14910,13388
Fndsa512,8,16494,14972
Fndsa512,9,18081,16559
Fndsa512,10,19680,18154
Fndsa512,11,21267,19742
Fndsa512,12,22857,21334
Fndsa512,13,24447,22926
Fndsa512,14,26015,24490
Fndsa512,15,27625,26100
Fndsa512,16,29199,27677
Fndsa512,17,30795,29271
Fndsa512,18,32384,30858
Fndsa512,19,33972,32448
Fndsa512,20,35554,34034
Fndsa1024,0,7221,4390
Fndsa1024,1,10325,7495
Fndsa1024,2,13437,10607
Fndsa1024,3,16526,13697
Fndsa1024,4,19621,16792
Fndsa1024,5,22724,19897
Fndsa1024,6,25802,22973
Fndsa1024,7,28932,26104
Fndsa1024,8,32030,29204
Fndsa1024,9,35119,32292
Fndsa1024,10,38235,35406
Fndsa1024,11,41310,38485
Fndsa1024,12,44421,41590
Fndsa1024,13,47532,44707
Fndsa1024,14,50605,47772
Fndsa1024,15,53728,50899
Fndsa1024,16,56812,53985
Fndsa1024,17,59930,57106
Fndsa1024,18,63003,60179
Fndsa1024,19,66132,63312
Fndsa1024,20,69217,66389
Slhdsa128s,0,8043,15805
Slhdsa128s,1,15965,23727
Slhdsa128s,2,23887,31649
Slhdsa128s,3,31809,39571
Slhdsa128s,4,39731,47493
Slhdsa128s,5,47653,55415
Slhdsa128s,6,55575,63337
Slhdsa128s,7,63497,71259
Slhdsa128s,8,71419,79181
Slhdsa128s,9,79341,87103
Slhdsa128s,10,87263,95025
Slhdsa128s,11,95185,102947
Slhdsa128s,12,103107,110869
Slhdsa128s,13,111029,118791
Slhdsa128s,14,118951,126713
Slhdsa128s,15,126873,134635
Slhdsa128s,16,134795,142557
Slhdsa128s,17,142717,150479
Slhdsa128s,18,150639,158401
Slhdsa128s,19,158561,166323
Slhdsa128s,20,166483,174245
Slhdsa128f,0,17277,34273
Slhdsa128f,1,34433,51429
Slhdsa128f,2,51589,68585
Slhdsa128f,3,68745,85741
