alg,iter,sealed_n0
Fndsa512,0,2272
Fndsa512,1,2275
Fndsa512,2,2273
Fndsa512,3,2275
Fndsa512,4,2272
Fndsa512,5,2273
Fndsa512,6,2272
Fndsa512,7,2270
Fndsa512,8,2267
Fndsa512,9,2270
Fndsa512,10,2275
Fndsa512,11,2271
Fndsa512,12,2272
Fndsa512,13,2270
Fndsa512,14,2268
Fndsa512,15,2273
Fndsa512,16,2271
Fndsa512,17,2269
Fndsa512,18,2270
Fndsa512,19,2270
Fndsa512,20,2272
Fndsa512,21,2269
Fndsa512,22,2267
Fndsa512,23,2270
Fndsa512,24,2275
Fndsa512,25,2270
Fndsa512,26,2268
Fndsa512,27,2271
Fndsa512,28,2273
Fndsa512,29,2268
Fndsa512,30,2272
Fndsa512,31,2268
Fndsa512,32,2270
Fndsa512,33,2268
Fndsa512,34,2270
Fndsa512,35,2271
Fndsa512,36,2267
Fndsa512,37,2274
Fndsa512,38,2278
Fndsa512,39,2272
Fndsa512,40,2272
Fndsa512,41,2274
Fndsa512,42,2276
Fndsa512,43,2274
Fndsa512,44,2275
Fndsa512,45,2270
Fndsa512,46,2272
Fndsa512,47,2273
Fndsa512,48,2267
Fndsa512,49,2271
Fndsa512,50,2271
Fndsa1024,0,4396
Fndsa1024,1,4398
Fndsa1024,2,4392
Fndsa1024,3,4396
Fndsa1024,4,4390
Fndsa1024,5,4397
Fndsa1024,6,4394
Fndsa1024,7,4400
Fndsa1024,8,4394
Fndsa1024,9,4403
Fndsa1024,10,4398
Fndsa1024,11,4390
Fndsa1024,12,4396
Fndsa1024,13,4395
Fndsa1024,14,4390
Fndsa1024,15,4395
Fndsa1024,16,4397
Fndsa1024,17,4398
Fndsa1024,18,4397
Fndsa1024,19,4388
Fndsa1024,20,4394
Fndsa1024,21,4402
Fndsa1024,22,4402
Fndsa1024,23,4397
Fndsa1024,24,4390
Fndsa1024,25,4403
Fndsa1024,26,4395
Fndsa1024,27,4396
Fndsa1024,28,4406
Fndsa1024,29,4396
Fndsa1024,30,4401
Fndsa1024,31,4400
Fndsa1024,32,4400
Fndsa1024,33,4396
Fndsa1024,34,4393
Fndsa1024,35,4396
Fndsa1024,36,4397
Fndsa1024,37,4399
Fndsa1024,38,4393
Fndsa1024,39,4405
Fndsa1024,40,4401
Fndsa1024,41,4409
Fndsa1024,42,4399
Fndsa1024,43,4400
Fndsa1024,44,4396
Fndsa1024,45,4399
Fndsa1024,46,4398
Fndsa1024,47,4394
Fndsa1024,48,4398
Fndsa1024,49,4399
Fndsa1024,50,4402
HybridEdFndsa512,0,2426
HybridEdFndsa512,1,2432
HybridEdFndsa512,2,2428
HybridEdFndsa512,3,2433
HybridEdFndsa512,4,2437
HybridEdFndsa512,5,2428
HybridEdFndsa512,6,2434
HybridEdFndsa512,7,2429
HybridEdFndsa512,8,2431
HybridEdFndsa512,9,2432
HybridEdFndsa512,10,2432
HybridEdFndsa512,11,2431
HybridEdFndsa512,12,2432
HybridEdFndsa512,13,2432
HybridEdFndsa512,14,2429
HybridEdFndsa512,15,2431
HybridEdFndsa512,16,2434
HybridEdFndsa512,17,2429
HybridEdFndsa512,18,2430
HybridEdFndsa512,19,2436
HybridEdFndsa512,20,2431
HybridEdFndsa512,21,2426
HybridEdFndsa512,22,2434
HybridEdFndsa512,23,2423
HybridEdFndsa512,24,2428
HybridEdFndsa512,25,2426
HybridEdFndsa512,26,2427
HybridEdFndsa512,27,2430
HybridEdFndsa512,28,2433
HybridEdFndsa512,29,2433
HybridEdFndsa512,30,2431
HybridEdFndsa512,31,2433
HybridEdFndsa512,32,2434
HybridEdFndsa512,33,2431
HybridEdFndsa512,34,2429
HybridEdFndsa512,35,2433
HybridEdFndsa512,36,2431
HybridEdFndsa512,37,2426
HybridEdFndsa512,38,2432
HybridEdFndsa512,39,2428
HybridEdFndsa512,40,2433
HybridEdFndsa512,41,2428
HybridEdFndsa512,42,2433
HybridEdFndsa512,43,2433
HybridEdFndsa512,44,2434
HybridEdFndsa512,45,2429
HybridEdFndsa512,46,2435
HybridEdFndsa512,47,2429
HybridEdFndsa512,48,2430
HybridEdFndsa512,49,2426
HybridEdFndsa512,50,2433
