alg,iter,sealed_n0
Fndsa512,0,2271
Fndsa512,1,2271
Fndsa512,2,2273
Fndsa512,3,2272
Fndsa512,4,2269
Fndsa512,5,2266
Fndsa512,6,2266
Fndsa512,7,2270
Fndsa512,8,2267
Fndsa512,9,2270
Fndsa512,10,2271
Fndsa512,11,2267
Fndsa512,12,2267
Fndsa512,13,2272
Fndsa512,14,2265
Fndsa512,15,2272
Fndsa512,16,2266
Fndsa512,17,2273
Fndsa512,18,2274
Fndsa512,19,2267
Fndsa512,20,2270
Fndsa512,21,2265
Fndsa512,22,2271
Fndsa512,23,2273
Fndsa512,24,2265
Fndsa512,25,2272
Fndsa512,26,2265
Fndsa512,27,2269
Fndsa512,28,2270
Fndsa512,29,2274
Fndsa512,30,2267
Fndsa512,31,2268
Fndsa512,32,2267
Fndsa512,33,2267
Fndsa512,34,2271
Fndsa512,35,2270
Fndsa512,36,2272
Fndsa512,37,2271
Fndsa512,38,2268
Fndsa512,39,2274
Fndsa512,40,2276
Fndsa512,41,2268
Fndsa512,42,2266
Fndsa512,43,2274
Fndsa512,44,2267
Fndsa512,45,2273
Fndsa512,46,2270
Fndsa512,47,2276
Fndsa512,48,2272
Fndsa512,49,2273
Fndsa512,50,2270
Fndsa1024,0,4394
Fndsa1024,1,4389
Fndsa1024,2,4394
Fndsa1024,3,4399
Fndsa1024,4,4393
Fndsa1024,5,4396
Fndsa1024,6,4402
Fndsa1024,7,4396
Fndsa1024,8,4390
Fndsa1024,9,4400
Fndsa1024,10,4407
Fndsa1024,11,4390
Fndsa1024,12,4392
Fndsa1024,13,4393
Fndsa1024,14,4405
Fndsa1024,15,4394
Fndsa1024,16,4396
Fndsa1024,17,4393
Fndsa1024,18,4403
Fndsa1024,19,4396
Fndsa1024,20,4407
Fndsa1024,21,4394
Fndsa1024,22,4400
Fndsa1024,23,4386
Fndsa1024,24,4396
Fndsa1024,25,4402
Fndsa1024,26,4400
Fndsa1024,27,4398
Fndsa1024,28,4389
Fndsa1024,29,4396
Fndsa1024,30,4393
Fndsa1024,31,4392
Fndsa1024,32,4398
Fndsa1024,33,4396
Fndsa1024,34,4394
Fndsa1024,35,4400
Fndsa1024,36,4405
Fndsa1024,37,4400
Fndsa1024,38,4404
Fndsa1024,39,4401
Fndsa1024,40,4405
Fndsa1024,41,4403
Fndsa1024,42,4397
Fndsa1024,43,4390
Fndsa1024,44,4393
Fndsa1024,45,4397
Fndsa1024,46,4397
Fndsa1024,47,4397
Fndsa1024,48,4397
Fndsa1024,49,4401
Fndsa1024,50,4399
HybridEdFndsa512,0,2425
HybridEdFndsa512,1,2432
HybridEdFndsa512,2,2430
HybridEdFndsa512,3,2431
HybridEdFndsa512,4,2434
HybridEdFndsa512,5,2437
HybridEdFndsa512,6,2431
HybridEdFndsa512,7,2431
HybridEdFndsa512,8,2435
HybridEdFndsa512,9,2426
HybridEdFndsa512,10,2429
HybridEdFndsa512,11,2427
HybridEdFndsa512,12,2432
HybridEdFndsa512,13,2431
HybridEdFndsa512,14,2433
HybridEdFndsa512,15,2428
HybridEdFndsa512,16,2427
HybridEdFndsa512,17,2437
HybridEdFndsa512,18,2422
HybridEdFndsa512,19,2430
HybridEdFndsa512,20,2429
HybridEdFndsa512,21,2430
HybridEdFndsa512,22,2435
HybridEdFndsa512,23,2431
HybridEdFndsa512,24,2432
HybridEdFndsa512,25,2429
HybridEdFndsa512,26,2430
HybridEdFndsa512,27,2436
HybridEdFndsa512,28,2428
HybridEdFndsa512,29,2431
HybridEdFndsa512,30,2429
HybridEdFndsa512,31,2434
HybridEdFndsa512,32,2426
HybridEdFndsa512,33,2426
HybridEdFndsa512,34,2432
HybridEdFndsa512,35,2430
HybridEdFndsa512,36,2434
HybridEdFndsa512,37,2427
HybridEdFndsa512,38,2432
HybridEdFndsa512,39,2427
HybridEdFndsa512,40,2430
HybridEdFndsa512,41,2429
HybridEdFndsa512,42,2430
HybridEdFndsa512,43,2432
HybridEdFndsa512,44,2434
HybridEdFndsa512,45,2426
HybridEdFndsa512,46,2432
HybridEdFndsa512,47,2432
HybridEdFndsa512,48,2430
HybridEdFndsa512,49,2431
HybridEdFndsa512,50,2434
