alg,op,n,ns
Ed25519,verify_chain,0,58781
Ed25519,verify_chain,0,70179
Ed25519,verify_chain,0,60936
Ed25519,verify_chain,0,59230
Ed25519,verify_chain,0,58784
Ed25519,verify_chain,0,58628
Ed25519,verify_chain,0,58660
Ed25519,verify_chain,0,58605
Ed25519,verify_chain,0,58643
Ed25519,verify_chain,0,58584
Ed25519,verify_chain,0,58561
Ed25519,verify_chain,0,58593
Ed25519,verify_chain,0,58684
Ed25519,verify_chain,0,58630
Ed25519,verify_chain,0,58376
Ed25519,verify_chain,0,66357
Ed25519,verify_chain,0,60363
Ed25519,verify_chain,0,58770
Ed25519,verify_chain,0,58601
Ed25519,verify_chain,0,58475
Ed25519,verify_chain,0,58571
Ed25519,verify_chain,0,58591
Ed25519,verify_chain,0,58521
Ed25519,verify_chain,0,58599
Ed25519,verify_chain,0,58547
Ed25519,verify_chain,0,58503
Ed25519,verify_chain,0,58532
Ed25519,verify_chain,0,58437
Ed25519,verify_chain,0,58468
Ed25519,verify_chain,0,58520
Ed25519,verify_chain,0,58575
Ed25519,verify_chain,0,58512
Ed25519,verify_chain,0,58515
Ed25519,verify_chain,0,58604
Ed25519,verify_chain,0,58791
Ed25519,verify_chain,0,58453
Ed25519,verify_chain,0,58610
Ed25519,verify_chain,0,58632
Ed25519,verify_chain,0,58609
Ed25519,verify_chain,0,58483
Ed25519,verify_chain,0,58603
Ed25519,verify_chain,0,58482
Ed25519,verify_chain,0,58606
Ed25519,verify_chain,0,58709
Ed25519,verify_chain,0,58616
Ed25519,verify_chain,0,58547
Ed25519,verify_chain,0,58486
Ed25519,verify_chain,0,58318
Ed25519,verify_chain,0,65255
Ed25519,verify_chain,0,62325
Ed25519,verify_chain,0,62241
Ed25519,verify_chain,0,64591
Ed25519,verify_chain,0,59535
Ed25519,verify_chain,0,58548
Ed25519,verify_chain,0,58647
Ed25519,verify_chain,0,58456
Ed25519,verify_chain,0,58473
Ed25519,verify_chain,0,58468
Ed25519,verify_chain,0,58577
Ed25519,verify_chain,0,58631
Ed25519,verify_chain,0,58475
Ed25519,verify_chain,0,58536
Ed25519,verify_chain,0,58735
Ed25519,verify_chain,0,58594
Ed25519,verify_chain,0,58565
Ed25519,verify_chain,0,58634
Ed25519,verify_chain,0,58735
Ed25519,verify_chain,0,58713
Ed25519,verify_chain,0,58658
Ed25519,verify_chain,0,58988
Ed25519,verify_chain,0,58613
Ed25519,verify_chain,0,58445
Ed25519,verify_chain,0,58627
Ed25519,verify_chain,0,58627
Ed25519,verify_chain,0,58886
