alg,op,n,ns
Ed25519,verify_chain,0,62397
Ed25519,verify_chain,0,62140
Ed25519,verify_chain,0,63399
Ed25519,verify_chain,0,60882
Ed25519,verify_chain,0,61086
Ed25519,verify_chain,0,60955
Ed25519,verify_chain,0,61062
Ed25519,verify_chain,0,60755
Ed25519,verify_chain,0,61848
Ed25519,verify_chain,0,63293
Ed25519,verify_chain,0,60839
Ed25519,verify_chain,0,60744
Ed25519,verify_chain,0,60745
Ed25519,verify_chain,0,60889
Ed25519,verify_chain,0,61810
Ed25519,verify_chain,0,140694
Ed25519,verify_chain,0,65701
Ed25519,verify_chain,0,62573
Ed25519,verify_chain,0,61201
Ed25519,verify_chain,0,60965
Ed25519,verify_chain,0,60945
Ed25519,verify_chain,0,61039
Ed25519,verify_chain,0,60913
Ed25519,verify_chain,0,61131
Ed25519,verify_chain,0,61829
Ed25519,verify_chain,0,104860
Ed25519,verify_chain,0,62741
Ed25519,verify_chain,0,61177
Ed25519,verify_chain,0,61258
Ed25519,verify_chain,0,60927
Ed25519,verify_chain,0,60989
Ed25519,verify_chain,0,61024
Ed25519,verify_chain,0,60935
Ed25519,verify_chain,0,60714
Ed25519,verify_chain,0,60825
Ed25519,verify_chain,0,60857
Ed25519,verify_chain,0,60820
Ed25519,verify_chain,0,60739
Ed25519,verify_chain,0,60868
Ed25519,verify_chain,0,60830
Ed25519,verify_chain,0,60873
Ed25519,verify_chain,0,69750
Ed25519,verify_chain,0,64376
Ed25519,verify_chain,0,61554
Ed25519,verify_chain,0,60811
Ed25519,verify_chain,0,60962
Ed25519,verify_chain,0,60811
Ed25519,verify_chain,0,60824
Ed25519,verify_chain,0,60801
Ed25519,verify_chain,0,60880
Ed25519,verify_chain,0,65997
Ed25519,verify_chain,0,63842
Ed25519,verify_chain,0,61141
Ed25519,verify_chain,0,60980
Ed25519,verify_chain,0,60864
Ed25519,verify_chain,0,60912
Ed25519,verify_chain,0,60848
Ed25519,verify_chain,0,60945
Ed25519,verify_chain,0,60965
Ed25519,verify_chain,0,60977
Ed25519,verify_chain,0,60992
Ed25519,verify_chain,0,60817
Ed25519,verify_chain,0,60858
Ed25519,verify_chain,0,61005
Ed25519,verify_chain,0,60726
Ed25519,verify_chain,0,61375
Ed25519,verify_chain,0,60889
Ed25519,verify_chain,0,60864
Ed25519,verify_chain,0,60750
Ed25519,verify_chain,0,60850
Ed25519,verify_chain,0,60958
Ed25519,verify_chain,0,60754
Ed25519,verify_chain,0,60904
Ed25519,verify_chain,0,60862
Ed25519,verify_chain,0,69757
Ed25519,verify_chain,0,62164
Ed25519,verify_chain,0,60954
Ed25519,verify_chain,0,60842
Ed25519,verify_chain,0,60868
Ed25519,verify_chain,0,60892
Ed25519,verify_chain,0,60762
Ed25519,verify_chain,0,60772
Ed25519,verify_chain,0,60714
Ed25519,verify_chain,0,60758
Ed25519,verify_chain,0,60653
Ed25519,verify_chain,0,60938
Ed25519,verify_chain,0,61031
Ed25519,verify_chain,0,60913
Ed25519,verify_chain,0,60755
Ed25519,verify_chain,0,67212
Ed25519,verify_chain,0,62407
Ed25519,verify_chain,0,60764
Ed25519,verify_chain,0,61021
Ed25519,verify_chain,0,60925
Ed25519,verify_chain,0,60838
Ed25519,verify_chain,0,61197
Ed25519,verify_chain,0,60813
Ed25519,verify_chain,0,60836
Ed25519,verify_chain,0,60867
Ed25519,verify_chain,0,60942
Ed25519,verify_chain,0,60763
Ed25519,verify_chain,1,92725
Ed25519,verify_chain,1,92970
Ed25519,verify_chain,1,92860
Ed25519,verify_chain,1,92535
Ed25519,verify_chain,1,92748
Ed25519,verify_chain,1,101285
Ed25519,verify_chain,1,94722
Ed25519,verify_chain,1,92787
Ed25519,verify_chain,1,92668
Ed25519,verify_chain,1,92478
Ed25519,verify_chain,1,92818
Ed25519,verify_chain,1,92593
Ed25519,verify_chain,1,92929
Ed25519,verify_chain,1,92687
Ed25519,verify_chain,1,92774
Ed25519,verify_chain,1,92763
Ed25519,verify_chain,1,92674
Ed25519,verify_chain,1,92785
