alg,n,unsealed_bytes,sealed_bytes
Ed25519,0,184,216
Ed25519,1,310,342
Ed25519,2,436,468
Ed25519,3,562,594
Ed25519,4,688,720
Ed25519,5,814,846
Ed25519,6,940,972
Ed25519,7,1066,1098
Ed25519,8,1192,1224
Ed25519,9,1318,1350
Ed25519,10,1444,1476
Mldsa44,0,7667,6215
Mldsa44,1,11435,9983
Mldsa44,2,15203,13751
Mldsa44,3,18971,17519
Mldsa44,4,22739,21287
Mldsa44,5,26507,25055
Mldsa44,6,30275,28823
Mldsa44,7,34043,32591
Mldsa44,8,37811,36359
Mldsa44,9,41579,40127
Mldsa44,10,45347,43895
Mldsa65,0,11308,8633
Mldsa65,1,16605,13930
Mldsa65,2,21902,19227
Mldsa65,3,27199,24524
Mldsa65,4,32496,29821
Mldsa65,5,37793,35118
Mldsa65,6,43090,40415
Mldsa65,7,48387,45712
Mldsa65,8,53684,51009
Mldsa65,9,58981,56306
Mldsa65,10,64278,61603
Mldsa87,0,14770,11909
Mldsa87,1,22025,19164
Mldsa87,2,29280,26419
Mldsa87,3,36535,33674
Mldsa87,4,43790,40929
Mldsa87,5,51045,48184
Mldsa87,6,58300,55439
Mldsa87,7,65555,62694
Mldsa87,8,72810,69949
Mldsa87,9,80065,77204
Mldsa87,10,87320,84459
Fndsa512,0,3795,2272
Fndsa512,1,5380,3859
Fndsa512,2,6965,5441
Fndsa512,3,8552,7027
Fndsa512,4,10139,8614
Fndsa512,5,11730,10206
Fndsa512,6,13332,11807
Fndsa512,7,14908,13386
Fndsa512,8,16497,14978
Fndsa512,9,18088,16566
Fndsa512,10,19658,18131
Fndsa1024,0,7218,4387
Fndsa1024,1,10323,7492
Fndsa1024,2,13430,10607
Fndsa1024,3,16522,13694
Fndsa1024,4,19617,16791
Fndsa1024,5,22738,19910
Fndsa1024,6,25826,23003
Fndsa1024,7,28927,26106
Fndsa1024,8,32032,29208
Fndsa1024,9,35113,32283
Fndsa1024,10,38240,35412
HybridEdMldsa44,0,7795,6375
HybridEdMldsa44,1,11659,10239
HybridEdMldsa44,2,15523,14103
HybridEdMldsa44,3,19387,17967
HybridEdMldsa44,4,23251,21831
HybridEdMldsa44,5,27115,25695
HybridEdMldsa44,6,30979,29559
HybridEdMldsa44,7,34843,33423
HybridEdMldsa44,8,38707,37287
HybridEdMldsa44,9,42571,41151
HybridEdMldsa44,10,46435,45015
HybridEdFndsa512,0,3921,2430
HybridEdFndsa512,1,5603,4116
HybridEdFndsa512,2,7287,5793
HybridEdFndsa512,3,8977,7489
HybridEdFndsa512,4,10649,9158
HybridEdFndsa512,5,12337,10850
HybridEdFndsa512,6,14032,12546
HybridEdFndsa512,7,15706,14216
HybridEdFndsa512,8,17394,15904
HybridEdFndsa512,9,19071,17577
HybridEdFndsa512,10,20775,19280
Slhdsa128s,0,8043,15805
Slhdsa128s,1,15965,23727
Slhdsa128s,2,23887,31649
Slhdsa128s,3,31809,39571
Slhdsa128s,4,39731,47493
Slhdsa128s,5,47653,55415
Slhdsa128s,6,55575,63337
Slhdsa128s,7,63497,71259
Slhdsa128s,8,71419,79181
Slhdsa128s,9,79341,87103
Slhdsa128s,10,87263,95025
Slhdsa128f,0,17277,34273
Slhdsa128f,1,34433,51429
Slhdsa128f,2,51589,68585
Slhdsa128f,3,68745,85741
Slhdsa128f,4,85901,102897
Slhdsa128f,5,103057,120053
Slhdsa128f,6,120213,137209
Slhdsa128f,7,137369,154365
Slhdsa128f,8,154525,171521
Slhdsa128f,9,171681,188677
Slhdsa128f,10,188837,205833
Slhdsa256s,0,30111,59713
Slhdsa256s,1,60003,89605
Slhdsa256s,2,89895,119497
Slhdsa256s,3,119787,149389
Slhdsa256s,4,149679,179281
Slhdsa256s,5,179571,209173
Slhdsa256s,6,209463,239065
Slhdsa256s,7,239355,268957
Slhdsa256s,8,269247,298849
Slhdsa256s,9,299139,328741
Slhdsa256s,10,329031,358633
Slhdsa256f,0,50175,99841
Slhdsa256f,1,100131,149797
Slhdsa256f,2,150087,199753
Slhdsa256f,3,200043,249709
Slhdsa256f,4,249999,299665
Slhdsa256f,5,299955,349621
Slhdsa256f,6,349911,399577
Slhdsa256f,7,399867,449533
Slhdsa256f,8,449823,499489
Slhdsa256f,9,499779,549445
Slhdsa256f,10,549735,599401
