alg,check,result,detail
Ed25519,f1_seal_atten_verify,PASS,"authority+2 hops sealed, parsed, read authorized"
Ed25519,f2_datalog_write_denied,PASS,"write must be rejected by attenuation check"
Ed25519,f3_unsealed_roundtrip,PASS,"unsealed serialise/parse, re-attenuate, seal, verify"
Ed25519,f4_key_bytes_roundtrip,PASS,"sk 32 B, pk 32 B round-trip equal"
Ed25519,f5_wrong_root_rejected,PASS,"parse with unrelated same-algorithm root public key fails"
Ed25519,f6_tamper_rejected,PASS,"all 5 byte flips rejected"
Ed25519,f7_third_party_pq,PASS,"third-party block verifies"
Ed25519,f8_third_party_wrong_key,PASS,"external key != signing key rejected at append"
Mldsa44,f1_seal_atten_verify,PASS,"authority+2 hops sealed, parsed, read authorized"
Mldsa44,f2_datalog_write_denied,PASS,"write must be rejected by attenuation check"
Mldsa44,f3_unsealed_roundtrip,PASS,"unsealed serialise/parse, re-attenuate, seal, verify"
Mldsa44,f4_key_bytes_roundtrip,PASS,"sk 3872 B, pk 1312 B round-trip equal"
Mldsa44,f5_wrong_root_rejected,PASS,"parse with unrelated same-algorithm root public key fails"
Mldsa44,f6_tamper_rejected,PASS,"all 5 byte flips rejected"
Mldsa44,f7_third_party_pq,PASS,"third-party block verifies"
Mldsa44,f8_third_party_wrong_key,PASS,"external key != signing key rejected at append"
Mldsa65,f1_seal_atten_verify,PASS,"authority+2 hops sealed, parsed, read authorized"
Mldsa65,f2_datalog_write_denied,PASS,"write must be rejected by attenuation check"
Mldsa65,f3_unsealed_roundtrip,PASS,"unsealed serialise/parse, re-attenuate, seal, verify"
Mldsa65,f4_key_bytes_roundtrip,PASS,"sk 5984 B, pk 1952 B round-trip equal"
Mldsa65,f5_wrong_root_rejected,PASS,"parse with unrelated same-algorithm root public key fails"
Mldsa65,f6_tamper_rejected,PASS,"all 5 byte flips rejected"
Mldsa65,f7_third_party_pq,PASS,"third-party block verifies"
Mldsa65,f8_third_party_wrong_key,PASS,"external key != signing key rejected at append"
Mldsa87,f1_seal_atten_verify,PASS,"authority+2 hops sealed, parsed, read authorized"
Mldsa87,f2_datalog_write_denied,PASS,"write must be rejected by attenuation check"
Mldsa87,f3_unsealed_roundtrip,PASS,"unsealed serialise/parse, re-attenuate, seal, verify"
Mldsa87,f4_key_bytes_roundtrip,PASS,"sk 7488 B, pk 2592 B round-trip equal"
Mldsa87,f5_wrong_root_rejected,PASS,"parse with unrelated same-algorithm root public key fails"
Mldsa87,f6_tamper_rejected,PASS,"all 5 byte flips rejected"
Mldsa87,f7_third_party_pq,PASS,"third-party block verifies"
Mldsa87,f8_third_party_wrong_key,PASS,"external key != signing key rejected at append"
Fndsa512,f1_seal_atten_verify,PASS,"authority+2 hops sealed, parsed, read authorized"
Fndsa512,f2_datalog_write_denied,PASS,"write must be rejected by attenuation check"
Fndsa512,f3_unsealed_roundtrip,PASS,"unsealed serialise/parse, re-attenuate, seal, verify"
Fndsa512,f4_key_bytes_roundtrip,PASS,"sk 2178 B, pk 897 B round-trip equal"
Fndsa512,f5_wrong_root_rejected,PASS,"parse with unrelated same-algorithm root public key fails"
Fndsa512,f6_tamper_rejected,PASS,"all 5 byte flips rejected"
Fndsa512,f7_third_party_pq,PASS,"third-party block verifies"
Fndsa512,f8_third_party_wrong_key,PASS,"external key != signing key rejected at append"
Fndsa1024,f1_seal_atten_verify,PASS,"authority+2 hops sealed, parsed, read authorized"
Fndsa1024,f2_datalog_write_denied,PASS,"write must be rejected by attenuation check"
Fndsa1024,f3_unsealed_roundtrip,PASS,"unsealed serialise/parse, re-attenuate, seal, verify"
Fndsa1024,f4_key_bytes_roundtrip,PASS,"sk 4098 B, pk 1793 B round-trip equal"
Fndsa1024,f5_wrong_root_rejected,PASS,"parse with unrelated same-algorithm root public key fails"
Fndsa1024,f6_tamper_rejected,PASS,"all 5 byte flips rejected"
Fndsa1024,f7_third_party_pq,PASS,"third-party block verifies"
Fndsa1024,f8_third_party_wrong_key,PASS,"external key != signing key rejected at append"
HybridEdMldsa44,f1_seal_atten_verify,PASS,"authority+2 hops sealed, parsed, read authorized"
HybridEdMldsa44,f2_datalog_write_denied,PASS,"write must be rejected by attenuation check"
HybridEdMldsa44,f3_unsealed_roundtrip,PASS,"unsealed serialise/parse, re-attenuate, seal, verify"
HybridEdMldsa44,f4_key_bytes_roundtrip,PASS,"sk 3904 B, pk 1344 B round-trip equal"
HybridEdMldsa44,f5_wrong_root_rejected,PASS,"parse with unrelated same-algorithm root public key fails"
HybridEdMldsa44,f6_tamper_rejected,PASS,"all 5 byte flips rejected"
HybridEdMldsa44,f7_third_party_pq,PASS,"third-party block verifies"
HybridEdMldsa44,f8_third_party_wrong_key,PASS,"external key != signing key rejected at append"
