alg,mutation,trials,parse_escaped,auth_escaped
Ed25519,flip,100,0,0
Ed25519,truncate,100,0,0
Ed25519,insert,100,0,0
Ed25519,delete,100,0,0
Ed25519,splice,100,0,0
Mldsa44,flip,100,0,0
Mldsa44,truncate,100,0,0
Mldsa44,insert,100,0,0
Mldsa44,delete,100,0,0
Mldsa44,splice,100,0,0
Mldsa65,flip,100,0,0
Mldsa65,truncate,100,0,0
Mldsa65,insert,100,0,0
Mldsa65,delete,100,0,0
Mldsa65,splice,100,0,0
Mldsa87,flip,100,0,0
Mldsa87,truncate,100,0,0
Mldsa87,insert,100,0,0
Mldsa87,delete,100,0,0
Mldsa87,splice,100,0,0
Fndsa512,flip,100,0,0
Fndsa512,truncate,100,0,0
Fndsa512,insert,100,0,0
Fndsa512,delete,100,0,0
Fndsa512,splice,100,0,0
Fndsa1024,flip,100,0,0
Fndsa1024,truncate,100,0,0
Fndsa1024,insert,100,0,0
Fndsa1024,delete,100,0,0
Fndsa1024,splice,100,0,0
HybridEdMldsa44,flip,100,0,0
HybridEdMldsa44,truncate,100,0,0
HybridEdMldsa44,insert,100,0,0
HybridEdMldsa44,delete,100,0,0
HybridEdMldsa44,splice,100,0,0
HybridEdFndsa512,flip,100,0,0
HybridEdFndsa512,truncate,100,0,0
HybridEdFndsa512,insert,100,0,0
HybridEdFndsa512,delete,100,0,0
HybridEdFndsa512,splice,100,0,0
Slhdsa128s,flip,100,0,0
Slhdsa128s,truncate,100,0,0
Slhdsa128s,insert,100,0,0
Slhdsa128s,delete,100,0,0
Slhdsa128s,splice,100,0,0
Slhdsa128f,flip,100,0,0
Slhdsa128f,truncate,100,0,0
Slhdsa128f,insert,100,0,0
Slhdsa128f,delete,100,0,0
Slhdsa128f,splice,100,0,0
Slhdsa256s,flip,100,0,0
Slhdsa256s,truncate,100,0,0
Slhdsa256s,insert,100,0,0
Slhdsa256s,delete,100,0,0
Slhdsa256s,splice,100,0,0
Slhdsa256f,flip,100,0,0
Slhdsa256f,truncate,100,0,0
Slhdsa256f,insert,100,0,0
Slhdsa256f,delete,100,0,0
Slhdsa256f,splice,100,0,0
