alg,phase,rep,ns
Ed25519,keygen,0,17007
Ed25519,keygen,1,17115
Ed25519,keygen,2,17049
Ed25519,keygen,3,16903
Ed25519,keygen,4,16859
Ed25519,keygen,5,16847
Ed25519,keygen,6,16991
Ed25519,keygen,7,16915
Ed25519,keygen,8,16987
Ed25519,keygen,9,16930
Ed25519,keygen,10,16950
Ed25519,keygen,11,17081
Ed25519,keygen,12,16889
Ed25519,keygen,13,17003
Ed25519,keygen,14,17272
Ed25519,keygen,15,17091
Ed25519,keygen,16,16948
Ed25519,keygen,17,16968
Ed25519,keygen,18,17176
Ed25519,keygen,19,17161
Ed25519,keygen,20,17072
Ed25519,keygen,21,17061
Ed25519,keygen,22,17072
Ed25519,keygen,23,60254
Ed25519,keygen,24,16851
Ed25519,keygen,25,16039
Ed25519,keygen,26,15410
Ed25519,keygen,27,15327
Ed25519,keygen,28,15236
Ed25519,keygen,29,15242
Ed25519,keygen,30,15302
Ed25519,keygen,31,15426
Ed25519,keygen,32,15275
Ed25519,keygen,33,15253
Ed25519,keygen,34,15648
Ed25519,keygen,35,15339
Ed25519,keygen,36,15363
Ed25519,keygen,37,15221
Ed25519,keygen,38,15423
Ed25519,keygen,39,15187
Ed25519,keygen,40,15479
Ed25519,keygen,41,15291
Ed25519,keygen,42,15349
Ed25519,keygen,43,15276
Ed25519,keygen,44,15374
Ed25519,keygen,45,15214
Ed25519,keygen,46,15384
Ed25519,keygen,47,15241
Ed25519,keygen,48,15231
Ed25519,keygen,49,15821
Ed25519,keygen,50,14445
Ed25519,keygen,51,14339
Ed25519,keygen,52,14522
Ed25519,keygen,53,14286
Ed25519,keygen,54,14359
Ed25519,keygen,55,14436
Ed25519,keygen,56,14252
Ed25519,keygen,57,14386
Ed25519,keygen,58,14446
Ed25519,keygen,59,14384
Ed25519,keygen,60,14441
Ed25519,keygen,61,14412
Ed25519,keygen,62,14328
Ed25519,keygen,63,14621
Ed25519,keygen,64,14582
Ed25519,keygen,65,14450
Ed25519,keygen,66,14569
Ed25519,keygen,67,14238
Ed25519,keygen,68,14450
Ed25519,keygen,69,14379
Ed25519,keygen,70,14508
Ed25519,keygen,71,14474
Ed25519,keygen,72,14415
Ed25519,keygen,73,14430
Ed25519,keygen,74,14383
Ed25519,keygen,75,14296
Ed25519,keygen,76,14440
Ed25519,keygen,77,14384
Ed25519,keygen,78,14377
Ed25519,keygen,79,14430
Ed25519,keygen,80,14444
Ed25519,keygen,81,22511
Ed25519,keygen,82,15767
Ed25519,keygen,83,15142
Ed25519,keygen,84,14720
Ed25519,keygen,85,14477
Ed25519,keygen,86,14441
Ed25519,keygen,87,14561
Ed25519,keygen,88,12799
Ed25519,keygen,89,12767
Ed25519,keygen,90,12731
Ed25519,keygen,91,12794
Ed25519,keygen,92,12798
Ed25519,keygen,93,12769
Ed25519,keygen,94,12958
Ed25519,keygen,95,12775
Ed25519,keygen,96,12768
Ed25519,keygen,97,12916
Ed25519,keygen,98,12966
Ed25519,keygen,99,12775
Ed25519,keygen,100,12861
Ed25519,append_realtime,0,38661
Ed25519,append_realtime,1,36285
Ed25519,append_realtime,2,35965
Ed25519,append_realtime,3,36030
Ed25519,append_realtime,4,36012
Ed25519,append_realtime,5,35985
Ed25519,append_realtime,6,35715
Ed25519,append_realtime,7,35627
Ed25519,append_realtime,8,35876
Ed25519,append_realtime,9,35511
Ed25519,append_realtime,10,34285
Ed25519,append_realtime,11,33985
Ed25519,append_realtime,12,34207
Ed25519,append_realtime,13,34353
Ed25519,append_realtime,14,34252
Ed25519,append_realtime,15,33888
Ed25519,append_realtime,16,34102
Ed25519,append_realtime,17,33900
Ed25519,append_realtime,18,33889
Ed25519,append_realtime,19,34029
Ed25519,append_realtime,20,34463
Ed25519,append_realtime,21,34154
Ed25519,append_realtime,22,34228
Ed25519,append_realtime,23,34352
Ed25519,append_realtime,24,34096
Ed25519,append_realtime,25,34188
Ed25519,append_realtime,26,33884
Ed25519,append_realtime,27,44549
Ed25519,append_realtime,28,35133
