profile,n,size_bytes
all-ed,0,201
all-ed,1,327
all-ed,2,453
all-ed,5,831
all-ed,10,1461
all-ed,20,2721
all-mldsa44,0,6200
all-mldsa44,1,9968
all-mldsa44,2,13736
all-mldsa44,5,25040
all-mldsa44,10,43880
all-mldsa44,20,81560
all-fndsa512,0,2249
all-fndsa512,1,3840
all-fndsa512,2,5427
all-fndsa512,5,10193
all-fndsa512,10,18143
all-fndsa512,20,34011
hybrid-ed-mldsa44,0,6360
hybrid-ed-mldsa44,1,10224
hybrid-ed-mldsa44,2,14088
hybrid-ed-mldsa44,5,25680
hybrid-ed-mldsa44,10,45000
hybrid-ed-mldsa44,20,83640
hybrid-ed-fndsa512,0,2415
hybrid-ed-fndsa512,1,4098
hybrid-ed-fndsa512,2,5774
hybrid-ed-fndsa512,5,10836
hybrid-ed-fndsa512,10,19252
hybrid-ed-fndsa512,20,36102
mixed-mldsa87-root-fn,0,11894
mixed-mldsa87-root-fn,1,13481
mixed-mldsa87-root-fn,2,15074
mixed-mldsa87-root-fn,5,19839
mixed-mldsa87-root-fn,10,27768
mixed-mldsa87-root-fn,20,43673
mixed-slh128s-root-fn,0,15790
mixed-slh128s-root-fn,1,17381
mixed-slh128s-root-fn,2,18973
mixed-slh128s-root-fn,5,23726
mixed-slh128s-root-fn,10,31675
mixed-slh128s-root-fn,20,47544
