profile,n,rep,ns
all-ed,0,0,186145
all-ed,0,1,175997
all-ed,0,2,173644
all-ed,0,3,185013
all-ed,0,4,172536
all-ed,0,5,166746
all-ed,0,6,162536
all-ed,0,7,157346
all-ed,0,8,148865
all-ed,0,9,63808
all-ed,0,10,63865
all-ed,0,11,64412
all-ed,0,12,65030
all-ed,0,13,65884
all-ed,0,14,65778
all-ed,0,15,68101
all-ed,0,16,66011
all-ed,0,17,68248
all-ed,0,18,65856
all-ed,0,19,64033
all-ed,0,20,63568
all-ed,0,21,63636
all-ed,0,22,63541
all-ed,0,23,63482
all-ed,0,24,63562
all-ed,0,25,63456
all-ed,0,26,64156
all-ed,0,27,63820
all-ed,0,28,63465
all-ed,0,29,79409
all-ed,0,30,64660
all-ed,0,31,63742
all-ed,0,32,63500
all-ed,0,33,63349
all-ed,0,34,63554
all-ed,0,35,63397
all-ed,0,36,63339
all-ed,0,37,63638
all-ed,0,38,63778
all-ed,0,39,63370
all-ed,0,40,63577
all-ed,0,41,63411
all-ed,0,42,63240
all-ed,0,43,63293
all-ed,0,44,63608
all-ed,0,45,63386
all-ed,0,46,63690
all-ed,0,47,63628
all-ed,0,48,63479
all-ed,0,49,63564
all-ed,0,50,63225
all-ed,1,0,96913
all-ed,1,1,97231
all-ed,1,2,97022
all-ed,1,3,97349
all-ed,1,4,96817
all-ed,1,5,96851
all-ed,1,6,97047
all-ed,1,7,97131
all-ed,1,8,96976
all-ed,1,9,96746
all-ed,1,10,96950
all-ed,1,11,97111
all-ed,1,12,96955
all-ed,1,13,97214
all-ed,1,14,96843
all-ed,1,15,116071
all-ed,1,16,99357
all-ed,1,17,97250
all-ed,1,18,96930
all-ed,1,19,97193
all-ed,1,20,97222
all-ed,1,21,96918
all-ed,1,22,96908
all-ed,1,23,96858
all-ed,1,24,97082
all-ed,1,25,97048
all-ed,1,26,96889
all-ed,1,27,96985
all-ed,1,28,96911
all-ed,1,29,96641
all-ed,1,30,97428
all-ed,1,31,96921
all-ed,1,32,96803
all-ed,1,33,96898
all-ed,1,34,104295
all-ed,1,35,99044
all-ed,1,36,97056
all-ed,1,37,96822
all-ed,1,38,96999
all-ed,1,39,96852
all-ed,1,40,96663
all-ed,1,41,97024
all-ed,1,42,96894
all-ed,1,43,96860
all-ed,1,44,97021
all-ed,1,45,96961
all-ed,1,46,96993
all-ed,1,47,96791
all-ed,1,48,96883
all-ed,1,49,96837
all-ed,1,50,97397
all-ed,2,0,130191
all-ed,2,1,130571
all-ed,2,2,140544
all-ed,2,3,131299
all-ed,2,4,130221
all-ed,2,5,130169
all-ed,2,6,130317
all-ed,2,7,140374
all-ed,2,8,130934
all-ed,2,9,130301
all-ed,2,10,129990
all-ed,2,11,129987
all-ed,2,12,130008
all-ed,2,13,129863
all-ed,2,14,129688
all-ed,2,15,130373
all-ed,2,16,130020
all-ed,2,17,129671
all-ed,2,18,129910
all-ed,2,19,129997
all-ed,2,20,129794
all-ed,2,21,138817
all-ed,2,22,135807
all-ed,2,23,130431
all-ed,2,24,130147
all-ed,2,25,129570
all-ed,2,26,129895
all-ed,2,27,129884
all-ed,2,28,129991
all-ed,2,29,129888
all-ed,2,30,132364
all-ed,2,31,129883
all-ed,2,32,130034
all-ed,2,33,130129
all-ed,2,34,130081
all-ed,2,35,136692
all-ed,2,36,132450
all-ed,2,37,130011
all-ed,2,38,129599
all-ed,2,39,129580
all-ed,2,40,129477
all-ed,2,41,129840
all-ed,2,42,129697
all-ed,2,43,129564
all-ed,2,44,129689
all-ed,2,45,129907
all-ed,2,46,132687
all-ed,2,47,130030
all-ed,2,48,129873
all-ed,2,49,129928
all-ed,2,50,140142
all-ed,5,0,229920
all-ed,5,1,230934
all-ed,5,2,230030
all-ed,5,3,230020
all-ed,5,4,229778
all-ed,5,5,230281
all-ed,5,6,248543
all-ed,5,7,231155
all-ed,5,8,242466
all-ed,5,9,240897
all-ed,5,10,229067
all-ed,5,11,229763
all-ed,5,12,229223
all-ed,5,13,246147
all-ed,5,14,235535
all-ed,5,15,261813
all-ed,5,16,232103
all-ed,5,17,229319
all-ed,5,18,229350
all-ed,5,19,229143
all-ed,5,20,251427
all-ed,5,21,249495
all-ed,5,22,230142
all-ed,5,23,249092
all-ed,5,24,231029
all-ed,5,25,244979
all-ed,5,26,237393
all-ed,5,27,231191
all-ed,5,28,229162
all-ed,5,29,229002
all-ed,5,30,228880
all-ed,5,31,247286
all-ed,5,32,246095
all-ed,5,33,230543
all-ed,5,34,228414
all-ed,5,35,228712
all-ed,5,36,228958
all-ed,5,37,242508
all-ed,5,38,239184
all-ed,5,39,228805
all-ed,5,40,268668
all-ed,5,41,232262
all-ed,5,42,229179
all-ed,5,43,228749
all-ed,5,44,245809
all-ed,5,45,233770
all-ed,5,46,229187
all-ed,5,47,238178
all-ed,5,48,230046
all-ed,5,49,228654
all-ed,5,50,241486
all-ed,10,0,411088
all-ed,10,1,424669
all-ed,10,2,406089
all-ed,10,3,433929
all-ed,10,4,406524
all-ed,10,5,404935
all-ed,10,6,404946
all-ed,10,7,405217
all-ed,10,8,429247
all-ed,10,9,415314
all-ed,10,10,404171
all-ed,10,11,416565
all-ed,10,12,404897
all-ed,10,13,417480
all-ed,10,14,424061
all-ed,10,15,405680
all-ed,10,16,426077
all-ed,10,17,406174
all-ed,10,18,416493
all-ed,10,19,421127
all-ed,10,20,409768
all-ed,10,21,411666
all-ed,10,22,405384
all-ed,10,23,417987
all-ed,10,24,406477
all-ed,10,25,424217
all-ed,10,26,405196
all-ed,10,27,405469
all-ed,10,28,417893
all-ed,10,29,418833
all-ed,10,30,414626
all-ed,10,31,420589
all-ed,10,32,398443
all-ed,10,33,407470
all-ed,10,34,395695
all-ed,10,35,396162
all-ed,10,36,396597
all-ed,10,37,396523
all-ed,10,38,425359
all-ed,10,39,397288
all-ed,10,40,401815
all-ed,10,41,405835
all-ed,10,42,549957
all-ed,10,43,433105
all-ed,10,44,407965
all-ed,10,45,435214
all-ed,10,46,432386
all-ed,10,47,583744
all-ed,10,48,428186
all-ed,10,49,430031
all-ed,10,50,411515
all-ed,20,0,740514
all-ed,20,1,763864
all-ed,20,2,748022
all-ed,20,3,744167
all-ed,20,4,753250
all-ed,20,5,825881
all-ed,20,6,922407
all-ed,20,7,801265
all-ed,20,8,752786
all-ed,20,9,917857
all-ed,20,10,895535
all-ed,20,11,762307
all-ed,20,12,787577
all-ed,20,13,756098
all-ed,20,14,751842
all-ed,20,15,762840
all-ed,20,16,752547
all-ed,20,17,769583
all-ed,20,18,757902
all-ed,20,19,773781
all-ed,20,20,763264
all-ed,20,21,752540
all-ed,20,22,756690
all-ed,20,23,762898
all-ed,20,24,748840
all-ed,20,25,734549
all-ed,20,26,755679
all-ed,20,27,788446
all-ed,20,28,772579
all-ed,20,29,817089
all-ed,20,30,755197
all-ed,20,31,755851
all-ed,20,32,735570
all-ed,20,33,755473
all-ed,20,34,749538
all-ed,20,35,734107
all-ed,20,36,738455
all-ed,20,37,742792
all-ed,20,38,765243
all-ed,20,39,732642
all-ed,20,40,754997
all-ed,20,41,732282
all-ed,20,42,730845
all-ed,20,43,742852
all-ed,20,44,737432
all-ed,20,45,731053
all-ed,20,46,743700
all-ed,20,47,739365
all-ed,20,48,734813
all-ed,20,49,749425
all-ed,20,50,730443
all-mldsa44,0,0,56463
all-mldsa44,0,1,57335
all-mldsa44,0,2,57475
all-mldsa44,0,3,58479
all-mldsa44,0,4,58904
all-mldsa44,0,5,56498
all-mldsa44,0,6,58133
all-mldsa44,0,7,57695
all-mldsa44,0,8,57269
all-mldsa44,0,9,58545
all-mldsa44,0,10,58106
all-mldsa44,0,11,58705
all-mldsa44,0,12,57956
all-mldsa44,0,13,59884
all-mldsa44,0,14,55956
all-mldsa44,0,15,58386
all-mldsa44,0,16,58635
all-mldsa44,0,17,59160
all-mldsa44,0,18,59710
all-mldsa44,0,19,56570
all-mldsa44,0,20,58861
all-mldsa44,0,21,66352
all-mldsa44,0,22,59700
all-mldsa44,0,23,59576
all-mldsa44,0,24,59266
all-mldsa44,0,25,59719
all-mldsa44,0,26,57583
all-mldsa44,0,27,55806
all-mldsa44,0,28,55939
all-mldsa44,0,29,55306
all-mldsa44,0,30,55784
all-mldsa44,0,31,56355
all-mldsa44,0,32,66329
all-mldsa44,0,33,64586
all-mldsa44,0,34,59121
all-mldsa44,0,35,58805
all-mldsa44,0,36,57189
all-mldsa44,0,37,58789
all-mldsa44,0,38,57731
all-mldsa44,0,39,58516
all-mldsa44,0,40,59473
all-mldsa44,0,41,57386
all-mldsa44,0,42,58531
all-mldsa44,0,43,58703
all-mldsa44,0,44,56932
all-mldsa44,0,45,58397
all-mldsa44,0,46,58125
all-mldsa44,0,47,58930
all-mldsa44,0,48,58416
all-mldsa44,0,49,58471
all-mldsa44,0,50,58337
all-mldsa44,1,0,91462
all-mldsa44,1,1,91002
all-mldsa44,1,2,89931
all-mldsa44,1,3,88890
all-mldsa44,1,4,89398
all-mldsa44,1,5,91212
all-mldsa44,1,6,90306
all-mldsa44,1,7,91061
all-mldsa44,1,8,90147
all-mldsa44,1,9,88602
all-mldsa44,1,10,91492
all-mldsa44,1,11,90539
all-mldsa44,1,12,90294
all-mldsa44,1,13,90315
all-mldsa44,1,14,91369
all-mldsa44,1,15,90511
all-mldsa44,1,16,90508
all-mldsa44,1,17,91617
all-mldsa44,1,18,90409
all-mldsa44,1,19,104214
all-mldsa44,1,20,92004
all-mldsa44,1,21,90275
all-mldsa44,1,22,94850
all-mldsa44,1,23,92650
all-mldsa44,1,24,90691
all-mldsa44,1,25,91160
all-mldsa44,1,26,91833
all-mldsa44,1,27,89680
all-mldsa44,1,28,90139
all-mldsa44,1,29,89752
all-mldsa44,1,30,88509
all-mldsa44,1,31,88700
all-mldsa44,1,32,91415
all-mldsa44,1,33,87762
all-mldsa44,1,34,90369
all-mldsa44,1,35,89562
all-mldsa44,1,36,89598
all-mldsa44,1,37,90501
all-mldsa44,1,38,91071
all-mldsa44,1,39,89229
all-mldsa44,1,40,88325
all-mldsa44,1,41,88960
all-mldsa44,1,42,88686
all-mldsa44,1,43,96998
all-mldsa44,1,44,91840
all-mldsa44,1,45,89198
all-mldsa44,1,46,88599
all-mldsa44,1,47,88108
all-mldsa44,1,48,90722
all-mldsa44,1,49,91261
all-mldsa44,1,50,90991
all-mldsa44,2,0,120385
all-mldsa44,2,1,123570
all-mldsa44,2,2,120325
all-mldsa44,2,3,121313
all-mldsa44,2,4,121052
all-mldsa44,2,5,124085
all-mldsa44,2,6,121840
all-mldsa44,2,7,121424
all-mldsa44,2,8,134798
all-mldsa44,2,9,124088
all-mldsa44,2,10,119447
all-mldsa44,2,11,118418
all-mldsa44,2,12,126558
all-mldsa44,2,13,122613
all-mldsa44,2,14,118544
all-mldsa44,2,15,120336
all-mldsa44,2,16,119185
all-mldsa44,2,17,121400
all-mldsa44,2,18,119728
all-mldsa44,2,19,121912
all-mldsa44,2,20,120851
all-mldsa44,2,21,119412
all-mldsa44,2,22,119046
all-mldsa44,2,23,121243
all-mldsa44,2,24,120896
all-mldsa44,2,25,117762
all-mldsa44,2,26,122055
all-mldsa44,2,27,133082
all-mldsa44,2,28,126735
all-mldsa44,2,29,128368
all-mldsa44,2,30,126370
all-mldsa44,2,31,123018
all-mldsa44,2,32,120017
all-mldsa44,2,33,122282
all-mldsa44,2,34,121772
all-mldsa44,2,35,121187
all-mldsa44,2,36,124895
all-mldsa44,2,37,126133
all-mldsa44,2,38,121345
all-mldsa44,2,39,122199
all-mldsa44,2,40,120771
all-mldsa44,2,41,121691
all-mldsa44,2,42,119042
all-mldsa44,2,43,122014
all-mldsa44,2,44,122327
all-mldsa44,2,45,119923
all-mldsa44,2,46,121259
all-mldsa44,2,47,119076
all-mldsa44,2,48,130206
all-mldsa44,2,49,126173
all-mldsa44,2,50,123631
all-mldsa44,5,0,220319
all-mldsa44,5,1,217771
all-mldsa44,5,2,230300
all-mldsa44,5,3,216347
all-mldsa44,5,4,218051
all-mldsa44,5,5,210448
all-mldsa44,5,6,210994
all-mldsa44,5,7,211076
all-mldsa44,5,8,209988
all-mldsa44,5,9,222506
all-mldsa44,5,10,216192
all-mldsa44,5,11,220923
all-mldsa44,5,12,222292
all-mldsa44,5,13,222476
