tag,alg,op,n,reps,pmin,q1,median,q3,pmax,iqr
avx2,Ed25519,authority_build,2,101,22.898,24.003,24.122,24.232,32.952,0.2289999999999992
avx2,Fndsa1024,authority_build,2,101,10761.13,11949.318,13384.106,16554.514,41472.782,4605.196
avx2,Fndsa512,authority_build,2,101,3310.62,3711.595,4344.444,5330.563,7803.977,1618.9680000000003
avx2,HybridEdFndsa512,authority_build,2,101,3285.852,3848.678,4233.667,5201.787,11111.04,1353.1090000000004
avx2,HybridEdMldsa44,authority_build,2,101,97.625,106.61,116.174,138.934,253.423,32.324
avx2,Mldsa44,authority_build,2,101,46.568,54.673,65.153,93.794,265.738,39.120999999999995
avx2,Mldsa65,authority_build,2,101,70.174,89.314,106.865,139.248,294.122,49.934
avx2,Mldsa87,authority_build,2,101,104.749,113.267,127.287,163.586,476.358,50.31900000000002
avx2,Slhdsa128f,authority_build,2,5,5609.448,5685.392,5743.505,5769.361,5851.612,83.96900000000005
avx2,Slhdsa128s,authority_build,2,5,128181.143,130155.742,130513.48,131093.714,135522.357,937.9720000000088
avx2,Slhdsa256f,authority_build,2,5,21260.701,21356.416,21430.995,21719.253,21954.845,362.83699999999953
avx2,Slhdsa256s,authority_build,2,5,209143.213,209767.963,210687.858,211259.846,214400.582,1491.8830000000016
portable,Ed25519,authority_build,2,101,23.216,23.56,23.657,23.821,35.996,0.2610000000000028
portable,Fndsa1024,authority_build,2,101,24350.595,27011.84,30655.085,38747.787,79099.281,11735.946999999996
portable,Fndsa512,authority_build,2,101,9457.227,10575.495,11844.557,14727.44,28286.175,4151.945
portable,HybridEdFndsa512,authority_build,2,101,9257.443,10084.553,11410.651,13722.258,29482.652,3637.705
portable,HybridEdMldsa44,authority_build,2,101,221.613,263.043,308.098,401.857,785.422,138.81400000000002
portable,Mldsa44,authority_build,2,101,168.39,213.729,255.107,386.249,1002.549,172.52
portable,Mldsa65,authority_build,2,101,275.119,341.53,444.797,607.358,1581.475,265.828
portable,Mldsa87,authority_build,2,101,435.702,462.592,577.946,755.726,1769.743,293.134
portable,Slhdsa128f,authority_build,2,5,19589.998,19659.192,19707.529,19710.862,20445.363,51.67000000000189
portable,Slhdsa128s,authority_build,2,5,416572.426,419333.382,420839.194,422369.882,436415.536,3036.5
portable,Slhdsa256f,authority_build,2,5,63934.349,64912.078,65944.23,66003.866,66503.888,1091.7879999999932
portable,Slhdsa256s,authority_build,2,5,639376.053,644695.631,645955.747,649393.344,651065.202,4697.712999999989
avx2,Ed25519,append_hop,2,101,35.057,35.394,35.502,35.646,48.758,0.25200000000000244
avx2,Fndsa1024,append_hop,2,101,10519.49,11131.926,12659.961,15164.39,24906.245,4032.464
avx2,Fndsa512,append_hop,2,101,3283.639,3696.262,4323.936,5451.411,8740.787,1755.149
avx2,HybridEdFndsa512,append_hop,2,101,3366.81,3696.547,4242.754,4866.494,12057.864,1169.9469999999997
avx2,HybridEdMldsa44,append_hop,2,101,111.32,123.139,137.388,163.12,291.927,39.98100000000001
avx2,Mldsa44,append_hop,2,101,54.186,62.572,70.574,99.788,172.438,37.215999999999994
avx2,Mldsa65,append_hop,2,101,80.699,91.598,115.417,158.49,283.903,66.89200000000001
avx2,Mldsa87,append_hop,2,101,118.738,125.622,147.122,187.791,417.951,62.169
avx2,Slhdsa128f,append_hop,2,5,5841.474,5860.6,5862.227,5868.264,5919.563,7.66399999999976
avx2,Slhdsa128s,append_hop,2,5,136356.704,137354.718,137634.851,137696.663,138056.605,341.945000000007
avx2,Slhdsa256f,append_hop,2,5,20954.3,21032.913,21119.193,21182.355,21389.776,149.4419999999991
avx2,Slhdsa256s,append_hop,2,5,208946.807,210946.038,210980.274,215829.708,221355.287,4883.670000000013
portable,Ed25519,append_hop,2,101,34.575,34.819,35.034,35.382,55.136,0.5629999999999953
portable,Fndsa1024,append_hop,2,101,23637.113,26350.617,30302.115,39028.357,74087.464,12677.740000000005
portable,Fndsa512,append_hop,2,101,9589.148,10642.176,12694.986,14359.969,25524.47,3717.7929999999997
portable,HybridEdFndsa512,append_hop,2,101,9664.401,10521.053,12007.165,14987.859,27963.929,4466.8060000000005
portable,HybridEdMldsa44,append_hop,2,101,239.081,266.929,320.019,419.996,1211.818,153.067
portable,Mldsa44,append_hop,2,101,179.384,214.434,272.517,383.905,1042.953,169.47099999999998
portable,Mldsa65,append_hop,2,101,290.274,355.39,440.733,636.415,1413.769,281.025
portable,Mldsa87,append_hop,2,101,447.441,465.038,543.38,705.256,1946.068,240.21799999999996
portable,Slhdsa128f,append_hop,2,5,19245.515,19528.709,19621.292,19649.668,19928.945,120.95900000000256
portable,Slhdsa128s,append_hop,2,5,419220.377,424971.239,445982.226,446887.459,451432.805,21916.219999999972
portable,Slhdsa256f,append_hop,2,5,62322.887,62354.209,63130.909,63383.225,63561.156,1029.015999999996
portable,Slhdsa256s,append_hop,2,5,621920.989,624481.413,630386.511,639017.272,640137.776,14535.859000000055
avx2,Ed25519,seal,2,101,23.832,23.977,24.085,24.438,32.56,0.4609999999999985
avx2,Fndsa1024,seal,2,101,281.579,292.486,296.368,301.838,323.181,9.352000000000032
avx2,Fndsa512,seal,2,101,148.489,151.078,152.309,154.903,179.692,3.8249999999999886
avx2,HybridEdFndsa512,seal,2,101,169.084,173.359,175.93,179.783,198.94,6.423999999999978
avx2,HybridEdMldsa44,seal,2,101,78.781,80.12,81.41,83.535,97.308,3.414999999999992
avx2,Mldsa44,seal,2,101,61.572,62.091,62.265,62.54,72.045,0.44899999999999807
avx2,Mldsa65,seal,2,101,136.484,137.486,138.108,141.134,174.401,3.647999999999996
avx2,Mldsa87,seal,2,101,104.768,106.944,107.192,107.727,120.981,0.7830000000000013
avx2,Slhdsa128f,seal,2,5,5600.243,5694.198,5707.048,5783.322,5957.451,89.1239999999998
avx2,Slhdsa128s,seal,2,5,114582.132,114833.116,115594.333,116311.343,119795.002,1478.226999999999
avx2,Slhdsa256f,seal,2,5,19896.239,19916.178,20050.833,20157.307,20633.288,241.12900000000081
avx2,Slhdsa256s,seal,2,5,200450.133,200847.381,201732.707,203384.53,204357.731,2537.149000000005
portable,Ed25519,seal,2,101,23.388,23.562,23.718,23.937,38.261,0.375
portable,Fndsa1024,seal,2,101,5575.047,5723.58,5813.647,5847.056,6111.583,123.47599999999966
portable,Fndsa512,seal,2,101,2679.683,2750.752,2809.61,2840.496,3074.462,89.74400000000014
portable,HybridEdFndsa512,seal,2,101,2705.045,2776.298,2794.939,2820.058,3208.553,43.76000000000022
portable,HybridEdMldsa44,seal,2,101,530.484,544.455,554.253,565.835,803.06,21.379999999999995
portable,Mldsa44,seal,2,101,195.406,199.1,201.386,205.867,269.296,6.766999999999996
portable,Mldsa65,seal,2,101,278.05,281.643,285.623,291.603,348.003,9.960000000000036
portable,Mldsa87,seal,2,101,269.176,276.88,279.534,285.298,352.793,8.418000000000006
portable,Slhdsa128f,seal,2,5,18827.641,18842.785,18853.754,18882.462,18969.695,39.67699999999968
portable,Slhdsa128s,seal,2,5,369893.181,370310.542,370349.183,370863.828,372725.051,553.2859999999637
portable,Slhdsa256f,seal,2,5,59184.544,59937.746,60153.3,60741.386,60965.853,803.6399999999994
portable,Slhdsa256s,seal,2,5,579236.658,580940.872,584160.632,584327.102,584850.748,3386.2299999999814
avx2,Ed25519,verify_n2,2,101,116.773,119.414,119.571,120.068,239.621,0.6539999999999964
avx2,Fndsa1024,verify_n2,2,101,239.678,245.032,247.974,251.549,339.049,6.516999999999996
avx2,Fndsa512,verify_n2,2,101,124.928,126.204,127.006,128.893,195.276,2.689000000000007
avx2,HybridEdFndsa512,verify_n2,2,101,268.649,271.399,275.744,281.672,482.35,10.273000000000025
avx2,HybridEdMldsa44,verify_n2,2,101,260.286,267.068,269.17,275.812,362.079,8.744000000000028
avx2,Mldsa44,verify_n2,2,101,110.817,112.47,113.189,114.156,259.88,1.686000000000007
avx2,Mldsa65,verify_n2,2,101,160.535,163.204,164.395,168.478,280.554,5.274000000000001
avx2,Mldsa87,verify_n2,2,101,241.032,245.319,248.923,253.508,415.425,8.189000000000021
avx2,Slhdsa128f,verify_n2,2,5,1962.071,1964.255,1974.086,1974.852,2084.738,10.59699999999998
avx2,Slhdsa128s,verify_n2,2,5,740.476,742.858,749.906,752.429,768.166,9.571000000000026
avx2,Slhdsa256f,verify_n2,2,5,2982.84,2994.421,3005.158,3011.899,3060.456,17.478000000000065
avx2,Slhdsa256s,verify_n2,2,5,1604.978,1613.59,1620.332,1628.079,1629.641,14.489000000000033
portable,Ed25519,verify_n2,2,101,125.799,126.41,127.422,130.214,147.282,3.804000000000002
portable,Fndsa1024,verify_n2,2,101,248.28,252.555,255.233,262.288,381.264,9.733000000000004
portable,Fndsa512,verify_n2,2,101,126.341,127.808,128.622,131.863,187.754,4.054999999999993
portable,HybridEdFndsa512,verify_n2,2,101,289.457,291.481,294.833,301.557,482.315,10.076000000000022
portable,HybridEdMldsa44,verify_n2,2,101,448.636,460.129,465.768,473.646,711.873,13.516999999999996
portable,Mldsa44,verify_n2,2,101,294.335,298.889,303.327,310.134,429.79,11.245000000000005
portable,Mldsa65,verify_n2,2,101,470.224,476.0,480.762,489.453,548.117,13.452999999999975
portable,Mldsa87,verify_n2,2,101,762.725,774.564,783.982,797.142,1088.134,22.578000000000088
portable,Slhdsa128f,verify_n2,2,5,4590.007,4596.122,4608.132,4640.004,4710.471,43.88199999999961
portable,Slhdsa128s,verify_n2,2,5,1642.374,1668.344,1669.044,1672.145,1682.405,3.800999999999931
portable,Slhdsa256f,verify_n2,2,5,6554.727,6695.085,6741.339,6796.741,6803.786,101.65599999999995
portable,Slhdsa256s,verify_n2,2,5,3548.402,3583.395,3600.382,3606.972,3640.602,23.577000000000226
avx2,Ed25519,authorize,2,101,8.545,8.761,8.857,8.958,9.312,0.19700000000000095
avx2,Fndsa1024,authorize,2,101,7.887,8.228,8.333,8.442,10.083,0.2140000000000004
avx2,Fndsa512,authorize,2,101,8.887,9.224,9.363,9.697,51.636,0.472999999999999
avx2,HybridEdFndsa512,authorize,2,101,8.5,8.722,8.814,8.899,18.746,0.1769999999999996
avx2,HybridEdMldsa44,authorize,2,101,8.046,8.269,8.373,8.443,9.554,0.1739999999999995
avx2,Mldsa44,authorize,2,101,8.146,8.424,8.499,8.594,23.286,0.16999999999999993
avx2,Mldsa65,authorize,2,101,8.333,8.635,8.692,8.805,9.39,0.16999999999999993
avx2,Mldsa87,authorize,2,101,8.285,8.565,8.709,8.85,18.71,0.28500000000000014
avx2,Slhdsa128f,authorize,2,5,9.058,9.19,9.29,9.865,12.777,0.6750000000000007
avx2,Slhdsa128s,authorize,2,5,9.811,9.857,10.484,10.861,13.615,1.0040000000000013
avx2,Slhdsa256f,authorize,2,5,9.245,9.414,9.525,10.044,12.777,0.6300000000000008
avx2,Slhdsa256s,authorize,2,5,9.231,9.375,9.555,10.154,13.408,0.7789999999999999
portable,Ed25519,authorize,2,101,8.294,8.589,8.749,8.972,28.827,0.3829999999999991
portable,Fndsa1024,authorize,2,101,7.859,8.233,8.322,8.451,11.089,0.21799999999999997
portable,Fndsa512,authorize,2,101,8.11,8.305,8.408,8.493,17.935,0.1880000000000006
portable,HybridEdFndsa512,authorize,2,101,8.47,8.65,8.729,8.862,22.55,0.21199999999999974
portable,HybridEdMldsa44,authorize,2,101,7.65,7.948,8.094,8.189,24.292,0.24099999999999966
portable,Mldsa44,authorize,2,101,8.184,8.372,8.504,8.676,22.731,0.30400000000000027
portable,Mldsa65,authorize,2,101,8.143,8.308,8.454,8.609,22.049,0.30100000000000016
portable,Mldsa87,authorize,2,101,8.366,8.637,8.785,8.936,31.135,0.2989999999999995
portable,Slhdsa128f,authorize,2,5,10.63,10.991,11.067,12.052,17.347,1.061
portable,Slhdsa128s,authorize,2,5,9.718,9.733,10.148,11.244,17.714,1.5109999999999992
portable,Slhdsa256f,authorize,2,5,9.947,10.629,10.86,11.899,13.034,1.2699999999999996
portable,Slhdsa256s,authorize,2,5,9.436,9.61,9.758,10.458,13.372,0.8480000000000008
