alg,sealed_intercept,sealed_per_hop
Ed25519,216.0000000000001,126.0
Mldsa44,6215.0,3767.999999999999
Mldsa65,8632.999999999995,5297.0
Mldsa87,11909.000000000004,7255.000000000001
Fndsa512,2269.5000000000005,1587.681818181818
Fndsa1024,4393.545454545459,3101.1636363636367
HybridEdMldsa44,6375.0,3864.0000000000005
HybridEdFndsa512,2429.500000000002,1684.2636363636364
Slhdsa128s,15804.999999999998,7921.999999999999
Slhdsa128f,34273.0,17156.0
Slhdsa256s,59713.000000000015,29892.0
Slhdsa256f,99841.00000000013,49956.0
