alg,op,avx2,portable,ratio_portable_over_avx2
Ed25519,authority_build,24.122,23.657,0.9807229914600779
Ed25519,append_hop,35.502,35.034,0.9868176440763899
Ed25519,seal,24.085,23.718,0.9847623001868382
Ed25519,verify_n2,119.571,127.422,1.065659733547432
Ed25519,authorize,8.857,8.749,0.987806254939596
Fndsa1024,authority_build,13384.106,30655.085,2.2904096097266415
Fndsa1024,append_hop,12659.961,30302.115,2.393539363983823
Fndsa1024,seal,296.368,5813.647,19.616311477622414
Fndsa1024,verify_n2,247.974,255.233,1.029273230258011
Fndsa1024,authorize,8.333,8.322,0.9986799471978878
Fndsa512,authority_build,4344.444,11844.557,2.7263688978382503
Fndsa512,append_hop,4323.936,12694.986,2.9359791634288763
Fndsa512,seal,152.309,2809.61,18.44677596202457
Fndsa512,verify_n2,127.006,128.622,1.0127238083240162
Fndsa512,authorize,9.363,8.408,0.8980027768877497
HybridEdFndsa512,authority_build,4233.667,11410.651,2.6952169360509455
HybridEdFndsa512,append_hop,4242.754,12007.165,2.830040346435358
HybridEdFndsa512,seal,175.93,2794.939,15.886653782754504
HybridEdFndsa512,verify_n2,275.744,294.833,1.0692272542648253
HybridEdFndsa512,authorize,8.814,8.729,0.9903562514181983
HybridEdMldsa44,authority_build,116.174,308.098,2.652039182605402
HybridEdMldsa44,append_hop,137.388,320.019,2.3293082365272078
HybridEdMldsa44,seal,81.41,554.253,6.808168529664661
HybridEdMldsa44,verify_n2,269.17,465.768,1.730386001411747
HybridEdMldsa44,authorize,8.373,8.094,0.9666786098172698
Mldsa44,authority_build,65.153,255.107,3.9155065768268535
Mldsa44,append_hop,70.574,272.517,3.8614362229716326
Mldsa44,seal,62.265,201.386,3.2343371075242913
Mldsa44,verify_n2,113.189,303.327,2.679827545079469
Mldsa44,authorize,8.499,8.504,1.0005883045064123
Mldsa65,authority_build,106.865,444.797,4.162232723529687
Mldsa65,append_hop,115.417,440.733,3.8186142422693363
Mldsa65,seal,138.108,285.623,2.0681133605584034
Mldsa65,verify_n2,164.395,480.762,2.9244320082727575
Mldsa65,authorize,8.692,8.454,0.9726184997699034
Mldsa87,authority_build,127.287,577.946,4.540495101620746
Mldsa87,append_hop,147.122,543.38,3.6933973165128258
Mldsa87,seal,107.192,279.534,2.6077878946190016
Mldsa87,verify_n2,248.923,783.982,3.1494960288924685
Mldsa87,authorize,8.709,8.785,1.0087266046618442
Slhdsa128f,authority_build,5743.505,19707.529,3.43127219354732
Slhdsa128f,append_hop,5862.227,19621.292,3.3470713433649024
Slhdsa128f,seal,5707.048,18853.754,3.303591278713619
Slhdsa128f,verify_n2,1974.086,4608.132,2.334311676390998
Slhdsa128f,authorize,9.29,11.067,1.1912809472551131
Slhdsa128s,authority_build,130513.48,420839.194,3.2244883363772083
Slhdsa128s,append_hop,137634.851,445982.226,3.2403291954012436
Slhdsa128s,seal,115594.333,370349.183,3.203869717384848
Slhdsa128s,verify_n2,749.906,1669.044,2.225670950759162
Slhdsa128s,authorize,10.484,10.148,0.9679511636779855
Slhdsa256f,authority_build,21430.995,65944.23,3.0770493857144756
Slhdsa256f,append_hop,21119.193,63130.909,2.9892671088331833
Slhdsa256f,seal,20050.833,60153.3,3.0000399484649845
Slhdsa256f,verify_n2,3005.158,6741.339,2.243256095020628
Slhdsa256f,authorize,9.525,10.86,1.1401574803149606
Slhdsa256s,authority_build,210687.858,645955.747,3.065937226434757
Slhdsa256s,append_hop,210980.274,630386.511,2.987893128814498
Slhdsa256s,seal,201732.707,584160.632,2.895716022885669
Slhdsa256s,verify_n2,1620.332,3600.382,2.222002651308497
Slhdsa256s,authorize,9.555,9.758,1.0212454212454212
