stage,rtt_ms,loss_pct,rate,ping_n,ping_min,ping_avg,ping_max,ping_loss_pct
en1,50,0,unlim,20,50.057,50.088,50.252,0
en1,100,0,unlim,20,100.538,102.442,104.285,0
en1,200,0,unlim,20,200.866,204.428,208.553,0
en1,0,0,unlim,20,0.030,0.036,0.059,0
en1,1,0,unlim,20,1.080,1.165,1.212,0
en1,5,0,unlim,20,5.170,5.270,5.414,0
en1,20,0,unlim,20,20.172,20.805,21.045,0
en1,50,0,unlim,20,52.182,53.789,54.279,0
en1,100,0,unlim,20,100.291,102.032,103.238,0
en1,200,0,unlim,20,200.471,202.013,203.990,0
en1,0,0,unlim,20,0.034,0.043,0.088,0
en1,1,0,unlim,20,1.111,1.178,1.474,0
en1,5,0,unlim,20,5.243,5.406,5.627,0
en1,20,0,unlim,20,20.311,20.988,21.445,0
en1,50,0,unlim,20,51.417,53.109,53.599,0
en1,100,0,unlim,20,101.157,102.541,104.342,0
en1,200,0,unlim,20,200.288,201.881,204.827,0
en1,0,0,unlim,20,0.032,0.034,0.039,0
en1,1,0,unlim,20,1.118,1.165,1.194,0
en1,5,0,unlim,20,5.273,5.402,5.542,0
en1,20,0,unlim,20,20.471,21.258,21.444,0
en1,50,0,unlim,20,50.246,53.544,54.210,0
en1,100,0,unlim,20,0.000,92.846,103.879,0
en1,200,0,unlim,20,201.122,202.984,206.879,0
en1,0,0,unlim,20,0.034,0.078,0.191,0
en1,1,0,unlim,20,1.159,1.284,1.596,0
en1,5,0,unlim,20,5.182,5.460,5.702,0
en1,20,0,unlim,20,20.552,21.530,22.188,0
en1,50,0,unlim,20,51.869,54.092,54.952,0
en1,100,0,unlim,20,102.669,103.461,105.076,0
en1,200,0,unlim,20,200.970,202.835,206.069,0
en1,0,0,unlim,20,0.034,0.068,0.134,0
en1,1,0,unlim,20,1.169,1.301,1.644,0
en1,5,0,unlim,20,5.273,5.565,6.081,0
en1,20,0,unlim,20,20.363,21.369,21.815,0
en1,50,0,unlim,20,50.175,52.435,53.122,0
en1,100,0,unlim,20,100.253,101.869,103.206,0
en1,200,0,unlim,20,201.968,204.563,209.909,0
en1,0,0,unlim,20,0.028,0.078,0.221,0
en1,1,0,unlim,20,1.078,1.310,1.864,0
en1,5,0,unlim,20,5.435,5.608,5.948,0
en1,20,0,unlim,20,20.692,21.618,22.038,0
en1,50,0,unlim,20,51.519,52.594,54.762,0
en1,100,0,unlim,20,100.201,100.389,100.694,0
en1,200,0,unlim,20,201.110,202.767,206.510,0
en1,0,0,unlim,20,0.023,0.073,0.130,0
en1,1,0,unlim,20,1.108,1.248,1.574,0
en1,5,0,unlim,20,5.318,5.494,5.631,0
en1,20,0,unlim,20,0.000,19.484,21.703,0
en1,50,0,unlim,20,50.165,50.308,50.603,0
en1,100,0,unlim,20,100.125,100.331,101.067,0
en1,200,0,unlim,20,201.733,203.065,206.983,0
en1,0,0,unlim,20,0.030,0.064,0.109,0
en1,1,0,unlim,20,1.177,1.418,1.890,0
en1,5,0,unlim,20,5.400,5.622,5.904,0
en1,20,0,unlim,20,20.978,21.698,22.207,0
en1,50,0,unlim,20,52.430,53.926,54.481,0
en1,100,0,unlim,20,103.148,103.863,105.654,0
en1,200,0,unlim,20,201.130,203.026,206.280,0
en1,0,0,unlim,20,0.033,0.073,0.209,0
en1,1,0,unlim,20,1.047,1.374,2.000,0
en1,5,0,unlim,20,5.388,5.564,5.686,0
en1,20,0,unlim,20,20.328,22.134,24.574,0
en1,50,0,unlim,20,50.656,53.762,54.504,0
en1,100,0,unlim,20,101.291,103.919,107.372,0
en1,200,0,unlim,20,200.142,200.251,200.666,0
en1,0,0,unlim,20,0.030,0.073,0.127,0
en1,1,0,unlim,20,1.150,1.259,1.437,0
en1,5,0,unlim,20,5.108,5.195,5.321,0
en1,20,0,unlim,20,20.440,21.519,21.912,0
en1,50,0,unlim,20,52.494,53.940,54.829,0
en1,100,0,unlim,20,100.149,100.257,100.410,0
en1,200,0,unlim,20,200.488,203.328,205.166,0
en1,0,0,unlim,20,0.033,0.090,0.181,0
en1,1,0,unlim,20,1.139,1.266,1.480,0
en1,5,0,unlim,20,5.367,5.689,6.032,0
en1,20,0,unlim,20,20.394,21.679,22.076,0
en1,50,0,unlim,20,52.567,53.907,54.504,0
en1,100,0,unlim,20,100.097,100.534,102.384,0
en1,200,0,unlim,20,200.191,201.129,204.222,0
en1,0,0,unlim,20,0.028,0.077,0.178,0
en1,1,0,unlim,20,1.130,1.212,1.354,0
en1,5,0,unlim,20,5.088,5.226,5.418,0
en1,20,0,unlim,20,20.417,21.672,22.099,0
en1,50,0,unlim,20,50.157,52.386,53.836,0
en1,100,0,unlim,20,100.347,101.958,104.384,0
en1,200,0,unlim,20,201.665,202.620,203.642,0
en1,0,0,unlim,20,0.032,0.077,0.178,0
en1,1,0,unlim,20,1.089,1.209,1.361,0
en1,5,0,unlim,20,5.443,5.685,6.217,0
en1,20,0,unlim,20,0.000,20.823,22.507,0
en1,50,0,unlim,20,50.397,53.837,55.278,0
en1,100,0,unlim,20,100.119,100.511,102.589,0
en1,200,0,unlim,20,200.817,202.861,206.576,0
en1,0,0,unlim,20,0.023,0.067,0.122,0
en1,1,0,unlim,20,1.078,1.331,2.620,0
en1,5,0,unlim,20,5.322,5.666,6.294,0
en1,20,0,unlim,20,20.104,20.470,23.398,0
en1,50,0,unlim,20,50.818,53.598,54.502,0
en1,100,0,unlim,20,100.579,102.829,103.854,0
en1,200,0,unlim,20,201.019,202.796,205.741,0
en1,0,0,unlim,20,0.029,0.084,0.230,0
en1,1,0,unlim,20,1.151,1.266,1.518,0
en1,5,0,unlim,20,5.229,5.464,6.245,0
en1,20,0,unlim,20,20.254,21.164,21.460,0
en1,50,0,unlim,20,50.380,51.760,52.302,0
en1,100,0,unlim,20,100.729,102.756,103.755,0
en1,200,0,unlim,20,201.467,202.345,203.794,0
en1,0,0,unlim,20,0.030,0.068,0.126,0
en1,1,0,unlim,20,1.111,1.291,1.515,0
en1,5,0,unlim,20,5.294,5.484,5.794,0
en1,20,0,unlim,20,20.726,21.875,22.351,0
en1,50,0,unlim,20,52.133,54.046,54.713,0
en1,100,0,unlim,20,100.491,103.187,106.858,0
en1,200,0,unlim,20,200.875,202.951,210.371,0
en1,0,0,unlim,20,0.030,0.058,0.126,0
en1,1,0,unlim,20,1.111,1.288,1.786,0
en1,5,0,unlim,20,5.162,5.418,5.623,0
en1,20,0,unlim,20,20.437,21.642,23.541,0
en1,50,0,unlim,20,51.029,52.490,53.976,0
en1,100,0,unlim,20,101.605,104.192,106.568,0
en1,200,0,unlim,20,200.205,202.174,205.846,0
en1,0,0,unlim,20,0.031,0.082,0.125,0
en1,1,0,unlim,20,1.101,1.192,1.315,0
en1,5,0,unlim,20,5.187,5.369,5.831,0
en1,20,0,unlim,20,20.658,22.154,22.763,0
en1,50,0,unlim,20,50.972,54.030,55.296,0
en1,100,0,unlim,20,100.475,103.187,105.213,0
en1,200,0,unlim,20,200.569,201.439,202.248,0
en1,0,0,unlim,20,0.033,0.068,0.119,0
en1,1,0,unlim,20,1.065,1.172,1.350,0
en1,5,0,unlim,20,5.076,5.250,5.599,0
en1,20,0,unlim,20,20.129,20.641,23.070,0
en1,50,0,unlim,20,50.141,50.344,50.935,0
en1,100,0,unlim,20,100.194,100.393,100.679,0
en1,200,0,unlim,20,200.143,200.464,200.801,0
en1,0,0,unlim,20,0.023,0.067,0.121,0
en1,1,0,unlim,20,1.082,1.189,1.297,0
en1,5,0,unlim,20,5.084,5.425,5.868,0
en1,20,0,unlim,20,20.088,20.374,20.610,0
en1,50,0,unlim,20,50.106,50.367,52.128,0
en1,100,0,unlim,20,100.175,100.312,100.598,0
en1,200,0,unlim,20,200.134,200.243,200.436,0
en1,0,0,unlim,20,0.028,0.067,0.136,0
en1,1,0,unlim,20,1.084,1.286,1.657,0
en1,5,0,unlim,20,5.112,5.450,7.855,0
en1,20,0,unlim,20,20.117,20.317,20.523,0
en1,50,0,unlim,20,50.086,50.197,50.297,0
en1,100,0,unlim,20,100.121,100.329,100.608,0
en1,200,0,unlim,20,200.273,200.424,200.826,0
en1,0,0,unlim,20,0.032,0.064,0.117,0
en1,1,0,unlim,20,1.070,1.122,1.208,0
en1,5,0,unlim,20,5.059,5.138,5.218,0
en1,20,0,unlim,20,20.070,20.151,20.418,0
en1,50,0,unlim,20,50.093,50.150,50.236,0
en1,100,0,unlim,20,100.075,100.241,100.525,0
en1,200,0,unlim,20,200.275,200.495,200.663,0
en1,0,0,unlim,20,0.029,0.078,0.172,0
en1,1,0,unlim,20,1.081,1.416,4.519,0
en1,5,0,unlim,20,5.060,5.298,5.721,0
en1,20,0,unlim,20,20.108,20.508,20.999,0
en1,50,0,unlim,20,50.066,50.296,50.768,0
en1,100,0,unlim,20,100.157,100.302,100.566,0
en1,200,0,unlim,20,200.198,200.459,200.678,0
en1,0,0,unlim,20,0.024,0.100,0.263,0
en1,1,0,unlim,20,1.117,1.655,4.463,0
en1,5,0,unlim,20,5.167,5.569,7.776,0
en1,20,0,unlim,20,20.136,20.262,20.472,0
en1,50,0,unlim,20,50.185,50.595,51.421,0
en1,100,0,unlim,20,100.199,100.540,103.340,0
en1,200,0,unlim,20,200.155,200.413,200.862,0
en1,0,0,unlim,20,0.031,0.057,0.095,0
en1,1,0,unlim,20,1.090,1.314,1.789,0
en1,5,0,unlim,20,5.089,5.258,5.499,0
en1,20,0,unlim,20,20.067,20.145,20.213,0
en1,50,0,unlim,20,50.183,50.527,51.007,0
en1,100,0,unlim,20,100.087,100.546,103.226,0
en1,200,0,unlim,20,200.076,200.452,202.044,0
en1,0,0,unlim,20,0.030,0.091,0.174,0
en1,1,0,unlim,20,1.061,1.167,1.330,0
en1,5,0,unlim,20,5.115,5.632,8.929,0
en1,20,0,unlim,20,20.121,20.429,20.800,0
en1,50,0,unlim,20,50.177,50.515,51.011,0
en1,100,0,unlim,20,100.164,100.447,101.372,0
en1,200,0,unlim,20,200.188,200.473,200.722,0
en1,0,0,unlim,20,0.029,0.083,0.117,0
en1,1,0,unlim,20,1.055,1.200,1.487,0
en1,5,0,unlim,20,5.090,5.260,5.468,0
en1,20,0,unlim,20,20.142,20.513,22.350,0
en1,50,0,unlim,20,50.095,50.191,50.372,0
en1,100,0,unlim,20,100.110,100.219,100.379,0
en1,200,0,unlim,20,200.089,200.181,200.440,0
en1,0,0,unlim,20,0.027,0.042,0.066,0
en1,1,0,unlim,20,1.054,1.203,1.582,0
en1,5,0,unlim,20,5.072,5.181,5.628,0
en1,20,0,unlim,20,20.099,20.187,20.422,0
en1,50,0,unlim,20,50.142,50.206,50.269,0
en1,100,0,unlim,20,100.106,100.239,100.577,0
en1,200,0,unlim,20,200.089,200.170,200.323,0
en1,0,0,unlim,20,0.032,0.048,0.090,0
en1,1,0,unlim,20,1.057,1.147,1.649,0
en1,5,0,unlim,20,5.095,5.180,5.413,0
en1,20,0,unlim,20,20.133,20.218,20.339,0
en1,50,0,unlim,20,50.089,50.193,50.286,0
en1,100,0,unlim,20,100.115,100.269,100.675,0
en1,200,0,unlim,20,200.138,200.244,200.519,0
en1,0,0,unlim,20,0.026,0.065,0.123,0
en1,1,0,unlim,20,1.087,1.283,1.416,0
en1,5,0,unlim,20,5.086,5.314,5.589,0
en1,20,0,unlim,20,20.104,20.233,20.552,0
en1,50,0,unlim,20,50.149,50.350,51.193,0
en1,100,0,unlim,20,100.106,100.270,100.621,0
en1,200,0,unlim,20,200.126,200.248,200.669,0
en1,0,0,unlim,20,0.032,0.047,0.066,0
en1,1,0,unlim,20,1.082,1.160,1.309,0
en1,5,0,unlim,20,5.105,5.332,5.944,0
en1,20,0,unlim,20,20.141,20.243,20.595,0
en1,50,0,unlim,20,50.132,50.285,50.642,0
en1,100,0,unlim,20,100.135,100.264,100.467,0
en1,200,0,unlim,20,200.145,200.293,200.538,0
en1,0,0,unlim,20,0.023,0.069,0.125,0
en1,1,0,unlim,20,1.074,1.267,1.759,0
en1,5,0,unlim,20,5.075,5.256,5.720,0
en1,20,0,unlim,20,20.095,20.240,20.635,0
en1,50,0,unlim,20,50.144,50.316,50.646,0
en1,100,0,unlim,20,100.120,100.230,100.652,0
en1,200,0,unlim,20,200.140,200.234,200.385,0
en1,0,0,unlim,20,0.031,0.060,0.140,0
en1,1,0,unlim,20,1.058,1.195,1.412,0
en1,5,0,unlim,20,5.069,5.224,5.607,0
en1,20,0,unlim,20,20.134,20.220,20.359,0
en1,50,0,unlim,20,50.126,50.253,50.423,0
en1,100,0,unlim,20,100.123,100.246,100.485,0
en1,200,0,unlim,20,200.144,200.285,200.729,0
en1,0,0,unlim,20,0.031,0.055,0.074,0
en1,1,0,unlim,20,1.142,1.211,1.366,0
en1,5,0,unlim,20,5.068,5.246,5.619,0
en1,20,0,unlim,20,20.149,20.277,20.557,0
en1,50,0,unlim,20,50.334,50.559,50.767,0
en1,100,0,unlim,20,100.042,100.098,100.517,0
en1,200,0,unlim,20,200.068,200.185,200.339,0
en1,0,0,unlim,20,0.032,0.049,0.073,0
en1,1,0,unlim,20,1.029,1.139,1.549,0
en1,5,0,unlim,20,5.108,5.159,5.232,0
en1,20,0,unlim,20,20.108,20.294,20.520,0
en1,50,0,unlim,20,50.065,50.156,50.271,0
en1,100,0,unlim,20,100.158,100.460,100.672,0
en1,200,0,unlim,20,200.083,200.157,200.314,0
en1,0,0,unlim,20,0.025,0.048,0.105,0
en1,1,0,unlim,20,1.082,1.195,1.474,0
en1,5,0,unlim,20,5.122,5.231,5.742,0
en1,20,0,unlim,20,20.175,20.280,20.361,0
en1,50,0,unlim,20,50.342,50.537,50.813,0
en1,100,0,unlim,20,100.070,100.120,100.272,0
en1,200,0,unlim,20,200.077,200.173,200.354,0
en1,0,0,unlim,20,0.024,0.045,0.072,0
en1,1,0,unlim,20,1.067,1.139,1.256,0
en1,5,0,unlim,20,5.160,5.199,5.251,0
en1,20,0,unlim,20,20.070,20.136,20.264,0
en1,50,0,unlim,20,50.118,50.456,50.575,0
en1,100,0,unlim,20,100.087,100.202,100.717,0
en1,200,0,unlim,20,200.050,200.115,200.306,0
en1,0,0,unlim,20,0.033,0.067,0.122,0
en1,1,0,unlim,20,1.092,1.172,1.407,0
en1,5,0,unlim,20,5.112,5.170,5.292,0
en1,20,0,unlim,20,20.054,20.177,20.368,0
en1,50,0,unlim,20,50.196,50.637,50.970,0
en1,100,0,unlim,20,100.144,100.394,100.721,0
en1,200,0,unlim,20,200.055,200.167,200.413,0
en1,0,0,unlim,20,0.025,0.066,0.121,0
en1,1,0,unlim,20,1.046,1.174,1.444,0
en1,5,0,unlim,20,5.088,5.146,5.321,0
en1,20,0,unlim,20,20.167,20.358,20.833,0
