profile,family,n,rtt_ms,conc,rep,duration_s,completed,failed,rps,p50_ns,p95_ns,p99_ns,verify_mean_ns
ed25519,classic,1,0,1,1,15,91858,0,6123.87,151466,221939,284623,122352
ed25519,classic,1,0,1,2,15,91940,0,6129.33,153454,227705,284037,123728
ed25519,classic,1,0,1,3,15,96829,0,6455.27,148035,184740,252772,117451
ed25519,classic,1,0,8,1,15,406948,0,27129.87,279493,440201,593190,152083
ed25519,classic,1,0,8,2,15,416172,0,27744.80,276918,430392,554025,150238
ed25519,classic,1,0,8,3,15,416344,0,27756.27,275410,428669,560844,148988
ed25519,classic,1,0,32,1,15,382465,0,25497.67,1190482,1983337,2938625,140654
ed25519,classic,1,0,32,2,15,379547,0,25303.13,1704651,2661939,4409860,147079
ed25519,classic,1,0,32,3,15,354072,0,23604.80,1489148,2612702,4147604,154648
ed25519,classic,1,1,1,1,15,10563,0,704.20,1377068,1642255,2162798,191173
ed25519,classic,1,1,1,2,15,10122,0,674.80,1498526,1645266,1788315,252356
ed25519,classic,1,1,1,3,15,10413,0,694.20,1467828,1637397,1860293,237495
ed25519,classic,1,1,8,1,15,89338,0,5955.87,1340689,1466212,1589731,143097
ed25519,classic,1,1,8,2,15,89401,0,5960.07,1339339,1468752,1658687,142333
ed25519,classic,1,1,8,3,15,89505,0,5967.00,1334726,1455612,1588106,139449
ed25519,classic,1,1,32,1,15,368632,0,24575.47,1264318,1526548,1754185,160667
ed25519,classic,1,1,32,2,15,360232,0,24015.47,1292050,1602543,1965045,167361
ed25519,classic,1,1,32,3,15,365144,0,24342.93,1286372,1582124,1853130,165914
ed25519,classic,1,20,1,1,15,691,0,46.07,21533057,23121678,24079507,616283
ed25519,classic,1,20,1,2,15,690,0,46.00,21567303,23277695,23755206,675596
ed25519,classic,1,20,1,3,15,686,0,45.73,21736311,23450713,23926266,751381
ed25519,classic,1,20,8,1,15,5504,0,366.93,21620572,23558312,24561897,764597
ed25519,classic,1,20,8,2,15,5558,0,370.53,21436313,23130597,24304737,615555
ed25519,classic,1,20,8,3,15,5504,0,366.93,21586388,23552789,24632344,735823
ed25519,classic,1,20,32,1,15,22848,0,1523.20,20836666,22639161,24239054,317709
ed25519,classic,1,20,32,2,15,22848,0,1523.20,20870120,22408111,24341866,307831
ed25519,classic,1,20,32,3,15,22816,0,1521.07,20882395,22589872,24546769,314019
ed25519,classic,20,0,1,1,15,16779,0,1118.60,879542,1024349,1194734,823738
ed25519,classic,20,0,1,2,15,16710,0,1114.00,883946,1025186,1203291,826397
ed25519,classic,20,0,1,3,15,17086,0,1139.07,863043,984535,1114812,805933
ed25519,classic,20,0,8,1,15,66304,0,4420.27,1735517,2630675,2983466,984853
ed25519,classic,20,0,8,2,15,65398,0,4359.87,1754600,2658149,3143673,986259
ed25519,classic,20,0,8,3,15,64749,0,4316.60,1774005,2730844,3452896,1007026
ed25519,classic,20,0,32,1,15,61097,0,4073.13,7085147,26607607,32582817,1431167
ed25519,classic,20,0,32,2,15,61366,0,4091.07,7636391,27553464,34144015,1501513
ed25519,classic,20,0,32,3,15,62597,0,4173.13,6947701,25877521,32404740,1449454
ed25519,classic,20,1,1,1,15,7057,0,470.47,2098693,2521942,2975366,867002
ed25519,classic,20,1,1,2,15,7141,0,476.07,2088608,2249074,2507516,841069
ed25519,classic,20,1,1,3,15,7048,0,469.87,2102109,2309470,2771024,858209
ed25519,classic,20,1,8,1,15,57789,0,3852.60,1997113,2763756,3007058,890193
ed25519,classic,20,1,8,2,15,57791,0,3852.73,1999754,2802916,3029166,895548
ed25519,classic,20,1,8,3,15,58332,0,3888.80,1983058,2754190,2958038,880088
ed25519,classic,20,1,32,1,15,61562,0,4104.13,6464911,21428761,30570398,2101395
ed25519,classic,20,1,32,2,15,61900,0,4126.67,6281080,23194594,32183661,2115555
ed25519,classic,20,1,32,3,15,61649,0,4109.93,6417026,21672983,30324142,2090275
ed25519,classic,20,20,1,1,15,602,0,40.13,25280469,27824865,29121098,3906802
ed25519,classic,20,20,1,2,15,611,0,40.73,24613259,27396364,28562594,3559902
ed25519,classic,20,20,1,3,15,610,0,40.67,24729061,27594935,28969190,3564598
ed25519,classic,20,20,8,1,15,5152,0,343.47,22969139,26691082,28494671,2390029
ed25519,classic,20,20,8,2,15,5204,0,346.93,22769853,26362481,27998968,2207785
ed25519,classic,20,20,8,3,15,5184,0,345.60,22923354,26188356,28044285,2279771
ed25519,classic,20,20,32,1,15,22653,0,1510.20,21084668,21948182,23035830,942461
ed25519,classic,20,20,32,2,15,22633,0,1508.87,21092174,22020860,22949304,951719
ed25519,classic,20,20,32,3,15,22648,0,1509.87,21084086,21968760,22909635,937287
mldsa44,uniform,1,0,1,1,15,69277,0,4618.47,201828,272779,508345,171779
mldsa44,uniform,1,0,1,2,15,69714,0,4647.60,203994,268693,381269,171698
mldsa44,uniform,1,0,1,3,15,71095,0,4739.67,200588,264194,351299,168816
mldsa44,uniform,1,0,8,1,15,300808,0,20053.87,381098,598603,880090,208827
mldsa44,uniform,1,0,8,2,15,299795,0,19986.33,380710,600451,888762,209359
mldsa44,uniform,1,0,8,3,15,299204,0,19946.93,383656,599042,852036,207946
mldsa44,uniform,1,0,32,1,15,281608,0,18773.87,1879958,3547796,5693016,202608
mldsa44,uniform,1,0,32,2,15,279916,0,18661.07,2163914,3780620,5983741,205316
mldsa44,uniform,1,0,32,3,15,279154,0,18610.27,2045757,3507462,5627023,206457
mldsa44,uniform,1,1,1,1,15,9703,0,646.87,1530686,1869461,2611442,337697
