profile,n,mode,tsrv_us,slope_ms_per_ms,intercept_ms,r2,tau_star_ms
ed25519,1,ka,142.954,1.0108038221137476,0.4698662308718415,0.9999829100451043,0.1414260580268296
ed25519,1,new,176.0255,2.011713255369509,1.0738092468441354,0.9999748580557163,0.0875002933594867
ed25519,5,ka,276.5805,1.0156559634010676,0.8123289601997958,0.9999711534811255,0.272317113241605
ed25519,5,new,315.3715,2.0132031489385858,1.816345333181978,0.9999700997777212,0.1566516027785235
ed25519,10,ka,461.8105,1.0183299948121243,1.672593908440242,0.9998353864522881,0.4534978861004691
ed25519,10,new,492.618,2.0185808520376893,2.718673438971522,0.9999157274546517,0.2440417481929043
ed25519,20,ka,819.254,1.0228609759337044,2.4313734248212073,0.9996185511895745,0.8009436465714761
ed25519,20,new,875.6995,2.0208434168009997,3.58953646380407,0.9998457920053588,0.4333336728217343
fndsa1024,1,ka,873.644,1.051901069304121,0.8441639069417768,0.9999356684331481,0.8305381803423338
fndsa1024,1,new,829.055,2.0618995796458175,2.1936793421954746,0.9999949794266032,0.4020831121864872
fndsa1024,5,ka,1755.5725,1.0525604952945853,2.2402247115393474,0.9999715763732121,1.6679065078427242
fndsa1024,5,new,1961.249,3.1310143439720752,4.090760027750046,0.9999842025307466,0.6263941280805234
fndsa1024,10,ka,2712.856,1.036456959881939,3.963197514065169,0.9999734234329437,2.617432372984419
fndsa1024,10,new,3001.8805,4.029303195708935,10.776542568906839,0.9992414209460255,0.7450123145850371
fndsa1024,20,ka,3281.4405,1.0131444735441029,4.868335741236243,0.9998718202601053,3.238867294534136
fndsa1024,20,new,3231.0365,4.012325622692702,6.432032894590734,0.9999812418013825,0.805277737610844
fndsa512,1,ka,648.1075,1.0518716212055854,0.544316154450001,0.9999688517155112,0.6161469583685337
fndsa512,1,new,445.258,2.0738644227154053,1.8935996765013037,0.9999884468318285,0.21469966653702627
fndsa512,5,ka,1310.0455,1.050033377761381,1.4372734936201579,0.9999756929413879,1.2476227210919255
fndsa512,5,new,1100.473,2.0695366543024187,2.7969607470484865,0.999988559935807,0.5317484943850573
fndsa512,10,ka,1412.8495,1.045188795918947,2.061335789079364,0.9999785322441928,1.3517648730225813
fndsa512,10,new,1855.1745,3.0808780959132718,4.959458156101683,0.9998409006547719,0.6021577103166967
fndsa512,20,ka,2390.638,1.0358447856850952,3.477996180400731,0.9999771617713354,2.307911410123922
fndsa512,20,new,2160.881,4.127573575695313,5.939720839760515,0.9999485199514431,0.5235233146960894
hyb-ed-fndsa512,1,ka,375.729,1.0033490566239078,0.7544345349017988,0.9999987151667803,0.37447486248131995
hyb-ed-fndsa512,1,new,415.803,2.005710951969577,1.221660343239869,0.9999981661627577,0.2073095326082195
hyb-ed-fndsa512,5,ka,759.571,1.0044513539959135,1.332622316256111,0.9999937728491204,0.7562048644548796
hyb-ed-fndsa512,5,new,765.12,3.011752408882961,1.8566547100011244,0.9999981664408456,0.25404478726183805
hyb-ed-fndsa512,10,ka,1270.21,1.0044900392893636,1.9846346211999144,0.9999908408236565,1.2645322007360298
hyb-ed-fndsa512,10,new,1316.935,3.011794386570554,2.5391752749120555,0.9999972277215771,0.4372592650654207
hyb-ed-fndsa512,20,ka,2192.4285,1.0070426090135092,3.1805001684867715,0.9999753061042985,2.1770960636389414
hyb-ed-fndsa512,20,new,2262.387,4.016963164899535,3.880893916295847,0.9999973756736902,0.5632083011785802
hyb-ed-mldsa44,1,ka,401.8545,1.0027781986207291,0.8671961364343238,0.9999969794869589,0.400741161457968
hyb-ed-mldsa44,1,new,451.9865,2.0050421843001485,1.3709840338574073,0.9999970872147899,0.22542493297105565
hyb-ed-mldsa44,5,ka,912.9565,1.012417985225338,1.2839797592121789,0.999995081080708,0.9017584765612392
hyb-ed-mldsa44,5,new,907.8075,3.014603956572824,2.280154388103104,0.9999836371439166,0.3011365715289673
hyb-ed-mldsa44,10,ka,1846.804,1.0127389711034174,2.9268390608525388,0.9999259292175273,1.8235735492511336
hyb-ed-mldsa44,10,new,1750.7435,4.020339814825749,4.142855937586557,0.9999917120412752,0.4354715224677796
hyb-ed-mldsa44,20,ka,2916.519,1.014717095481894,3.937687599801344,0.9998882182661496,2.874218846795846
hyb-ed-mldsa44,20,new,2749.377,5.021956854336475,5.6943175449143295,0.999983352117325,0.5474712506989988
mix-mldsa87-fndsa512,1,ka,409.578,1.0035224071858329,0.83904214968783,0.9999985241599515,0.40814036345095195
mix-mldsa87-fndsa512,1,new,449.091,3.011577406987173,1.363214745470611,0.9999987431300852,0.14912151982481414
mix-mldsa87-fndsa512,5,ka,621.043,1.0046907811102286,1.116876050425694,0.9999983058780554,0.618143424500939
mix-mldsa87-fndsa512,5,new,781.44,3.0189413594732675,1.495053389675325,0.9999988605655834,0.2588457034940031
mix-mldsa87-fndsa512,10,ka,897.885,1.008925358865933,1.4716445110682252,0.9999971387209501,0.8899419487376685
mix-mldsa87-fndsa512,10,new,916.525,3.0267185569190613,2.1634345997389035,0.9999979869546068,0.3028114384486886
mix-mldsa87-fndsa512,20,ka,1434.847,1.0091465261777732,2.289548942859586,0.9999913678838886,1.421842084156602
mix-mldsa87-fndsa512,20,new,1529.204,4.043584424696334,3.027710635696473,0.99999661057619,0.37818030721958784
mix-mldsa87-mldsa44,1,ka,746.9945,1.0128302462424796,1.1604813188046377,0.9999963947176158,0.7375317855793612
mix-mldsa87-mldsa44,1,new,782.7995,3.0382720421841305,2.1587786897945547,0.9999954759764517,0.25764628352281016
mix-mldsa87-mldsa44,5,ka,1062.1835,1.010770129662845,1.8549420411283981,0.9999954410787055,1.0508655418559951
mix-mldsa87-mldsa44,5,new,1181.408,3.037324229555001,2.7694276145533547,0.9999934719223328,0.38896341342296803
mix-mldsa87-mldsa44,10,ka,1297.42,1.012835360182768,2.4367285118798963,0.9999879940104857,1.280978183626881
mix-mldsa87-mldsa44,10,new,1508.93,4.056935684635033,3.6685326795380107,0.9999925895339514,0.3719383587259765
mix-mldsa87-mldsa44,20,ka,2308.8895,1.0119838975366107,3.5621283377057664,0.9999525788650276,2.2815476665393
mix-mldsa87-mldsa44,20,new,2410.497,5.0583201378873905,5.277351275723703,0.9999896971670805,0.47654101248853437
mix-slh256s-fndsa512,1,ka,1652.909,1.0100644986207288,2.4659803364343333,0.9999876933896285,1.6364390613243942
mix-slh256s-fndsa512,1,new,1683.1055,4.043944973992508,3.538378046469559,0.999997310770658,0.4162038580703789
mix-slh256s-fndsa512,5,ka,1867.342,1.012148536922466,2.708304269525485,0.9999913259025992,1.8449288141815934
mix-slh256s-fndsa512,5,new,1997.472,4.0477309000340576,3.655706847865803,0.9999967072562602,0.4934794454797361
mix-slh256s-fndsa512,10,ka,2258.098,1.0176717969292772,2.971735309098661,0.9999878226650175,2.2188862920379484
mix-slh256s-fndsa512,10,new,2233.367,4.054125804807585,4.139247232058102,0.999993772358525,0.5508874434413362
mix-slh256s-fndsa512,20,ka,3397.83,1.0139692211034173,4.572303310852549,0.9999539875843969,3.3510188763939284
mix-slh256s-fndsa512,20,new,3352.324,5.062000181087525,6.231300068515175,0.9999911459978622,0.66225284078907
mldsa44,1,ka,191.223,1.0288124525882625,0.20145788780225232,0.9999503728360113,0.1858676958263147
mldsa44,1,new,234.419,2.04479476430923,1.1922624366216388,0.9999268545142208,0.11464182327324725
mldsa44,5,ka,534.5455,1.034841321739131,0.36143375434783215,0.9999300915553232,0.5165482753449145
mldsa44,5,new,598.5825,3.1017843984390963,1.0356797811500074,0.9999990961523844,0.19298004732412197
mldsa44,10,ka,897.9755,1.0453621766829382,0.7217429278692391,0.9999360469766732,0.8590089827521653
