profile,n,mode,rtt_ms,samples,total_p50_us,total_p95_us,total_p99_us,tsrv_us,rho,p50_ci_lo_us,p50_ci_hi_us,fail,fail_rate
ed25519,1,ka,0,1000,203.43,323.39894999999996,423.9284499999999,142.954,0.7027183797866589,199.9235,207.873,0,0.0
ed25519,1,ka,1,1000,1400.457,1534.6297,2106.46946,167.601,0.11967593435571389,1392.6624875,1406.6451499999998,0,0.0
ed25519,1,ka,5,1000,5489.02,5690.86875,6118.666679999999,199.5855,0.03636086223041636,5481.281150000001,5495.720275000001,0,0.0
ed25519,1,ka,20,1000,20557.918,20979.915,21429.64971,229.151,0.011146605410139294,20547.916787500002,20567.9044,0,0.0
ed25519,1,ka,50,1000,50893.5435,52519.10785,53240.89789,388.8205,0.007639878720568946,50857.242,50943.8295,0,0.0
ed25519,1,ka,100,400,102183.075,103510.4775,104347.37333,1221.246,0.011951548727614628,102030.766,102303.205,0,0.0
ed25519,1,ka,200,400,202357.421,204284.88675,205476.67575999998,1209.394,0.005976524083097501,202264.9145,202505.0355,0,0.0
ed25519,1,new,0,400,319.065,513.13635,657.2836499999997,176.0255,0.5516916615736606,307.9448,330.85482499999995,0,0.0
ed25519,1,new,1,400,2549.853,2846.8728499999997,3146.1816999999987,209.5255,0.08217159969613935,2537.746,2561.0068250000004,0,0.0
ed25519,1,new,5,400,10760.1305,11242.7732,11696.580989999999,267.516,0.024861780254430928,10742.7261625,10779.272,0,0.0
ed25519,1,new,20,400,40893.0025,41721.8117,42800.69616,288.922,0.007065316370447486,40858.382,40912.552,0,0.0
ed25519,1,new,50,400,103025.2525,105280.99775,106551.08703,1268.9515,0.012316897743104294,102802.4715,103276.6,0,0.0
ed25519,1,new,100,200,202735.4535,205508.6184,206383.295,934.0215,0.004607095028891925,202514.146,203073.072,0,0.0
ed25519,1,new,200,200,402883.3475,405502.7669,407272.97302,1076.0825,0.002670953035605424,402737.92152499995,403123.18319999997,0,0.0
ed25519,5,ka,0,1000,343.152,486.9087999999999,828.83176,276.5805,0.8059999650300741,341.8475,344.377,0,0.0
ed25519,5,ka,1,1000,1571.158,1687.21975,1982.7506199999998,307.931,0.19598983679553553,1563.3625,1578.7825,0,0.0
ed25519,5,ka,5,1000,5721.086,6327.89405,6792.013289999999,486.6045,0.08505456831098152,5706.628,5744.7215,0,0.0
ed25519,5,ka,20,1000,21004.086,22720.2153,23524.88817,632.1625,0.030097120150812562,20912.78095,21083.446737500002,0,0.0
ed25519,5,ka,50,1000,52439.785,54592.59575,55102.954549999995,1562.488,0.029795850612278445,52250.866700000006,52557.7955,0,0.0
ed25519,5,ka,100,400,102171.0455,104914.5637,105354.42102,1342.5345,0.013140068141908169,101963.691,102323.794,0,0.0
ed25519,5,ka,200,400,203853.4555,206361.43135,207417.48797999998,2525.7615,0.012390084307400911,203586.6705,204066.50848750002,0,0.0
ed25519,5,new,0,400,464.967,649.2639999999993,1323.0055499999994,315.3715,0.6782664146057678,462.269,467.73065,0,0.0
ed25519,5,new,1,400,2762.8635,3076.3430499999995,3425.575749999999,368.76,0.1334702202986141,2749.656,2777.3815,0,0.0
ed25519,5,new,5,400,11417.1095,12669.944049999998,13535.11761,766.8245,0.06716450429068758,11306.854,11531.36,0,0.0
ed25519,5,new,20,400,43011.436,45610.0299,46462.187399999995,1811.4075,0.04211455530105993,42775.6725,43282.010612499995,0,0.0
ed25519,5,new,50,400,103576.0085,106844.0391,108073.67706,1858.1885,0.017940337023124423,103204.8185,103831.31322499999,0,0.0
ed25519,5,new,100,200,202841.4955,206139.82325,207129.17119,1225.293,0.006040642704687612,202529.923,203026.489,0,0.0
