profile,n,mode,loss_pct,samples,fail,fail_rate,p50_us,p95_us,p99_us,tail_ratio,p50_amp,p99_amp
ed25519,1,ka,0,1000,0,0.0,21070.732,21922.274899999997,22358.12423,1.061098600181522,1.0,1.0
ed25519,1,ka,1,1000,0,0.0,20711.0115,21704.1683,22875.767129999997,1.1045219655254401,0.9829279542827464,1.023152340271257
ed25519,1,ka,3,1000,0,0.0,21073.989,22156.4629,248664.90713,11.799612647135765,1.0001545746013951,11.121903813216266
ed25519,1,ka,5,1000,0,0.0,21156.0105,245610.15825,249298.79033000002,11.783828067678451,1.0040472490466872,11.150255171920564
ed25519,1,new,0,400,0,0.0,41849.573,43683.36485,44603.93493,1.0658157714058396,1.0,1.0
ed25519,1,new,1,400,0,0.0,41222.1195,43016.37099999999,1057006.57597,25.64173285582756,0.9850069318508937,23.69760824081625
ed25519,1,new,3,400,0,0.0,41908.0995,43754.94454999999,1056162.63588,25.201873825846,1.0013984969452376,23.678687486597493
ed25519,1,new,5,400,0,0.0,41676.686,265793.52595,1067249.83693,25.607838323085478,0.995868846738293,23.927257507771635
ed25519,10,ka,0,1000,0,0.0,21785.361,23350.61155,24260.71313,1.1136245633019346,1.0,1.0
ed25519,10,ka,1,1000,0,0.0,21785.096,23398.9405,50653.61073,2.32514975972564,0.9999878358683154,2.0878863064978668
ed25519,10,ka,3,1000,0,0.0,21900.2475,24912.125699999997,91049.28218,4.157454484475575,1.0052735642067165,3.752951600891379
ed25519,10,ka,5,1000,0,0.0,22031.5435,54079.93075,94742.06425999998,4.300291727631339,1.0113003635790105,3.9051640301061497
ed25519,10,new,0,400,0,0.0,42800.391,45192.0959,45734.53499,1.0685541398441898,1.0,1.0
ed25519,10,new,1,400,0,0.0,42779.9705,45598.3911,48350.23903,1.1302073953043048,0.9995228898726649,1.0571931919843927
ed25519,10,new,3,400,0,0.0,43010.295,108286.30519999999,1067592.26426,24.821784278856956,1.0049042542625368,23.343240824323075
ed25519,10,new,5,400,0,0.0,42872.3955,312684.52664999967,1070173.01724,24.96181994868936,1.0016823327618665,23.39966980038163
ed25519,20,ka,0,1000,0,0.0,22613.512,24664.039149999997,25694.8634,1.1362615147969939,1.0,1.0
ed25519,20,ka,1,1000,0,0.0,22914.5635,25394.64745,267694.89326,11.682303844016054,1.0133129033650325,10.418225973522786
ed25519,20,ka,3,1000,0,0.0,22943.255,73441.46455,270011.53557,11.768667330333033,1.0145816801919136,10.508385717668382
ed25519,20,ka,5,1000,0,0.0,23270.3245,268322.7072,273466.9723,11.75174726506285,1.0290451346080167,10.64286538686172
ed25519,20,new,0,400,0,0.0,43487.517,46118.56315,47141.79785,1.08403057019788,1.0,1.0
ed25519,20,new,1,400,0,0.0,43679.988,46945.43044999999,289970.94232,6.638530723039576,1.0044258907676886,6.151036989354023
ed25519,20,new,3,400,0,0.0,43964.4595,288825.6469,1060567.56886,24.123293699539285,1.0109673426514556,22.497393337322624
ed25519,20,new,5,400,0,0.0,43877.152,295638.6127,1077068.9318699979,24.547375633450365,1.0089596975610267,22.847430114929267
fndsa512,1,ka,0,1000,0,0.0,21000.0815,21802.0695,22500.85801,1.0714652707419254,1.0,1.0
fndsa512,1,ka,1,1000,0,0.0,21041.3115,21995.974,70644.12114999999,3.357401041755405,1.0019633257137597,3.13961899224482
fndsa512,1,ka,3,1000,0,0.0,21170.5065,71477.7513,109998.78304,5.195850323184285,1.0081154446948217,4.888648379146853
fndsa512,1,ka,5,1000,0,0.0,21223.6735,75022.96795,111205.82818999997,5.2397068862748934,1.0106471967739745,4.942292784594128
fndsa512,1,new,0,400,0,0.0,41871.9395,43335.4298,44040.09671,1.051780673068655,1.0,1.0
fndsa512,1,new,1,400,0,0.0,41926.577,43972.63835,132440.25218999814,3.158861554330995,1.0013048714879806,3.0072652442637686
fndsa512,1,new,3,400,0,0.0,42183.9085,129481.72540000001,1050581.4009299998,24.904790435196393,1.007450550505309,23.855111124028223
fndsa512,1,new,5,400,0,0.0,41962.738,1047766.5517499998,1073787.33115,25.589067404276626,1.0021684808748827,24.382038446027746
fndsa512,10,ka,0,1000,0,0.0,22378.852,24169.7358,24899.53751,1.1126369444688224,1.0,1.0
fndsa512,10,ka,1,1000,0,0.0,42002.17,63885.59075,130696.15612999999,3.111652472479398,1.8768688402783127,5.248939104893439
fndsa512,10,ka,3,1000,0,0.0,62346.9165,117175.96994999998,293102.48784999986,4.701154512589245,2.7859747452639665,11.771402891812182
fndsa512,10,ka,5,1000,0,0.0,81826.6555,176086.21695,355918.70314999996,4.3496670000156605,3.6564277515218384,14.294189320065005
fndsa512,10,new,0,400,0,0.0,63478.0345,66114.18579999999,67125.22392,1.0574559286330771,1.0,1.0
fndsa512,10,new,1,400,0,0.0,63751.1465,104372.35964999998,1082369.7659200002,16.978043930864835,1.00430246465807,16.12463546058291
fndsa512,10,new,3,400,0,0.0,64611.732,308317.5163,1095803.54983,16.959823176230593,1.017859681840023,16.324765651969834
fndsa512,10,new,5,400,0,0.0,65106.538,335974.73284999945,1090046.13531,16.742498814942362,1.0256545986785397,16.238994399618235
fndsa512,20,ka,0,1000,0,0.0,23198.162,25572.090350000002,26707.28311,1.1512672042724763,1.0,1.0
fndsa512,20,ka,1,1000,0,0.0,47612.964,87310.65370000001,134252.33513,2.8196592661192024,2.052445534262585,5.026806155349135
fndsa512,20,ka,3,1000,0,0.0,86564.4425,172332.98784999998,332944.04578999995,3.8461986951513025,3.731521596409233,12.466413914837178
fndsa512,20,ka,5,1000,0,0.0,125700.5485,323712.5205499999,449532.16573999997,3.576214830438866,5.418556370974563,16.8318193913061
fndsa512,20,new,0,400,0,0.0,85660.385,88876.639,90031.64613,1.051030136392686,1.0,1.0
fndsa512,20,new,1,400,0,0.0,85362.026,105270.85914999997,1086617.9013099999,12.729523328206854,0.9965169547159985,12.06928838934026
fndsa512,20,new,3,400,0,0.0,86807.917,151297.98674999995,1108163.8037400001,12.765699743031503,1.0133962974833701,12.308603156493238
fndsa512,20,new,5,400,0,0.0,84543.564,403339.8444999917,1138061.2016800002,13.461239955296893,0.9869622229692291,12.640679700965501
hyb-ed-fndsa512,1,ka,0,1000,0,0.0,21103.424,21717.98355,22264.66673,1.055026271092312,1.0,1.0
hyb-ed-fndsa512,1,ka,1,1000,0,0.0,21158.8745,22404.810149999998,107762.48962000001,5.0930161535766,1.002627559395101,4.840067490199527
hyb-ed-fndsa512,1,ka,3,1000,0,0.0,21232.651,71049.29615,110075.67263,5.184264208458943,1.0061235086780231,4.943962286292888
hyb-ed-fndsa512,1,ka,5,1000,0,0.0,21225.024,73961.54899999997,268506.39256,12.6504635547173,1.005762098131564,12.059753501641566
hyb-ed-fndsa512,1,new,0,400,0,0.0,42012.187,42959.4181,43728.21698,1.040846004517689,1.0,1.0
hyb-ed-fndsa512,1,new,1,400,0,0.0,42232.775,91178.18789999996,1054442.67148,24.967402011352558,1.0052505716972078,24.11355285678058
hyb-ed-fndsa512,1,new,3,400,0,0.0,42257.191,93351.68859999996,346227.3859399935,8.193336512594827,1.0058317363959177,7.917711030805298
hyb-ed-fndsa512,1,new,5,400,0,0.0,42244.0075,129562.12494999995,1064761.67162,25.205034622247897,1.0055179345935978,24.349533211175537
hyb-ed-fndsa512,10,ka,0,1000,0,0.0,22776.936,24207.646149999997,24996.179210000002,1.0974337904799838,1.0,1.0
hyb-ed-fndsa512,10,ka,1,1000,0,0.0,43164.6285,62734.66389999999,84163.59036,1.9498277475039545,1.895102506324819,3.3670582072931134
