profile,n,rtt_ms,conc,rps,rps_sd,p50_us,p99_us,completed,failed
ed25519,1,0,1,6236.156666666667,189.77734989543245,151.466,284.037,280627,0
ed25519,1,0,2,12476.82,56.94306191275627,150.339,261.199,561457,0
ed25519,1,0,4,22651.443333333333,326.5712089779701,169.572,277.752,1019315,0
ed25519,1,0,8,27543.646666666667,358.38699423016664,276.918,560.844,1239464,0
ed25519,1,0,16,24413.710000000003,632.480994418015,659.731,1818.006,1098617,0
ed25519,1,0,32,24801.86666666667,1041.2434423482998,1489.148,4147.604,1116084,0
ed25519,1,1,1,691.0666666666666,14.948355539434253,1467.828,1860.293,31098,0
ed25519,1,1,2,1524.1566666666668,6.756303229824147,1308.264,1525.12,68587,0
ed25519,1,1,4,2940.2666666666664,65.44750746463404,1354.212,1627.914,132312,0
ed25519,1,1,8,5960.98,5.620524886521233,1339.339,1589.731,268244,0
ed25519,1,1,16,12844.956666666667,50.82415305082114,1228.318,1481.573,578023,0
ed25519,1,1,32,24311.289999999997,281.33755028435144,1286.372,1853.13,1094008,0
ed25519,1,20,1,45.93333333333334,0.1795364401266026,21567.303,23926.266,2067,0
ed25519,1,20,2,95.06666666666666,1.730385313545322,20820.258,22135.915,4278,0
ed25519,1,20,4,190.13333333333333,2.81961581307337,21012.363,22309.803,8556,0
ed25519,1,20,8,368.12999999999994,2.078460969082625,21586.388,24561.897,16566,0
ed25519,1,20,16,763.4666666666667,11.067349878509049,20897.614,23245.9,34356,0
ed25519,1,20,32,1522.49,1.2297560733739659,20870.12,24341.866,68512,0
ed25519,20,0,1,1123.89,13.345946950291703,879.542,1194.734,50575,0
ed25519,20,0,2,2164.2433333333333,25.573533845234067,913.539,1120.781,97391,0
ed25519,20,0,4,3862.89,154.6921497684998,1044.537,1325.229,173830,0
ed25519,20,0,8,4365.580000000001,52.07033992591147,1754.6,3143.673,196451,0
ed25519,20,0,16,3738.1533333333336,29.824715142534703,4031.527,14870.235,168217,0
ed25519,20,0,32,4112.443333333334,53.316175156638124,7085.147,32582.817,185060,0
ed25519,20,1,1,472.1366666666667,3.4195516275285662,2098.693,2771.024,21246,0
ed25519,20,1,2,961.6666666666666,5.384629358956274,2060.756,2502.884,43275,0
ed25519,20,1,4,1902.2666666666667,27.019256713191314,2072.315,2393.981,85602,0
ed25519,20,1,8,3864.7100000000005,20.862653234907715,1997.113,3007.058,173912,0
ed25519,20,1,16,3407.8233333333337,69.70157554412445,4258.059,11367.867,153352,0
ed25519,20,1,32,4113.576666666667,11.704124629092792,6417.026,30570.398,185111,0
ed25519,20,20,1,40.51,0.33045423283716446,24729.061,28969.19,1823,0
ed25519,20,20,2,92.62333333333333,0.08082903768655203,21489.683,23369.778,4168,0
ed25519,20,20,4,185.42333333333332,0.4080849584747586,21492.804,23997.502,8344,0
ed25519,20,20,8,345.3333333333333,1.7453461929752627,22923.354,28044.285,15540,0
ed25519,20,20,16,750.8000000000001,1.6021547990129041,21129.657,24641.22,33786,0
ed25519,20,20,32,1509.6466666666665,0.6925556536000329,21084.668,22949.304,67934,0
fndsa1024,1,0,1,3026.0033333333336,9.411340676722702,317.734,501.707,136170,0
fndsa1024,1,0,2,6006.846666666667,42.29344669488749,318.197,470.417,270308,0
fndsa1024,1,0,4,10755.356666666667,311.8979360837982,357.266,527.934,483991,0
fndsa1024,1,0,8,12782.246666666666,198.14686379888286,586.291,1419.24,575201,0
fndsa1024,1,0,16,11494.196666666665,236.89468827589397,1325.572,3702.642,517239,0
fndsa1024,1,0,32,11987.4,203.79500214676472,2863.858,9161.472,539433,0
fndsa1024,1,1,1,676.5533333333334,12.18358048084943,1434.237,2308.066,30445,0
fndsa1024,1,1,2,1357.22,14.535208976825803,1470.609,1841.286,61075,0
fndsa1024,1,1,4,2785.69,12.412139219328852,1428.001,1703.177,125356,0
fndsa1024,1,1,8,5713.776666666668,4.032187164967836,1385.012,1693.161,257120,0
fndsa1024,1,1,16,10475.176666666666,209.06099237622823,1450.469,2143.099,471383,0
fndsa1024,1,1,32,12428.89,290.6431509600737,2339.678,5983.907,559300,0
fndsa1024,1,20,1,47.53333333333333,0.11547005383792731,20994.75,22232.776,2139,0
fndsa1024,1,20,2,95.11333333333334,0.6177647880328967,20859.888,23048.065,4280,0
fndsa1024,1,20,4,188.53666666666666,2.0132891827388653,21071.919,22987.139,8484,0
fndsa1024,1,20,8,380.09,0.3117691453623687,20933.26,23426.058,17104,0
fndsa1024,1,20,16,766.2233333333334,1.6289976468164118,20735.845,24264.36,34480,0
fndsa1024,1,20,32,1548.2233333333334,2.5786882970482146,20519.718,23438.564,69670,0
fndsa1024,20,0,1,455.2,0.2879236009777517,2161.081,2691.441,20484,0
fndsa1024,20,0,2,839.5766666666667,14.070381421032389,2366.212,2719.69,37781,0
fndsa1024,20,0,4,1586.6633333333332,52.43370417330187,2507.212,2956.319,71400,0
fndsa1024,20,0,8,1693.243333333333,20.408785689828125,4460.888,10300.568,76196,0
fndsa1024,20,0,16,1555.0433333333333,26.920819700249393,9578.278,24065.079,69977,0
fndsa1024,20,0,32,1633.6666666666667,32.908513082990176,12471.031,60486.359,73515,0
fndsa1024,20,1,1,295.06666666666666,2.387516143051885,3344.399,4167.054,13278,0
fndsa1024,20,1,2,571.6433333333333,3.656573988494286,3481.689,3930.811,25724,0
fndsa1024,20,1,4,1096.6899999999998,8.432389934057648,3631.813,4246.646,49351,0
fndsa1024,20,1,8,1674.2866666666666,11.268435265525254,4500.161,9028.052,75343,0
fndsa1024,20,1,16,1568.9333333333334,6.08294610639734,10107.238,20961.354,70602,0
fndsa1024,20,1,32,1607.1333333333332,26.99029887447211,17300.387,52626.686,72321,0
fndsa1024,20,20,1,42.266666666666666,0.24131583730317618,23496.528,25775.012,1902,0
fndsa1024,20,20,2,84.17666666666666,0.20404247923737398,23561.345,27642.926,3788,0
fndsa1024,20,20,4,165.24333333333334,0.8139615060513087,23674.271,29146.769,7436,0
fndsa1024,20,20,8,353.8866666666666,0.7678758580221848,22494.416,24669.106,15925,0
fndsa1024,20,20,16,697.8000000000001,2.6220030511042562,22768.613,25984.586,31401,0
fndsa1024,20,20,32,1398.3799999999999,1.654176532296368,22508.34,26649.069,62927,0
fndsa512,1,0,1,5523.400000000001,94.21729618281353,167.202,323.692,248553,0
fndsa512,1,0,2,10717.69,67.69478783481067,174.992,297.937,482296,0
fndsa512,1,0,4,18353.09,635.121951439249,212.783,313.339,825889,0
fndsa512,1,0,8,23801.64333333333,514.9527100941741,305.408,787.296,1071074,0
fndsa512,1,0,16,22007.91,306.06062847089703,690.548,1883.125,990356,0
fndsa512,1,0,32,22421.67,436.6956377157893,1331.485,4333.516,1008975,0
fndsa512,1,1,1,762.29,1.238668640113202,1292.143,1644.968,34303,0
fndsa512,1,1,2,1534.9333333333334,3.244415715245638,1295.152,1511.116,69072,0
fndsa512,1,1,4,3026.2433333333333,2.852110329796688,1311.867,1526.076,136181,0
fndsa512,1,1,8,6342.466666666667,12.00675781938384,1246.795,1485.329,285411,0
fndsa512,1,1,16,12667.220000000001,28.973027111435727,1248.63,1467.202,570025,0
fndsa512,1,1,32,22079.98,347.749683393096,1385.512,2568.293,993599,0
fndsa512,1,20,1,47.97666666666667,0.23586719427112948,20751.253,21977.566,2159,0
fndsa512,1,20,2,96.44333333333333,0.15011106998930565,20697.288,22245.408,4340,0
fndsa512,1,20,4,192.80000000000004,0.0,20700.13,22188.379,8676,0
fndsa512,1,20,8,383.29,0.31176914536241795,20816.423,22656.143,17248,0
fndsa512,1,20,16,773.4666666666667,0.873059753586982,20576.097,22840.23,34806,0
fndsa512,1,20,32,1549.18,2.71998161758484,20557.408,23139.799,69713,0
fndsa512,20,0,1,816.29,7.650437895963852,1201.484,1570.673,36733,0
fndsa512,20,0,2,1597.9333333333334,3.760350161000144,1237.188,1476.145,71907,0
fndsa512,20,0,4,2964.9566666666665,71.21557788386822,1336.021,1695.37,133423,0
fndsa512,20,0,8,3127.2233333333334,42.09929373912736,2394.039,5224.486,140725,0
fndsa512,20,0,16,2944.2033333333334,1.5275252316518846,5049.123,12998.654,132489,0
fndsa512,20,0,32,2957.556666666667,30.57107347368281,7498.867,45565.253,133090,0
fndsa512,20,1,1,423.04333333333335,13.351199696406825,2380.851,3047.458,19037,0
fndsa512,20,1,2,823.3766666666667,18.872033100154667,2392.785,2895.724,37052,0
fndsa512,20,1,4,1636.1533333333334,6.632468117777249,2420.098,3024.679,73627,0
fndsa512,20,1,8,2735.0,61.02700140101916,2399.618,5260.673,123075,0
fndsa512,20,1,16,2878.976666666667,50.675888086281596,4964.849,13266.666,129554,0
fndsa512,20,1,32,2980.023333333333,48.85680744106541,7901.313,30888.719,134101,0
fndsa512,20,20,1,44.846666666666664,0.1662327685305582,22218.696,24378.254,2018,0
fndsa512,20,20,2,90.49,0.5071488933242372,21927.824,25664.105,4072,0
fndsa512,20,20,4,175.5566666666667,2.1535165040773148,22326.529,26999.919,7900,0
fndsa512,20,20,8,362.8666666666666,3.6011433369602703,21716.213,26698.496,16329,0
fndsa512,20,20,16,737.11,3.459812133628005,21488.89,24463.542,33170,0
fndsa512,20,20,32,1489.6666666666667,3.246880554213979,21410.309,22736.263,67035,0
hyb-ed-fndsa512,1,0,1,3216.463333333333,19.879973172349356,292.666,485.943,144741,0
hyb-ed-fndsa512,1,0,2,6059.376666666667,30.58054337864757,314.307,485.475,272672,0
hyb-ed-fndsa512,1,0,4,10418.576666666666,252.43847276778703,379.636,534.674,468836,0
hyb-ed-fndsa512,1,0,8,12417.333333333334,671.3245812074307,628.866,1409.707,558780,0
hyb-ed-fndsa512,1,0,16,11561.71,192.1818937881508,1310.91,3444.584,520277,0
hyb-ed-fndsa512,1,0,32,11774.023333333333,133.34161590941315,3081.448,9811.251,529831,0
hyb-ed-fndsa512,1,1,1,700.6666666666666,5.991104516976249,1395.164,1675.103,31530,0
hyb-ed-fndsa512,1,1,2,1342.6000000000001,7.835234521059377,1469.091,1834.653,60417,0
hyb-ed-fndsa512,1,1,4,2698.7999999999997,9.245539465061043,1474.411,1774.293,121446,0
hyb-ed-fndsa512,1,1,8,5769.82,26.962720560062362,1370.462,1642.587,259642,0
hyb-ed-fndsa512,1,1,16,10448.6,248.5085368754969,1439.348,2080.788,470187,0
hyb-ed-fndsa512,1,1,32,12119.223333333333,457.542035810189,2488.396,5985.362,545365,0
hyb-ed-fndsa512,1,20,1,48.24666666666667,0.04041451884327397,20713.536,21771.107,2171,0
hyb-ed-fndsa512,1,20,2,94.31,0.15588457268120487,21130.705,23325.022,4244,0
hyb-ed-fndsa512,1,20,4,187.82333333333335,0.4080849584747549,21236.496,23347.117,8452,0
hyb-ed-fndsa512,1,20,8,385.9533333333334,0.30599564267049,20714.484,21551.602,17368,0
hyb-ed-fndsa512,1,20,16,759.8233333333334,0.6119912853409554,20903.114,24136.682,34192,0
hyb-ed-fndsa512,1,20,32,1545.9566666666667,1.235529576065824,20673.465,21751.195,69568,0
hyb-ed-fndsa512,20,0,1,458.71333333333337,3.5882632753650268,2135.252,2989.433,20642,0
hyb-ed-fndsa512,20,0,2,878.1999999999999,2.8416368522385795,2253.961,2571.235,39519,0
hyb-ed-fndsa512,20,0,4,1596.7333333333333,58.50481461669059,2518.318,3016.912,71853,0
hyb-ed-fndsa512,20,0,8,1695.42,75.35064896867163,4595.73,9762.308,76294,0
hyb-ed-fndsa512,20,0,16,1568.51,15.20582783014457,10033.897,20998.239,70583,0
hyb-ed-fndsa512,20,0,32,1621.6899999999998,18.830539025742336,13023.686,60745.951,72976,0
hyb-ed-fndsa512,20,1,1,301.7966666666667,0.6110100926608029,3264.474,4265.64,13581,0
hyb-ed-fndsa512,20,1,2,584.7133333333333,2.6010831077328587,3399.101,3832.476,26312,0
hyb-ed-fndsa512,20,1,4,1132.0666666666666,9.993109292574093,3495.413,3995.027,50943,0
hyb-ed-fndsa512,20,1,8,1643.93,63.687047348735,4664.127,9296.848,73977,0
hyb-ed-fndsa512,20,1,16,1540.29,26.512229253685803,10459.965,19598.227,69313,0
hyb-ed-fndsa512,20,1,32,1584.1533333333334,22.53689493549036,14855.995,53994.23,71287,0
hyb-ed-fndsa512,20,20,1,44.20000000000001,0.0,22591.471,23418.801,1989,0
hyb-ed-fndsa512,20,20,2,85.11,0.381051177665151,23129.256,27405.9,3830,0
hyb-ed-fndsa512,20,20,4,166.04333333333332,0.813961506051321,23635.884,29143.093,7472,0
hyb-ed-fndsa512,20,20,8,355.10999999999996,0.17088007490634574,22461.615,23748.415,15980,0
hyb-ed-fndsa512,20,20,16,702.0433333333334,0.9463790642936448,22624.498,25900.95,31592,0
hyb-ed-fndsa512,20,20,32,1402.7133333333331,7.278710966464786,22457.573,26334.005,63122,0
mix-mldsa87-fndsa512,1,0,1,2731.2433333333333,27.36931919747619,354.872,576.547,122906,0
mix-mldsa87-fndsa512,1,0,2,5370.243333333333,34.011270680956855,356.787,523.436,241661,0
mix-mldsa87-fndsa512,1,0,4,9265.0,264.2634611519348,429.347,580.48,416925,0
mix-mldsa87-fndsa512,1,0,8,11184.736666666666,727.5768642097772,686.501,1563.31,503313,0
mix-mldsa87-fndsa512,1,0,16,10286.733333333334,150.12052935336126,1495.335,4275.695,462903,0
mix-mldsa87-fndsa512,1,0,32,10611.466666666667,29.924241566551746,4190.435,12385.703,477516,0
mix-mldsa87-fndsa512,1,1,1,662.6466666666666,3.502518141756488,1475.26,2376.533,29819,0
mix-mldsa87-fndsa512,1,1,2,1308.53,7.102112361825848,1523.856,1764.314,58884,0
mix-mldsa87-fndsa512,1,1,4,2598.0666666666666,32.402071435840895,1527.973,1837.05,116913,0
mix-mldsa87-fndsa512,1,1,8,5540.509999999999,35.803607360152675,1426.544,1785.972,249323,0
mix-mldsa87-fndsa512,1,1,16,9667.023333333333,309.8421301781497,1539.805,2356.164,435016,0
mix-mldsa87-fndsa512,1,1,32,10617.89,351.04745590874114,2775.197,7501.259,477805,0
mix-mldsa87-fndsa512,1,20,1,48.09,0.03464101615137783,20775.083,21729.686,2164,0
mix-mldsa87-fndsa512,1,20,2,93.64333333333333,0.15011106998931079,21256.964,23089.061,4214,0
mix-mldsa87-fndsa512,1,20,4,186.84333333333333,0.15011106998931387,21308.765,23795.954,8408,0
mix-mldsa87-fndsa512,1,20,8,384.5133333333333,0.5363145843004237,20787.515,21838.547,17303,0
mix-mldsa87-fndsa512,1,20,16,757.3333333333334,1.0650039123559074,20937.72,24347.444,34080,0
mix-mldsa87-fndsa512,1,20,32,1543.82,1.229756073373736,20718.813,21774.494,69472,0
mix-mldsa87-fndsa512,20,0,1,710.8000000000001,13.789521384007436,1352.659,2256.71,31986,0
mix-mldsa87-fndsa512,20,0,2,1371.5133333333333,7.86483523879138,1442.249,1709.247,61718,0
mix-mldsa87-fndsa512,20,0,4,2537.1766666666667,85.21965520543573,1556.351,1881.258,114173,0
mix-mldsa87-fndsa512,20,0,8,2595.0666666666666,141.14526642198572,3009.55,6516.986,116778,0
