profile,n,rate,samples,sup_b,tsrv_ms,tser_ms,lpred_ms,p50_ms,p95_ms,p99_ms
ed25519,10,1mbit,30,2066,0.566898,17.328,67.894898,50.951217,51.2357028,51.370482700000004
ed25519,10,46kbit,20,2066,0.5694085,376.69565217391306,427.26506067391307,379.785814,381.1694619,385.62342518
ed25519,20,1mbit,30,3746,0.932523,30.768,81.700523,51.3659735,51.484820799999994,51.83888589
ed25519,20,46kbit,20,3746,0.922497,668.8695652173913,719.7920622173913,683.815839,686.6724189,687.8053645800001
fndsa512,10,1mbit,30,24302,0.7279665,195.216,245.94396650000002,200.1475185,201.48941315000002,202.99046911000002
fndsa512,10,46kbit,20,24302,0.7380735,4243.826086956521,4294.564160456521,4419.754988,4421.44108305,4423.56719901
fndsa512,20,1mbit,30,45475,1.2227735,364.59999999999997,415.8227735,378.38395,379.3186311,380.22083161
fndsa512,20,46kbit,20,45475,1.2542435,7926.086956521739,7977.341200021739,8273.3898005,8280.969808,8280.978396
hyb-ed-fndsa512,10,1mbit,30,25801,1.2078025,207.208,258.4158025,212.354127,213.6743281,214.95556406999998
hyb-ed-fndsa512,10,46kbit,20,25801,1.2000975,4504.521739130435,4555.721836630435,4689.237112,4732.416825900001,4914.72711398
hyb-ed-fndsa512,20,1mbit,30,48257,2.1417625,386.856,438.9977625,400.495354,401.54750255,402.24005412
hyb-ed-fndsa512,20,46kbit,20,48257,2.2189865,8409.91304347826,8462.13202997826,8780.979998,8807.9504155,8811.9668559
mix-mldsa87-fndsa512,10,1mbit,30,37175,0.870632,298.20000000000005,349.07063200000005,307.8704245,309.55506185,309.69502044
mix-mldsa87-fndsa512,10,46kbit,20,37175,0.8842545,6482.608695652174,6533.492950152174,6759.7185585,6787.480742350001,6795.90408607
mix-mldsa87-fndsa512,20,1mbit,30,58338,1.4010045,467.50399999999996,518.9050044999999,484.4008855,485.94751325,486.10676842000004
mix-mldsa87-fndsa512,20,46kbit,20,58338,1.4261785,10163.130434782608,10214.556613282608,10614.312167,10647.3493311,10650.775351819999
mldsa87,10,1mbit,30,112710,1.6261505,902.4799999999999,954.1061504999999,939.1466245,941.06935235,942.31756229
mldsa87,10,46kbit,20,112710,1.6489505,19619.130434782608,19670.779385282607,20492.1561005,20498.8775585,20499.025522900003
mldsa87,20,1mbit,30,209444,4.0844005,1676.352,1730.4364005,1730.1464545,1745.272539,1752.52456071
mldsa87,20,46kbit,20,209444,2.935525,36442.434782608696,36495.3703076087,38104.846371,38131.506414300005,38140.81924606
slhdsa128f,10,1mbit,30,274545,8.0756765,2197.16,2255.2356765,2293.5655455,2295.19260165,2296.1280279400003
slhdsa128f,10,46kbit,20,274545,8.1256055,47764.34782608695,47822.47343158695,49957.333641,49979.540353,49980.1214642
slhdsa128f,20,1mbit,30,503292,14.8578995,4027.1359999999995,4091.9938994999993,4207.0450065,4208.8322234,4209.4222805399995
slhdsa128f,20,46kbit,20,503292,16.180806,87546.4347826087,87612.6155886087,91588.5832115,91678.97136605,91700.20081161
