profile,n,b64_b,pred_up,meas_up,dn,retrans_pct,exact,match
ed25519,1,456,1,1,1,0.0,True,True
ed25519,5,1128,1,1,1,0.0,True,True
ed25519,10,1968,2,2,1,0.0,True,True
ed25519,20,3648,3,3,1,0.0,True,True
mldsa44,1,13311,10,10,1,0.0,True,True
mldsa44,5,33407,23,24,1,4.35,False,True
mldsa44,10,58527,41,41,1,0.0,True,True
mldsa44,20,108767,75,77,1,2.67,False,True
mldsa65,1,18574,13,13,1,0.0,True,True
mldsa65,5,46824,33,33,1,0.0,True,True
mldsa65,10,82138,57,58,1,1.75,False,True
mldsa65,20,152764,105,110,1,4.76,False,True
mldsa87,1,25552,18,18,1,0.0,True,True
mldsa87,5,64246,45,45,1,0.0,True,True
mldsa87,10,112612,78,80,1,2.56,False,True
mldsa87,20,209346,144,150,1,4.17,False,True
fndsa512,1,5140,4,4,1,0.0,True,True
fndsa512,5,13615,10,10,1,0.0,True,True
fndsa512,10,24203,17,17,1,0.0,True,True
fndsa512,20,45376,32,32,1,0.0,True,True
fndsa1024,1,9998,7,7,1,0.0,True,True
fndsa1024,5,26523,19,19,1,0.0,True,True
fndsa1024,10,47204,33,33,1,0.0,True,True
fndsa1024,20,88520,61,62,1,1.64,False,True
slhdsa128s,1,31636,22,22,1,0.0,True,True
slhdsa128s,5,73887,51,52,1,1.96,False,True
slhdsa128s,10,126700,87,90,1,3.45,False,True
slhdsa128s,20,232327,160,164,1,2.5,False,True
slhdsa128f,1,68572,48,48,1,0.0,True,True
slhdsa128f,5,160071,110,113,1,2.73,False,True
slhdsa128f,10,274444,189,194,1,2.65,False,True
slhdsa128f,20,503191,345,355,1,2.9,False,True
slhdsa256s,1,119474,82,85,1,3.66,False,True
slhdsa256s,5,278898,192,196,1,2.08,False,True
slhdsa256s,10,478178,328,339,1,3.35,False,True
slhdsa256s,20,876738,601,614,1,2.16,False,True
slhdsa256f,1,199730,137,142,1,3.65,False,True
slhdsa256f,5,466162,320,331,1,3.44,False,True
slhdsa256f,10,799202,548,562,1,2.55,False,True
slhdsa256f,20,1465282,1004,1024,1,1.99,False,True
hyb-ed-mldsa44,1,13652,10,10,1,0.0,True,True
hyb-ed-mldsa44,5,34260,24,24,1,0.0,True,True
hyb-ed-mldsa44,10,60020,42,42,1,0.0,True,True
hyb-ed-mldsa44,20,111540,77,79,1,2.6,False,True
hyb-ed-fndsa512,1,5480,4,4,1,0.0,True,True
hyb-ed-fndsa512,5,14467,10,11,1,10.0,False,True
hyb-ed-fndsa512,10,25695,18,18,1,0.0,True,True
hyb-ed-fndsa512,20,48151,34,34,1,0.0,True,True
mix-mldsa87-fndsa512,1,17992,13,13,1,0.0,True,True
mix-mldsa87-fndsa512,5,26468,19,19,1,0.0,True,True
mix-mldsa87-fndsa512,10,37064,26,26,1,0.0,True,True
mix-mldsa87-fndsa512,20,58227,40,41,1,2.5,False,True
mix-slh256s-fndsa512,1,81730,57,57,1,0.0,True,True
mix-slh256s-fndsa512,5,90206,62,64,1,3.23,False,True
mix-slh256s-fndsa512,10,100795,70,71,1,1.43,False,True
mix-slh256s-fndsa512,20,121964,84,87,1,3.57,False,True
mix-mldsa87-mldsa44,1,20903,15,15,1,0.0,True,True
mix-mldsa87-mldsa44,5,40999,29,29,1,0.0,True,True
mix-mldsa87-mldsa44,10,66119,46,46,1,0.0,True,True
mix-mldsa87-mldsa44,20,116359,80,83,1,3.75,False,True
