profile,family,root,att,n,raw_b,b64_b
ed25519,classic,ed25519,ed25519,1,342,456
ed25519,classic,ed25519,ed25519,5,846,1128
ed25519,classic,ed25519,ed25519,10,1476,1968
ed25519,classic,ed25519,ed25519,20,2736,3648
mldsa44,uniform,mldsa44,mldsa44,1,9983,13311
mldsa44,uniform,mldsa44,mldsa44,5,25055,33407
mldsa44,uniform,mldsa44,mldsa44,10,43895,58527
mldsa44,uniform,mldsa44,mldsa44,20,81575,108767
mldsa65,uniform,mldsa65,mldsa65,1,13930,18574
mldsa65,uniform,mldsa65,mldsa65,5,35118,46824
mldsa65,uniform,mldsa65,mldsa65,10,61603,82138
mldsa65,uniform,mldsa65,mldsa65,20,114573,152764
mldsa87,uniform,mldsa87,mldsa87,1,19164,25552
mldsa87,uniform,mldsa87,mldsa87,5,48184,64246
mldsa87,uniform,mldsa87,mldsa87,10,84459,112612
mldsa87,uniform,mldsa87,mldsa87,20,157009,209346
fndsa512,uniform,fndsa512,fndsa512,1,3855,5140
fndsa512,uniform,fndsa512,fndsa512,5,10211,13615
fndsa512,uniform,fndsa512,fndsa512,10,18152,24203
fndsa512,uniform,fndsa512,fndsa512,20,34032,45376
fndsa1024,uniform,fndsa1024,fndsa1024,1,7498,9998
fndsa1024,uniform,fndsa1024,fndsa1024,5,19892,26523
fndsa1024,uniform,fndsa1024,fndsa1024,10,35403,47204
fndsa1024,uniform,fndsa1024,fndsa1024,20,66390,88520
slhdsa128s,uniform,slhdsa128s,slhdsa128s,1,23727,31636
slhdsa128s,uniform,slhdsa128s,slhdsa128s,5,55415,73887
slhdsa128s,uniform,slhdsa128s,slhdsa128s,10,95025,126700
slhdsa128s,uniform,slhdsa128s,slhdsa128s,20,174245,232327
slhdsa128f,uniform,slhdsa128f,slhdsa128f,1,51429,68572
slhdsa128f,uniform,slhdsa128f,slhdsa128f,5,120053,160071
slhdsa128f,uniform,slhdsa128f,slhdsa128f,10,205833,274444
slhdsa128f,uniform,slhdsa128f,slhdsa128f,20,377393,503191
slhdsa256s,uniform,slhdsa256s,slhdsa256s,1,89605,119474
slhdsa256s,uniform,slhdsa256s,slhdsa256s,5,209173,278898
slhdsa256s,uniform,slhdsa256s,slhdsa256s,10,358633,478178
slhdsa256s,uniform,slhdsa256s,slhdsa256s,20,657553,876738
slhdsa256f,uniform,slhdsa256f,slhdsa256f,1,149797,199730
slhdsa256f,uniform,slhdsa256f,slhdsa256f,5,349621,466162
slhdsa256f,uniform,slhdsa256f,slhdsa256f,10,599401,799202
slhdsa256f,uniform,slhdsa256f,slhdsa256f,20,1098961,1465282
hyb-ed-mldsa44,hybrid,hybrid-ed-mldsa44,hybrid-ed-mldsa44,1,10239,13652
hyb-ed-mldsa44,hybrid,hybrid-ed-mldsa44,hybrid-ed-mldsa44,5,25695,34260
hyb-ed-mldsa44,hybrid,hybrid-ed-mldsa44,hybrid-ed-mldsa44,10,45015,60020
hyb-ed-mldsa44,hybrid,hybrid-ed-mldsa44,hybrid-ed-mldsa44,20,83655,111540
hyb-ed-fndsa512,hybrid,hybrid-ed-fndsa512,hybrid-ed-fndsa512,1,4110,5480
hyb-ed-fndsa512,hybrid,hybrid-ed-fndsa512,hybrid-ed-fndsa512,5,10850,14467
hyb-ed-fndsa512,hybrid,hybrid-ed-fndsa512,hybrid-ed-fndsa512,10,19271,25695
hyb-ed-fndsa512,hybrid,hybrid-ed-fndsa512,hybrid-ed-fndsa512,20,36113,48151
mix-mldsa87-fndsa512,mixed,mldsa87,fndsa512,1,13494,17992
mix-mldsa87-fndsa512,mixed,mldsa87,fndsa512,5,19851,26468
mix-mldsa87-fndsa512,mixed,mldsa87,fndsa512,10,27798,37064
mix-mldsa87-fndsa512,mixed,mldsa87,fndsa512,20,43670,58227
mix-slh256s-fndsa512,mixed,slhdsa256s,fndsa512,1,61297,81730
mix-slh256s-fndsa512,mixed,slhdsa256s,fndsa512,5,67654,90206
mix-slh256s-fndsa512,mixed,slhdsa256s,fndsa512,10,75596,100795
mix-slh256s-fndsa512,mixed,slhdsa256s,fndsa512,20,91473,121964
mix-mldsa87-mldsa44,mixed,mldsa87,mldsa44,1,15677,20903
mix-mldsa87-mldsa44,mixed,mldsa87,mldsa44,5,30749,40999
mix-mldsa87-mldsa44,mixed,mldsa87,mldsa44,10,49589,66119
mix-mldsa87-mldsa44,mixed,mldsa87,mldsa44,20,87269,116359
